tract,ZIP,apx_loc,county,TotalPop,CIscore,CIscoreP,ozone,ozoneP,pm,pmP,lead,leadP,diesel,dieselP,drink,drinkP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,SmATS,SmATSP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,cvd,cvdP,diabetes,diabetesP,lbw,lbwP,edu,eduP,housingB,housingBP,ling,lingP,pov,povP,unemp,unempP,PopChar,PopCharScore,PopCharP,popund_10,pop10_64,popovr_64,white_pct,hispanic_pct,black_pct,nativeamer_pct,asian_pct,othmulti_pct
6065040502,92509,Jurupa Valley,Riverside,6638,52.13743815,89.63340348,0.063054867,95.73907314,11.15732606,86.04217,74.43971159,77.5174864,0.076989828,62.29526217,76.52746449,89.58997472,0,0,1439.784017,82.90881023,2743.589,93.27102804,21,87.84302154,2,16.3686184,0.11,16.37377288,0,0,12.2,20.65632458,10.7,89.43236715,61.76221176,7.519263395,92.14803426,38.13,55.35104155,18.6,79.20704846,12.3,62.08379272,6.17,65.75234225,36.48507072,89.89213833,19.27868852,63.31814646,8.251473477,56.97883028,41.94579781,79.68145117,5.712492153,48.51120776,66.63745552,6.933849156,76.45364935,14.94,78.16,6.9,17.96,78.02,2.34,0,0.56,1.13
6065040503,91752,Mira Loma,Riverside,3751,51.7423788,89.21253738,0.062854323,95.45354711,11.57668819,93.85020865,26.82820259,26.30176529,0.147546702,83.08233484,74.68522048,88.20490272,0,0,2501.636678,92.50192965,1840.572,83.12259483,12.8,75.81882561,2,16.3686184,0.605,62.34395831,0,0,26.15,37.43436754,8.75,85.6884058,62.30167224,7.584940212,92.8728311,28.98,35.21437231,18.33,77.19162996,17.3,97.04520397,5.41,48.54949769,18.739955,66.10697209,25.01694915,82.4647183,8.454258675,58.05525655,31.03172487,62.614755,7.113218731,63.85636222,65.55989441,6.821725334,74.81448665,6.48,65.48,28.05,27.99,51.27,12.88,0.16,5.2,2.51
6065040603,91752,Mira Loma,Riverside,2704,37.742148,72.0234799,0.061695908,93.92708105,10.80813154,80.23281353,65.11257409,67.11446653,0.019284288,17.31340002,80.46959836,92.4150819,0,0,1218.501648,78.93924358,409.488,27.65255635,3,32.9595751,0,0,0.15,20.85807781,5,44.38075386,17.1,26.93317422,1,33.6352657,46.95326728,5.716342953,60.91587964,28.19,32.83368235,18.56,78.90969163,13.3,73.63836825,6.42,70.60616322,38.40096911,91.32658735,16.52892562,50.28336482,8.025682183,55.98612606,23.8644825,47.50580688,7.788390889,69.44351511,63.4530282,6.602498889,71.50293499,16.16,77.33,6.51,14.68,83.88,0,0,1.29,0.15
6065040604,91752,Mira Loma,Riverside,5465,22.41875595,44.06911064,0.062073658,94.59696903,11.028409,83.82385241,27.29021609,26.81247918,0.022203361,20.38034517,85.77853637,95.19621853,0,0,1580.720703,85.02591245,378.361,24.40901594,0,0,0,0,0.225,29.24494001,5,44.38075386,6.9,13.43675418,0.1,2.556360709,40.83255543,4.971174617,43.21326598,27.18,30.33175355,18.45,78.13876652,11.6,52.18302095,5.04,39.82390789,16.79635095,62.50416991,16.87763713,52.25025003,0,0,19.48764867,37.0091804,4.283121597,31.04717297,43.34075844,4.509750245,41.39993355,10.16,76.27,13.58,30.25,66.24,0,0.26,0.35,2.91
6065040605,91752,Mira Loma,Riverside,2954,37.61547973,71.89057481,0.062265644,94.80562267,11.54434967,93.39995607,79.42297689,83.22415899,0.025300857,23.23843025,79.29801558,91.61261954,0,0,1360.875326,81.48638218,244.539,11.24793843,0,0,0,0,0.1,14.62852988,0,0,0.75,2.99522673,0.5,21.49758454,42.09133352,5.124425023,46.73841423,28.57,33.96891877,18.49,78.44713656,12.3,62.08379272,6.8,77.69499944,42.39828694,93.91749138,22.22222222,74.31936882,16.56891496,82.32268867,41.00034025,78.34310364,6.83994528,61.30255381,70.54487657,7.340429328,82.02458744,10.53,81.31,8.16,11.31,88.15,0,0,0.54,0
6065040606,91752,Mira Loma,Riverside,3838,37.17995232,71.38110533,0.062073658,94.59696903,11.18595266,86.61322205,84.25624344,88.2757855,0.015813343,13.9386611,79.72147111,91.89842805,0,0,1170.050659,77.95787849,284.168,14.72237493,3,32.9595751,0,0,0.25,32.34759423,5,44.38075386,2.95,7.517899761,0,0,45.5117112,5.540840173,56.94047881,28.63,34.0791359,18.49,78.44713656,13,70.38588754,5.67,54.74658539,35.38784067,88.75792283,22.30769231,74.54161574,7.255139057,52.05119005,46.61311914,85.01271983,5.608465608,47.44061559,64.48774958,6.710165094,73.21962565,13.84,77.83,8.34,10.21,84.97,0.86,0,3.78,0.18
6065040609,92880,Corona,Riverside,17579,24.86611624,49.5292945,0.057750771,86.45947727,10.13645913,68.2407204,7.792431574,5.806594871,0.02930902,27.17379356,88.53434317,96.50434209,0.213391084,31.73384517,1152.041646,77.62708127,2186.408,87.82847719,9.5,66.58306285,6,35.43409288,0.035,4.799418252,11,80.71912454,61.35,62.19570406,8.3,84.88325282,58.70423073,7.14696836,87.78827147,23.51,21.93320842,16.39,67.33480176,9.6,23.75964719,4.36,24.63031945,8.492890995,39.64194373,9.316037736,14.46827425,5.987889661,44.98265758,11.58768986,16.54684216,5.550500455,46.65997547,33.43721642,3.479253718,25.24089046,17.54,74.74,7.72,19.59,36.79,8.09,0,30.68,4.84
6065040611,92880,Corona,Riverside,9208,20.65315436,39.88260051,0.060094357,91.09378432,10.97103087,82.78058423,4.908155728,3.219717997,0.015812806,13.92766846,66.72254589,78.90513356,0,0,1520.841349,84.14378653,502.409,37.14128642,6,53.31956329,0,0,0,0,8,64.89491054,15.1,24.43914081,0.55,21.51771337,41.72162613,5.079414859,45.79398199,23.12,21.28292737,16.42,67.48898678,10.5,35.96471885,3.02,6.45671069,12.76769658,53.14133215,11.64835165,25.21391266,16.63822526,82.40641072,13.79160322,22.49751134,5.296784831,43.51511096,39.07659574,4.066049916,34.41134123,12.28,79.13,8.59,13.05,38.74,8.99,0.08,35.18,3.96
6065040616,92880,Corona,Riverside,10019,24.04387835,47.92335807,0.060264646,91.3573468,10.63839114,77.13595432,8.347360965,6.284001332,0.036267176,34.12113884,86.94645731,95.76783555,0.042491107,22.48880358,1235.944987,79.2700408,2074.385,86.41011545,3.2,33.50545884,0.75,6.273435247,0.06,7.829354018,6,50.11290603,27.2,38.60381862,6.8,80.35426731,53.10733861,6.465572652,76.70766528,24.55,23.92813843,17.04,70.45154185,9.7,25.01653804,4.57,29.01004628,13.36070752,54.92049372,9.172259508,13.87931992,8.47245409,58.11505801,7.549642173,6.547948236,4.857198368,38.41864615,35.73892968,3.718754647,28.68534721,13.24,76.14,10.62,19.33,29.09,11.1,0,36.74,3.73
6065040617,92880,Corona,Riverside,7569,14.08864957,22.36128032,0.061144505,93.04853942,11.20322704,86.97562047,5.479890477,3.530587321,0.046653226,43.24502583,88.38128501,96.33945257,0,0,1907.239034,88.35593781,643.356,49.51072018,0,0,0,0,0.01,1.890679918,4,36.09518847,3.95,9.081145585,1.5,40.94202899,43.30654824,5.27237179,50.35141665,25.49,25.85693817,17.09,70.6938326,8.5,11.62072767,4.83,34.99266283,6.400966184,30.9351718,9.538461538,15.36837426,2.768903088,22.5451501,7.429479539,6.304612322,1.194161875,2.698784432,25.68072945,2.672165419,13.23513124,8.35,80.84,10.81,15.07,44.18,8.1,0,29.2,3.45
6065040618,91752,Mira Loma,Riverside,9880,36.25568257,70.02990364,0.062459735,95.04722161,11.49562735,92.5763233,13.70126061,11.74641945,0.119659438,77.13531934,74.2977301,87.29251402,23.42926468,66.28278951,3153.8054,95.31370603,1767.984,82.15503024,9,65.2257303,0.95,6.633977502,0.375,44.70973215,0,0,102.15,76.14558473,8.2,84.66183575,66.03893587,8.03993476,96.05754448,27.32,30.75057864,18.4,77.57709251,9.8,26.39470783,4.63,30.35331302,22.07593386,71.74469031,6.41025641,5.411712412,9.05511811,60.67456046,20.40940413,39.39829665,5.823714586,49.80483997,43.33787148,4.509449847,41.38885812,14.91,76.67,8.42,20.34,58.44,5.88,0,12.6,2.73
