cdcr_code,year,month,stage1_days,stage3_days
CHCF,2023,11,0,0
CHCF,2023,12,0,0
CHCF,2024,1,0,0
CHCF,2024,2,0,0
CHCF,2024,3,0,0
CHCF,2024,4,0,0
CHCF,2024,5,5,0
CHCF,2024,6,20,13
CHCF,2024,7,27,23
CHCF,2024,8,24,12
CHCF,2024,9,16,9
CHCF,2024,10,8,8
CHCF,2024,11,0,0
CHCF,2024,12,0,0
CHCF,2025,1,0,0
CHCF,2025,2,0,0
CHCF,2025,3,0,0
CHCF,2025,4,0,0
CHCF,2025,5,5,2
CHCF,2025,6,16,5
CHCF,2025,7,18,9
CHCF,2025,8,26,16
CHCF,2025,9,9,5
CHCF,2025,10,1,0
CHCF,2025,11,0,0
CHCF,2025,12,0,0
CIM,2016,1,0,0
CIM,2016,2,3,0
CIM,2016,3,0,0
CIM,2016,4,6,1
CIM,2016,5,2,0
CIM,2016,6,16,11
CIM,2016,7,23,13
CIM,2016,8,25,10
CIM,2016,9,14,6
CIM,2016,10,10,5
CIM,2016,11,6,1
CIM,2016,12,0,0
CIM,2017,1,0,0
CIM,2017,2,0,0
CIM,2017,3,1,0
CIM,2017,4,2,1
CIM,2017,5,9,2
CIM,2017,6,17,10
CIM,2017,7,29,13
CIM,2017,8,20,14
CIM,2017,9,15,8
CIM,2017,10,16,10
CIM,2017,11,3,2
CIM,2017,12,0,0
CIM,2018,1,0,0
CIM,2018,2,0,0
CIM,2018,3,0,0
CIM,2018,4,2,1
CIM,2018,5,3,0
CIM,2018,6,8,1
CIM,2018,7,27,23
CIM,2018,8,25,10
CIM,2018,9,13,5
CIM,2018,10,3,0
CIM,2018,11,1,0
CIM,2018,12,0,0
CIM,2019,1,0,0
CIM,2019,2,0,0
CIM,2019,3,0,0
CIM,2019,4,0,0
CIM,2019,5,0,0
CIM,2019,6,5,3
CIM,2019,7,17,7
CIM,2019,8,20,11
CIM,2019,9,14,8
CIM,2019,10,10,2
CIM,2019,11,4,0
CIM,2019,12,0,0
CIM,2020,1,0,0
CIM,2020,2,0,0
CIM,2020,3,0,0
CIM,2020,4,5,2
CIM,2020,5,8,3
CIM,2020,6,8,4
CIM,2020,7,26,8
CIM,2020,8,25,19
CIM,2020,9,24,12
CIM,2020,10,13,11
CIM,2020,11,4,0
CIM,2020,12,0,0
CIM,2021,1,1,0
CIM,2021,2,0,0
CIM,2021,3,0,0
CIM,2021,4,2,2
CIM,2021,5,2,0
CIM,2021,6,14,5
CIM,2021,7,22,4
CIM,2021,8,21,13
CIM,2021,9,16,9
CIM,2021,10,8,4
CIM,2021,11,4,0
CIM,2021,12,0,0
CIM,2022,1,0,0
CIM,2022,2,0,0
CIM,2022,3,1,0
CIM,2022,4,3,3
CIM,2022,5,2,1
CIM,2022,6,17,10
CIM,2022,7,23,4
CIM,2022,8,25,14
CIM,2022,9,18,13
CIM,2022,10,3,0
CIM,2022,11,0,0
CIM,2022,12,0,0
CIM,2023,1,0,0
CIM,2023,2,0,0
CIM,2023,3,0,0
CIM,2023,4,0,0
CIM,2023,5,0,0
CIM,2023,6,1,0
CIM,2023,7,24,17
CIM,2023,8,21,11
CIM,2023,9,5,3
CIM,2023,10,10,5
CIM,2023,11,0,0
CIM,2023,12,0,0
CIM,2024,1,0,0
CIM,2024,2,0,0
CIM,2024,3,0,0
CIM,2024,4,0,0
CIM,2024,5,0,0
CIM,2024,6,9,4
CIM,2024,7,30,11
CIM,2024,8,23,11
CIM,2024,9,12,10
CIM,2024,10,14,8
CIM,2024,11,0,0
CIM,2024,12,0,0
CIM,2025,1,0,0
CIM,2025,2,1,0
CIM,2025,3,1,0
CIM,2025,4,0,0
CIM,2025,5,8,4
CIM,2025,6,9,5
CIM,2025,7,10,2
CIM,2025,8,25,12
CIM,2025,9,13,11
CIM,2025,10,5,2
CIM,2025,11,2,0
CIM,2025,12,0,0
CIW,2016,1,0,0
CIW,2016,2,3,0
CIW,2016,3,0,0
CIW,2016,4,6,1
CIW,2016,5,3,0
CIW,2016,6,16,13
CIW,2016,7,26,15
CIW,2016,8,26,12
CIW,2016,9,16,9
CIW,2016,10,10,5
CIW,2016,11,6,1
CIW,2016,12,0,0
CIW,2017,1,0,0
CIW,2017,2,0,0
CIW,2017,3,1,0
CIW,2017,4,3,2
CIW,2017,5,9,2
CIW,2017,6,17,10
CIW,2017,7,29,18
CIW,2017,8,21,16
CIW,2017,9,16,9
CIW,2017,10,16,11
CIW,2017,11,3,1
CIW,2017,12,0,0
CIW,2018,1,0,0
CIW,2018,2,0,0
CIW,2018,3,0,0
CIW,2018,4,3,2
CIW,2018,5,3,1
CIW,2018,6,13,1
CIW,2018,7,28,25
CIW,2018,8,27,13
CIW,2018,9,16,7
CIW,2018,10,4,0
CIW,2018,11,1,0
CIW,2018,12,0,0
CIW,2019,1,0,0
CIW,2019,2,0,0
CIW,2019,3,0,0
CIW,2019,4,0,0
CIW,2019,5,0,0
CIW,2019,6,6,3
CIW,2019,7,20,9
CIW,2019,8,27,15
CIW,2019,9,15,12
CIW,2019,10,10,4
CIW,2019,11,4,0
CIW,2019,12,0,0
CIW,2020,1,0,0
CIW,2020,2,0,0
CIW,2020,3,0,0
CIW,2020,4,5,1
CIW,2020,5,11,5
CIW,2020,6,11,4
CIW,2020,7,26,13
CIW,2020,8,25,19
CIW,2020,9,23,11
CIW,2020,10,13,11
CIW,2020,11,3,0
CIW,2020,12,0,0
CIW,2021,1,1,0
CIW,2021,2,0,0
CIW,2021,3,0,0
CIW,2021,4,2,2
CIW,2021,5,2,1
CIW,2021,6,14,4
CIW,2021,7,19,3
CIW,2021,8,21,14
CIW,2021,9,17,9
CIW,2021,10,8,5
CIW,2021,11,4,0
CIW,2021,12,0,0
CIW,2022,1,0,0
CIW,2022,2,0,0
CIW,2022,3,0,0
CIW,2022,4,3,3
CIW,2022,5,2,2
CIW,2022,6,17,10
CIW,2022,7,23,6
CIW,2022,8,25,15
CIW,2022,9,19,14
CIW,2022,10,3,1
CIW,2022,11,0,0
CIW,2022,12,0,0
CIW,2023,1,0,0
CIW,2023,2,0,0
CIW,2023,3,0,0
CIW,2023,4,1,0
CIW,2023,5,0,0
CIW,2023,6,1,0
CIW,2023,7,24,18
CIW,2023,8,22,11
CIW,2023,9,5,3
CIW,2023,10,10,7
