GEOID,drought_freq_spei12_midcentury,drought_delta_spei12_midcentury,drought_freq_spei36_midcentury,drought_delta_spei36_midcentury
06077003406,10.396825396825397,107.93650793650795,12.77777777777778,155.55555555555557
06077004402,11.204501988631337,124.09003977262672,15.002394854782901,200.04789709565796
06077004600,10.34222587898146,106.8445175796292,13.596020221171313,171.92040442342625
06077001400,10.555555555555555,111.11111111111111,13.65079365079365,173.01587301587296
06077003106,9.957703808686158,99.15407617372314,12.303547540310777,146.07095080621556
06077001700,10.548221723564422,110.96443447128844,14.157456993074979,183.14913986149955
06077000401,10.229057819275688,104.58115638551376,13.767832954548036,175.3566590909607
06077003404,10.27982849056828,105.59656981136554,12.655792374115334,153.11584748230666
06001450200,11.30952835877628,126.19056717552559,14.175490569015807,183.50981138031614
06001444100,9.78187291536284,95.63745830725674,9.460751613790222,89.21503227580445
06001406201,7.614123375204288,52.282467504085744,7.174429163268316,43.48858326536629
06001406202,7.362774146383195,47.255482927663884,6.76044219815122,35.20884396302438
06001428000,6.944444444444445,38.888888888888886,6.071428571428571,21.428571428571416
06001409700,6.983497351793127,39.66994703586252,7.659932184094794,53.19864368189587
06001432100,7.579365079365079,51.58730158730157,9.603174603174603,92.06349206349205
06001409200,6.547619047619048,30.952380952380963,8.49206349206349,69.84126984126982
06001450741,12.276465028387022,145.52930056774048,16.729850236529618,234.59700473059235
06001450300,10.4632666523581,109.26533304716199,13.187959451122564,163.75918902245127
06001401500,7.3809523809523805,47.61904761904759,6.923717220797839,38.474344415956764
06001401400,7.380952380952381,47.61904761904759,6.984126984126984,39.68253968253967
06001438400,7.89551308382184,57.9102616764368,7.421947233638478,48.43894467276953
06001423300,7.250672067364946,45.013441347298915,7.017825067746433,40.35650135492864
06001423902,7.182539682539684,43.650793650793645,7.222222222222223,44.44444444444443
06001438000,9.542183030313105,90.84366060626205,9.847857924136804,96.95715848273609
06001402200,7.26950539662161,45.39010793243218,5.785224971642955,15.704499432859086
06001436700,7.351020685850697,47.02041371701391,8.02603014564474,60.5206029128948
06001437900,8.531056654174185,70.62113308348367,8.372326495444025,67.44652990888049
