cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,pct_hu_mechanical,pct_hu_evaporative,pct_hu_air_handlers,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,gender_female_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period,index_version
ASP,Avenal State Prison,35.97394943680589,-120.123101823151,3891.0,0.47,0.16,34.12999199345762,0.815,132,0.0,0.0,1.0,0.0,38.5,28.8,0.0,4.0,0.7460164482138267,0.0,0.0,0.33,True,,1987.0,0.31,13.96,Lowest,current,v0.2
ASP,Avenal State Prison,35.97394943680589,-120.123101823151,3891.0,0.47,0.16,34.12999199345762,0.815,132,0.0,0.0,1.0,0.0,38.5,28.8,0.0,4.0,0.7460164482138267,0.0,0.0,0.33,True,,1987.0,0.71,37.86,Lowest,midcentury,v0.2
CAL,Calipatria State Prison,33.16569335411168,-115.4843440200192,2462.0,0.22,0.18,34.1657626589918,0.757,137,0.0,1.0,0.0,0.0,21.299999999999997,10.3,0.0,3.9,0.9204914703493096,0.0,4.15,0.51,False,,1992.0,0.39,6.43,Lowest,current,v0.2
CAL,Calipatria State Prison,33.16569335411168,-115.4843440200192,2462.0,0.22,0.18,34.1657626589918,0.757,137,0.0,1.0,0.0,0.0,21.299999999999997,10.3,0.0,3.9,0.9204914703493096,0.0,4.15,0.51,False,,1992.0,0.75,27.28,Lowest,midcentury,v0.2
CCI,California Correctional Institution,35.10991555190383,-118.57033067748,2434.0,0.5,0.26,45.871387949762784,1.278,115,,0.0455,0.0,0.9545,62.3,17.8,6.2,5.7,0.8293618186798137,0.0,3.1333,0.41,False,,1954.0,0.22,21.9,Lowest,current,v0.2
CCI,California Correctional Institution,35.10991555190383,-118.57033067748,2434.0,0.5,0.26,45.871387949762784,1.278,115,,0.0455,0.0,0.9545,62.3,17.8,6.2,5.7,0.8293618186798137,0.0,3.1333,0.41,False,,1954.0,0.77,54.79,Moderate,midcentury,v0.2
CCWF,Central California Women's Facility,37.0936807963828,-120.15270979438849,2040.0,0.43,0.42,54.67109503384696,0.599,97,0.0913,0.0,1.0,0.0,80.9,20.8,5.0,14.1,0.7066993464052289,0.977777777777778,2.6,0.26,False,Yes,1990.0,0.33,43.63,Lowest,current,v0.2
CCWF,Central California Women's Facility,37.0936807963828,-120.15270979438849,2040.0,0.43,0.42,54.67109503384696,0.599,97,0.0913,0.0,1.0,0.0,80.9,20.8,5.0,14.1,0.7066993464052289,0.977777777777778,2.6,0.26,False,Yes,1990.0,0.88,76.33,High,midcentury,v0.2
CEN,Centinela State Prison,32.82339731050856,-115.7890554901459,2984.0,0.07,0.2,43.55668748025076,0.228,42,0.0,1.0,0.0,0.0,22.299999999999997,12.3,0.0,4.0,0.93923145665773,0.0,2.475,0.25,False,,1993.0,0.4,0.0,Lowest,current,v0.2
CEN,Centinela State Prison,32.82339731050856,-115.7890554901459,2984.0,0.07,0.2,43.55668748025076,0.228,42,0.0,1.0,0.0,0.0,22.299999999999997,12.3,0.0,4.0,0.93923145665773,0.0,2.475,0.25,False,,1993.0,0.79,22.83,Lowest,midcentury,v0.2
CHCF,California Health Care Facility,37.89778736654379,-121.1905848230992,2251.0,0.09,0.6,48.03373276709035,0.0,0,0.3422,1.0,0.0,0.0,92.1,63.3,20.8,55.8,0.7001332741003998,0.0,1.35,0.3,True,,2013.0,0.33,44.22,Lowest,current,v0.2
CHCF,California Health Care Facility,37.89778736654379,-121.1905848230992,2251.0,0.09,0.6,48.03373276709035,0.0,0,0.3422,1.0,0.0,0.0,92.1,63.3,20.8,55.8,0.7001332741003998,0.0,1.35,0.3,True,,2013.0,0.87,76.73,High,midcentury,v0.2
CIM,California Institution For Men,33.98471244959707,-117.68239170046569,2274.0,0.66,0.44,94.40464835864267,0.994,161,1.0,0.4286,0.0,0.5714,79.80000000000001,56.6,7.4,27.0,0.7568528290823805,0.0,3.1917,0.52,True,,1941.0,0.37,62.57,Moderate,current,v0.2
CIM,California Institution For Men,33.98471244959707,-117.68239170046569,2274.0,0.66,0.44,94.40464835864267,0.994,161,1.0,0.4286,0.0,0.5714,79.80000000000001,56.6,7.4,27.0,0.7568528290823805,0.0,3.1917,0.52,True,,1941.0,1.0,100.0,Highest,midcentury,v0.2
CIW,California Institution For Women,33.94974539755923,-117.6363650322742,1187.0,0.56,0.41,75.58603784147648,0.915,150,0.6051,0.3636,0.6364,0.0,76.4,22.0,5.8,17.2,0.6763549564729008,1.0,1.3917,1.34,True,,1952.0,0.36,51.84,Moderate,current,v0.2
CIW,California Institution For Women,33.94974539755923,-117.6363650322742,1187.0,0.56,0.41,75.58603784147648,0.915,150,0.6051,0.3636,0.6364,0.0,76.4,22.0,5.8,17.2,0.6763549564729008,1.0,1.3917,1.34,True,,1952.0,0.96,87.15,Highest,midcentury,v0.2
CMC,California Men's Colony,35.324574100099134,-120.69890041992886,2172.0,0.28,0.41,21.635279342708017,0.702,33,0.0698,0.1875,0.0,0.8125,71.80000000000001,29.5,29.8,11.2,0.8050184162062615,0.0,6.4667,0.24,False,,1961.0,0.27,30.6,Lowest,current,v0.2
CMC,California Men's Colony,35.324574100099134,-120.69890041992886,2172.0,0.28,0.41,21.635279342708017,0.702,33,0.0698,0.1875,0.0,0.8125,71.80000000000001,29.5,29.8,11.2,0.8050184162062615,0.0,6.4667,0.24,False,,1961.0,0.57,48.48,Moderate,midcentury,v0.2
