,,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4
CIW,Incarcerated Persons Grievances and Appeals,Grievance Claims Granted,123.00,93.00,92.00,155.00,95.00,91.00,77.00,49.00,37.00,79.00
CIW,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,1.00,4.00,2.00,5.00,0.00,1.00,2.00,2.00,2.00,0.00
CIW,Incarcerated Persons Grievances and Appeals,Grievance Claims Pending,,2.00,,,,,,,,
CIW,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,"1,149.00"
CIW,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
CIW,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"1,258.00","1,286.00","1,249.00","1,208.00","1,204.00","1,270.00","1,281.00","1,241.00","1,228.00","1,217.00"
CIW,Number of Deaths,Expected,,1.00,,1.00,,,,,4.00,
CIW,Number of Deaths,Unexpected,,,,,,1.00,,,1.00,
CIW,Overtime Hours,Custody (Overtime),"8,647.11","10,062.67","13,988.26","13,060.39","7,450.45","10,480.65","10,134.61","12,552.28","13,313.67","10,622.40"
CIW,Overtime Hours,Dental + Mental Health (Overtime),164.00,186.50,324.00,220.25,272.75,279.50,262.00,321.75,324.50,222.30
CIW,Overtime Hours,Non-Custody (Overtime),"1,822.13","5,898.25","2,354.25","2,076.50","1,921.25","2,107.50","3,828.50","2,062.50","2,508.75","1,459.00"
CIW,Overtime Hours,Total Overtime Hours,"10,633.24","16,147.42","16,666.51","15,357.14","9,644.45","12,867.65","14,225.11","14,936.53","16,146.92","12,303.70"
CIW,Positions - Authorized and Vacant,Authorized,745.20,745.20,745.20,745.20,745.20,745.20,745.20,745.20,745.20,745.20
CIW,Positions - Authorized and Vacant,Vacant,73.20,74.20,82.20,86.20,88.20,96.20,97.20,93.20,95.20,99.20
CIW,Rehabilitative Programs,Academic Education - Actual Enrollment,442.50,544.80,569.25,589.60,623.50,642.50,699.80,898.50,816.25,699.80
CIW,Rehabilitative Programs,Academic Education - Operational Capacity,881.25,917.60,897.00,870.00,910.50,924.00,924.00,883.50,870.00,924.00
CIW,Rehabilitative Programs,Career Technical Education - Actual Enrollment,132.75,126.60,129.00,136.00,141.25,151.50,157.00,161.25,158.75,149.00
CIW,Rehabilitative Programs,Career Technical Education - Operational Capacity,162.00,162.00,182.25,189.00,189.00,189.00,189.00,189.00,202.50,189.00
CIW,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIW,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIW,Rehabilitative Programs,Number of Associate Degrees,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIW,Rehabilitative Programs,Number of Bachelors Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIW,Rehabilitative Programs,Number of GED Certificates,1.00,2.00,5.00,2.00,3.00,5.00,2.00,3.00,5.00,2.00
CIW,Rehabilitative Programs,Number of High School Diplomas,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00
CIW,Rehabilitative Programs,Number of Masters Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMC,Contraband,Marijuana Seizure Events,,,,,2.00,,,,,
CMC,Contraband,Methamphetamine Seizure Events,,,,2.00,2.00,2.00,,,,
CMC,Contraband,Quantity of Cellular Telephones Seized,,,,8.00,2.00,2.00,,,,
CMC,Contraband,Quantity of Controlled Medication Seized (grams),,,,,6.00,,,,,
CMC,Contraband,Quantity of Controlled Medication Seized (pills),,,,,,6.00,,,,
CMC,Contraband,Quantity of Heroin Seized (grams),,,,,,0.16,,,,
CMC,Contraband,Quantity of Honey Oil Seized (grams),,,,,,17.40,,,,
CMC,Contraband,Quantity of Marijuana Seized (grams),,,,,2.00,,,,,
CMC,Contraband,Quantity of Methamphetamine Seized (grams),,,,2.00,15.20,6.76,,,,
CMC,Contraband,Quantity of Suboxone Seized (grams),,,,,,0.08,,,,
CMC,Contraband,Quantity of Suboxone Seized (number of strips),,,,4.00,4.00,6.00,2.00,,,
CMC,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams),,,,,,0.22,,,,
CMC,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (number of strips),,,,4.00,2.00,,,,,
CMC,Contraband,Quantity of Tobacco Seized (grams with packaging),,,,6.00,,,,,,
CMC,Contraband,Suboxone Seizure Events,,,,4.00,2.00,4.00,2.00,,,
CMC,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,2.00,2.00,2.00,,,,
CMC,Contraband,Tobacco Seizure Events,,,,2.00,,,,,,
CMC,Fiscal,Actual Expenditures ($),"16,313,294.69","35,150,160.89","51,932,746.68","70,067,934.36","89,265,836.91","106,601,789.15","124,844,967.02","142,820,088.68","160,068,396.80","176,184,404.19"
CMC,Fiscal,Institution Budget ($),"222,624,626.00","222,607,223.00","222,799,308.00","224,850,995.00","225,700,355.00","213,827,868.00","213,964,576.00","214,790,634.00","215,207,161.00","214,867,933.00"
CMC,Incarcerated Persons Grievances and Appeals,Appeals Denied,46.00,36.00,47.00,47.00,33.00,30.00,16.00,32.00,29.00,
CMC,Incarcerated Persons Grievances and Appeals,Appeals Granted,9.00,8.00,6.00,10.00,7.00,7.00,6.00,12.00,11.00,
CMC,Incarcerated Persons Grievances and Appeals,Appeals Received,69.00,63.00,88.00,116.00,72.00,71.00,68.00,91.00,95.00,
CMC,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,8.00,12.00,19.00,30.00,24.00,28.00,38.00,44.00,49.00,
CMC,Number and Housing Level of Incarcerated Persons,Level II,246.00,246.00,248.00,250.00,248.00,249.00,247.00,250.00,248.00,248.00
CMC,Number and Housing Level of Incarcerated Persons,Level III,"1,519.00","1,487.00","1,439.00","1,565.00","1,640.00","1,619.00","1,590.00","1,604.00","1,584.00","1,623.00"
CMC,Number and Housing Level of Incarcerated Persons,Level IV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMC,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
CMC,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,182.00,176.00,192.00,180.00,183.00,185.00,192.00,186.00,198.00,52.00
CMC,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00
CMC,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"2,120.00","2,087.00","2,044.00","2,163.00","2,236.00","2,227.00","2,200.00","2,205.00","2,185.00","2,225.00"
CMC,Number of Deaths,Expected,1.00,,,1.00,,1.00,,,,1.00
CMC,Number of Deaths,Missing,1.00,,1.00,,,,,,,
CMC,Number of Deaths,Suicide,1.00,,,,,,,,,
CMC,Number of Deaths,Unexpected,,,,,1.00,,,,,
CMC,Overtime Hours,Custody (Overtime),"14,313.12","13,525.59","16,502.21","9,425.85","10,038.12","14,720.01","12,426.11","8,731.96","9,709.43","10,024.40"
CMC,Overtime Hours,Dental + Mental Health (Overtime),84.00,40.00,148.00,84.00,238.00,131.00,164.00,184.00,127.00,90.00
CMC,Overtime Hours,Non-Custody (Overtime),959.75,"1,175.50","1,372.63","1,000.25",726.50,748.25,"1,108.75",769.75,848.25,"1,012.50"
CMC,Overtime Hours,Total Overtime Hours,"15,356.87","14,741.09","18,022.84","10,510.10","11,002.62","15,599.26","13,698.86","9,685.71","10,684.68","11,132.90"
CMC,Positions - Authorized and Vacant,Authorized,956.00,956.00,956.00,956.00,956.00,956.00,956.00,956.00,956.00,952.00
CMC,Positions - Authorized and Vacant,Vacant,87.20,90.20,82.80,79.80,79.80,89.80,96.80,92.80,99.00,84.00
CMC,Rehabilitative Programs,Academic Education - Actual Enrollment,831.00,924.60,"1,117.75","1,011.40","1,157.75","1,104.00",922.80,"1,008.25",942.75,922.80
CMC,Rehabilitative Programs,Academic Education - Operational Capacity,"1,557.00","1,516.80","1,458.00","1,404.00","1,503.25","1,477.00","1,498.00","1,471.00","1,390.50","1,498.00"
CMC,Rehabilitative Programs,Career Technical Education - Actual Enrollment,139.50,138.00,176.25,189.80,192.00,192.00,192.00,191.75,188.50,192.00
CMC,Rehabilitative Programs,Career Technical Education - Operational Capacity,143.00,143.00,183.50,197.00,197.00,196.25,196.80,197.00,197.00,196.80
CMC,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMC,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,95.00,164.80,179.75,162.20,124.50,66.25,50.60,45.50,46.50,56.00
CMF,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,243.00,320.20,355.50,318.60,273.00,280.50,101.60,89.50,82.00,101.60
CMF,Contraband,Cellular Telephone Seizure Events,,,,18.00,4.00,2.00,4.00,18.00,10.00,12.00
CMF,Contraband,Controlled Medication Seizure Events,,,,,,,,,,
CMF,Contraband,Heroin Seizure Events,,,,2.00,,2.00,,,,
CMF,Contraband,Honey Oil Seizure Events,,,,2.00,,,,,,
CMF,Contraband,Marijuana Seizure Events,,,,6.00,2.00,,,8.00,6.00,2.00
CMF,Contraband,Methamphetamine Seizure Events,,,,4.00,10.00,8.00,,4.00,6.00,6.00
CMF,Contraband,Quantity of Cellular Telephones Seized,,,,18.00,4.00,2.00,6.00,20.00,10.00,14.00
CMF,Contraband,Quantity of Controlled Medication Seized (grams),,,,,,,,,,
CMF,Contraband,Quantity of Controlled Medication Seized (pills),,,,,,,,,,
CMF,Contraband,Quantity of Heroin Seized (grams with packaging),,,,,,9.38,,,,
CMF,Contraband,Quantity of Heroin Seized (grams),,,,0.66,,,,,,
CMF,Contraband,Quantity of Honey Oil Seized (grams with packaging),,,,1.72,,,,,,
CMF,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,10.26,92.00,,,109.04,8.66,146.00
CMF,Contraband,Quantity of Marijuana Seized (grams),,,,26.00,,,,,6.48,
CMF,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,48.44,"1,482.52",205.98,,488.00,128.32,2.22
CMF,Contraband,Quantity of Methamphetamine Seized (grams),,,,134.00,0.02,0.18,,24.00,,20.00
CMF,Contraband,Quantity of Methamphetamine Seized (number of strips),,,,,,,,,,
CMF,Contraband,Quantity of Suboxone Seized (grams),,,,0.86,0.56,2.06,1.76,2.50,2.66,
CMF,Contraband,Quantity of Suboxone Seized (number of strips),,,,,,,,2.00,,16.00
CMF,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams with packaging),,,,,,,25.62,,130.00,50.72
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,24.00,18.00,22.00,4.00,4.00,6.00,8.00,4.00,5.00,5.00
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,51.00,49.00,20.00,33.00,17.00,36.00,26.00,32.00,31.00,45.00
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,720.00,653.00,450.00,455.00,382.00,442.00,475.00,521.00,418.00,
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,118.00,122.00,111.00,47.00,88.00,62.00,97.00,123.00,75.00,133.00
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,82.00,64.00,48.00,47.00,48.00,62.00,51.00,51.00,55.00,76.00
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,74.00,62.00,34.00,33.00,26.00,29.00,33.00,41.00,29.00,29.00
CMF,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Incarcerated Persons Grievances and Appeals,Grievances Pending Legal Matter,,,1.00,,,,,,,2.00
CMF,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CMF,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Number and Housing Level of Incarcerated Persons,Level I,7.00,6.00,7.00,7.00,6.00,4.00,4.00,4.00,3.00,5.00
CMF,Number and Housing Level of Incarcerated Persons,Level II,"1,026.00","1,044.00","1,060.00","1,043.00","1,022.00","1,013.00","1,017.00","1,040.00","1,048.00","1,070.00"
CMF,Number and Housing Level of Incarcerated Persons,Level III,575.00,548.00,515.00,504.00,523.00,513.00,508.00,510.00,516.00,520.00
CMF,Number and Housing Level of Incarcerated Persons,Level IV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
CMF,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,434.00,417.00,408.00,381.00,363.00,343.00,339.00,335.00,340.00,317.00
CMF,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00
CMF,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"2,044.00","2,017.00","1,992.00","1,937.00","1,916.00","1,875.00","1,870.00","1,891.00","1,909.00","1,966.00"
CMF,Number of Deaths,Expected,8.00,,,6.00,5.00,10.00,7.00,,,8.00
CMF,Number of Deaths,Homicide,,,,,,,,,,
CMF,Number of Deaths,Missing,,,5.00,2.00,2.00,1.00,,,,
CMF,Number of Deaths,Unexpected,1.00,,,1.00,,,2.00,,,
CMF,Rehabilitative Programs,Number of Bachelors Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Rehabilitative Programs,Number of GED Certificates,0.00,0.00,1.00,0.00,1.00,3.00,2.00,0.00,2.00,2.00
CMF,Rehabilitative Programs,Number of High School Diplomas,0.00,0.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
CMF,Rehabilitative Programs,Number of Masters Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CMF,Rehabilitative Programs,Transitions - Actual Enrollment,0.00,36.00,33.75,31.00,28.50,34.00,33.00,29.50,14.00,33.00
CMF,Rehabilitative Programs,Transitions - Operational Capacity,0.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00
CMF,Sick Leave Hours,Custody (Sick Leave),"5,735.25","6,067.00","5,472.75","5,798.50","5,216.50","6,862.25","4,946.75","5,363.00","5,544.50","5,405.80"
CMF,Sick Leave Hours,Dental + Mental Health (Sick Leave),352.00,438.00,754.75,630.50,629.50,911.75,822.75,741.75,566.00,613.80
CMF,Sick Leave Hours,Non-Custody (Sick Leave),912.00,"1,023.00",808.25,"1,057.25",840.75,"1,256.15","1,185.50","1,765.50","1,394.50","1,334.70"
CMF,Sick Leave Hours,Total Sick Leave Hours,"6,999.25","7,528.00","7,035.75","7,486.25","6,686.75","9,030.15","6,955.00","7,870.25","7,505.00","7,354.20"
CMF,Use of Force (UOF),Total UOF Incidents,29.00,36.00,27.00,37.00,23.00,26.00,23.00,26.00,24.00,34.00
COR,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,119.50,100.60,92.00,87.00,76.25,89.25,83.80,135.25,142.75,152.25
COR,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,161.00,128.40,96.75,96.75,85.50,92.25,97.20,150.75,150.25,97.20
COR,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,107.25,140.00,158.00,154.60,140.50,147.25,145.60,158.75,129.00,116.75
COR,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,161.50,188.40,178.75,202.80,186.25,170.00,166.00,175.50,149.75,166.00
COR,Contraband,Cellular Telephone Seizure Events,,,,18.00,4.00,4.00,10.00,16.00,2.00,4.00
COR,Contraband,Cocaine Seizure Events,,,,,,,,2.00,,
COR,Contraband,Heroin Seizure Events,,,,2.00,,,,,,
COR,Contraband,Honey Oil Seizure Events,,,,2.00,,2.00,12.00,,2.00,
COR,Contraband,Marijuana Seizure Events,,,,2.00,,,,2.00,4.00,10.00
COR,Contraband,Methamphetamine Seizure Events,,,,16.00,28.00,28.00,10.00,26.00,8.00,8.00
COR,Contraband,Quantity of Cellular Telephones Seized,,,,24.00,4.00,4.00,10.00,16.00,2.00,4.00
COR,Contraband,Quantity of Cocaine Seized (grams with packaging),,,,,,,,3.00,,
COR,Contraband,Quantity of Heroin Seized (grams with packaging),,,,7.60,,,,,,
COR,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,2.00,4.00,,10.00,12.00,4.00,4.00
COR,Contraband,Tobacco Seizure Events,,,,,,2.00,4.00,2.00,,2.00
COR,Fiscal,Actual Expenditures ($),"26,119,595.22","49,760,888.60","74,040,237.51","97,818,913.71","124,387,202.21","149,275,876.34","173,203,847.89","195,564,558.25","220,145,933.35","245,134,991.48"
COR,Fiscal,Institution Budget ($),"302,822,592.00","302,847,851.00","303,389,711.00","303,993,058.00","304,929,052.00","285,279,697.00","285,486,734.00","286,536,027.69","287,164,973.69","294,080,315.69"
COR,Incarcerated Persons Grievances and Appeals,Appeals Denied,114.00,129.00,117.00,60.00,57.00,47.00,47.00,31.00,32.00,
COR,Incarcerated Persons Grievances and Appeals,Appeals Granted,19.00,22.00,35.00,14.00,10.00,13.00,20.00,11.00,9.00,
COR,Incarcerated Persons Grievances and Appeals,Appeals Received,185.00,230.00,207.00,124.00,121.00,133.00,194.00,126.00,127.00,
COR,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,37.00,53.00,37.00,39.00,39.00,57.00,118.00,74.00,81.00,
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,376.00,395.00,301.00,284.00,302.00,326.00,424.00,313.00,281.00,341.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Granted,104.00,86.00,98.00,68.00,85.00,87.00,61.00,55.00,35.00,56.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,7.00,15.00,10.00,10.00,5.00,3.00,4.00,2.00,8.00,6.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Pending,,,,,,,2.00,,,
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,60.00,95.00,94.00,80.00,78.00,85.00,99.00,100.00,86.00,108.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,778.00,840.00,749.00,686.00,681.00,723.00,839.00,687.00,594.00,
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,116.00,127.00,114.00,52.00,111.00,64.00,135.00,121.00,107.00,112.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,66.00,59.00,91.00,52.00,47.00,64.00,78.00,55.00,52.00,69.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,49.00,63.00,41.00,32.00,51.00,49.00,36.00,41.00,25.00,50.00
COR,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00
COR,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,3.38,0.00,0.00,0.00,0.00,0.00,3.45,0.00,1.23,2.45
COR,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,
COR,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Number and Housing Level of Incarcerated Persons,Level I,5.00,6.00,5.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00
COR,Number and Housing Level of Incarcerated Persons,Level II,"1,620.00","1,587.00","1,567.00","1,688.00","1,828.00","1,809.00","1,796.00","1,753.00","1,727.00","1,714.00"
COR,Positions - Authorized and Vacant,Authorized,"1,304.10","1,304.10","1,304.10","1,304.10","1,304.10","1,304.10","1,304.10","1,304.10","1,304.10","1,304.60"
COR,Positions - Authorized and Vacant,Vacant,62.70,91.70,85.70,107.10,110.10,124.10,111.10,116.10,129.10,138.60
COR,Rehabilitative Programs,Academic Education - Actual Enrollment,878.00,938.80,"1,078.75","1,004.80","1,004.75",839.50,937.80,"1,161.50","1,108.00",937.80
COR,Rehabilitative Programs,Academic Education - Operational Capacity,"1,590.00","1,590.00","1,590.00","1,590.00","1,594.50","1,590.00","1,580.80","1,580.00","1,595.75","1,580.80"
COR,Rehabilitative Programs,Career Technical Education - Actual Enrollment,218.50,206.40,207.25,210.80,215.00,190.00,201.60,230.75,231.00,201.60
COR,Rehabilitative Programs,Career Technical Education - Operational Capacity,243.00,243.00,243.00,243.00,243.00,216.00,232.20,243.00,256.50,232.20
COR,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Rehabilitative Programs,Number of Associate Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Rehabilitative Programs,Number of Bachelors Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Rehabilitative Programs,Number of GED Certificates,3.00,5.00,2.00,3.00,0.00,3.00,4.00,0.00,4.00,4.00
COR,Rehabilitative Programs,Number of High School Diplomas,1.00,1.00,0.00,1.00,0.00,2.00,0.00,2.00,1.00,0.00
COR,Rehabilitative Programs,Number of Masters Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COR,Rehabilitative Programs,Transitions - Actual Enrollment,76.25,71.20,63.50,61.60,75.00,76.50,94.80,98.50,88.75,94.80
COR,Rehabilitative Programs,Transitions - Operational Capacity,90.00,90.00,90.00,90.00,90.00,90.00,102.00,108.00,108.00,102.00
COR,Sick Leave Hours,Custody (Sick Leave),"6,461.88","7,650.25","7,626.83","7,427.49","7,852.00","10,193.25","4,681.65","7,732.25","7,495.25","9,455.50"
COR,Sick Leave Hours,Dental + Mental Health (Sick Leave),541.25,460.00,675.00,464.25,433.00,555.75,434.75,568.70,467.00,627.30
COR,Sick Leave Hours,Non-Custody (Sick Leave),"1,842.50","2,608.00","1,956.67","1,965.25","1,854.00","1,950.00","1,725.00","1,969.35","1,944.75","1,534.30"
COR,Sick Leave Hours,Total Sick Leave Hours,"8,845.63","10,718.25","10,258.50","9,856.99","10,139.00","12,699.00","6,841.40","10,270.30","9,907.00","11,617.00"
COR,Use of Force (UOF),Total UOF Incidents,33.00,50.00,37.00,42.00,35.00,33.00,34.00,39.00,55.00,94.00
CRC,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,322.25,311.20,305.00,311.20,297.00,260.75,240.20,281.75,358.75,416.25
CRC,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,340.00,344.20,349.00,349.00,384.00,354.00,346.80,375.00,429.00,346.80
CRC,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,318.50,275.80,325.25,305.40,301.00,275.00,281.00,246.25,270.00,260.50
CRC,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (number of strips),,,,,,,,12.00,,
CRC,Contraband,Quantity of Tobacco Seized (grams with packaging),,,,,,,11.00,,,1.88
CRC,Contraband,Suboxone Seizure Events,,,,,,,,2.00,2.00,
CRC,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,18.00,20.00,12.00,4.00,2.00,20.00,8.00
CRC,Contraband,Tobacco Seizure Events,,,,,,,2.00,,,2.00
CRC,Fiscal,Actual Expenditures ($),"15,936,087.42","32,940,868.87","49,644,591.50","66,377,522.07","84,556,193.55","102,055,569.55","119,154,029.85","136,275,876.60","153,290,976.10","171,111,124.51"
CRC,Fiscal,Institution Budget ($),"215,958,518.00","215,981,898.00","216,147,760.00","216,132,094.00","217,131,738.00","207,686,771.00","207,750,944.00","208,816,345.69","209,357,016.69","207,936,475.69"
CRC,Incarcerated Persons Grievances and Appeals,Appeals Denied,20.00,28.00,21.00,30.00,24.00,23.00,12.00,8.00,19.00,
CRC,Incarcerated Persons Grievances and Appeals,Appeals Granted,7.00,1.00,5.00,5.00,6.00,5.00,2.00,3.00,1.00,
CRC,Incarcerated Persons Grievances and Appeals,Appeals Received,35.00,38.00,50.00,46.00,34.00,44.00,31.00,32.00,40.00,
CRC,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,3.00,9.00,21.00,7.00,4.00,13.00,15.00,18.00,19.00,
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,127.00,113.00,152.00,162.00,124.00,119.00,159.00,131.00,131.00,150.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Granted,34.00,38.00,33.00,48.00,26.00,34.00,7.00,9.00,8.00,10.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,4.00,3.00,0.00,3.00,7.00,10.00,3.00,3.00,1.00,0.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,16.00,4.00,10.00,17.00,7.00,8.00,9.00,16.00,5.00,13.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,249.00,200.00,242.00,314.00,232.00,213.00,224.00,207.00,186.00,
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,17.00,12.00,21.00,30.00,29.00,14.00,16.00,12.00,6.00,25.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,28.00,21.00,15.00,30.00,20.00,14.00,19.00,24.00,25.00,21.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,22.00,9.00,11.00,23.00,19.00,15.00,11.00,12.00,10.00,8.00
CRC,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRC,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.00,0.00,0.00,0.72,0.57,0.82,1.78,0.00,0.00
CRC,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,1.00,0.00,3.00,1.00,0.00,
CRC,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRC,Positions - Authorized and Vacant,Authorized,941.40,941.40,941.40,941.40,941.40,941.40,941.40,941.40,941.40,941.40
CRC,Positions - Authorized and Vacant,Vacant,69.40,76.40,74.40,75.40,70.40,75.40,81.40,78.40,86.40,96.40
CRC,Rehabilitative Programs,Academic Education - Actual Enrollment,"1,237.00","1,683.80","2,635.50","2,658.00","2,550.25","2,178.25","1,622.40","2,357.00","2,731.25","1,622.40"
