program,measure,fy_ending,value,is_forecast
Male ICF-High,Avg Census (VPP),2017,91.2,False
Male ICF-High,Avg Census (VPP),2018,139.7,False
Male ICF-High,Avg Census (VPP),2019,149.7,False
Male ICF-High,Avg Census (VPP),2020,147.9,False
Male ICF-High,Avg Census (VPP),2021,112.0,False
Male ICF-High,Avg Census (VPP),2022,106.9,False
Male ICF-High,Avg Census (VPP),2023,75.3,False
Male ICF-High,Avg Census (VPP),2024,40.2,False
Male ICF-High,Avg Census (VPP),2025,35.5,False
Male ICF-High,Avg Census (CHCF),2014,218.4,False
Male ICF-High,Avg Census (CHCF),2015,365.4,False
Male ICF-High,Avg Census (CHCF),2016,298.6,False
Male ICF-High,Avg Census (CHCF),2017,333.4,False
Male ICF-High,Avg Census (CHCF),2018,255.6,False
Male ICF-High,Avg Census (CHCF),2019,255.5,False
Male ICF-High,Avg Census (CHCF),2020,305.3,False
Male ICF-High,Avg Census (CHCF),2021,345.5,False
Male ICF-High,Avg Census (CHCF),2022,268.2,False
Male ICF-High,Avg Census (CHCF),2023,245.5,False
Male ICF-High,Avg Census (CHCF),2024,243.7,False
Male ICF-High,Avg Census (CHCF),2025,207.9,False
Male ICF-High,Avg Pending List,2014,59.4,False
Male ICF-High,Avg Pending List,2015,51.5,False
Male ICF-High,Avg Pending List,2016,18.7,False
Male ICF-High,Avg Pending List,2017,70.8,False
Male ICF-High,Avg Pending List,2018,33.1,False
Male ICF-High,Avg Pending List,2019,24.1,False
Male ICF-High,Avg Pending List,2020,75.1,False
Male ICF-High,Avg Pending List,2021,24.9,False
Male ICF-High,Avg Pending List,2022,31.4,False
Male ICF-High,Avg Pending List,2023,62.8,False
Male ICF-High,Avg Pending List,2024,16.9,False
Male ICF-High,Avg Pending List,2025,18.7,False
Male ICF-High,Total ADC,2014,653.5,False
Male ICF-High,Total ADC,2015,706.6,False
Male ICF-High,Total ADC,2016,609.5,False
Male ICF-High,Total ADC,2017,704.3,False
Male ICF-High,Total ADC,2018,651.1,False
Male ICF-High,Total ADC,2019,605.7,False
Male ICF-High,Total ADC,2020,758.1,False
Male ICF-High,Total ADC,2021,682.2,False
Male ICF-High,Total ADC,2022,621.8,False
Male ICF-High,Total ADC,2023,610.0,False
Male ICF-High,Total ADC,2024,506.7,False
Male ICF-High,Total ADC,2025,437.6,False
Male ICF-High,Total ADC,2026,436.7,True
Male ICF-High,Total ADC,2027,428.7,True
Male ICF-High,Total ADC,2028,427.5,True
Male ICF-High,Total ADC,2029,422.4,True
Male ICF-High,Total ADC,2030,417.3,True
Male ICF-High,Bed Need (90%),2014,726.0,False
Male ICF-High,Bed Need (90%),2015,785.0,False
Male ICF-High,Bed Need (90%),2016,677.0,False
Male ICF-High,Bed Need (90%),2017,783.0,False
Male ICF-High,Bed Need (90%),2018,723.0,False
Male ICF-High,Bed Need (90%),2019,673.0,False
Male ICF-High,Bed Need (90%),2020,842.0,False
Male ICF-High,Bed Need (90%),2021,758.0,False
Male ICF-High,Bed Need (90%),2022,691.0,False
Male ICF-High,Bed Need (90%),2023,678.0,False
Male ICF-High,Bed Need (90%),2024,563.0,False
Male ICF-High,Bed Need (90%),2025,486.0,False
Male ICF-High,Bed Need (90%),2026,485.0,True
Male ICF-High,Bed Need (90%),2027,476.0,True
Male ICF-High,Bed Need (90%),2028,475.0,True
Male ICF-High,Bed Need (90%),2029,469.0,True
Male ICF-High,Bed Need (90%),2030,464.0,True
Male ICF-Low,CDCR Male Pop,2014,128211.0,False
Male ICF-Low,CDCR Male Pop,2015,128303.0,False
Male ICF-Low,CDCR Male Pop,2016,122540.0,False
Male ICF-Low,CDCR Male Pop,2017,123213.0,False
Male ICF-Low,CDCR Male Pop,2018,124414.0,False
Male ICF-Low,CDCR Male Pop,2019,121939.0,False
Male ICF-Low,CDCR Male Pop,2020,118494.0,False
Male ICF-Low,CDCR Male Pop,2021,93311.0,False
Male ICF-Low,CDCR Male Pop,2022,95890.0,False
Male ICF-Low,CDCR Male Pop,2030,81559.0,True
Male ICF-Low,Census Rate,2014,2.59,False
Male ICF-Low,Census Rate,2015,2.32,False
Male ICF-Low,Census Rate,2016,2.61,False
Male ICF-Low,Census Rate,2017,2.7,False
Male ICF-Low,Census Rate,2018,2.81,False
Male ICF-Low,Census Rate,2019,2.33,False
Male ICF-Low,Census Rate,2020,3.17,False
Male ICF-Low,Census Rate,2021,2.78,False
Male ICF-Low,Census Rate,2022,2.15,False
Male ICF-Low,Census Rate,2023,1.43,False
Male ICF-Low,Census Rate,2024,1.63,False
Male ICF-Low,Census Rate,2025,2.34,False
Male ICF-Low,Census Rate,2026,2.35,True
Male ICF-Low,Census Rate,2027,2.34,True
Male ICF-Low,Census Rate,2028,2.34,True
Male ICF-Low,Census Rate,2029,2.33,True
Male ICF-Low,Census Rate,2030,2.33,True
Male ICF-Low,Avg Census (CSH),2014,46.6,False
Male ICF-Low,Avg Census (CSH),2015,47.4,False
Male ICF-Low,Avg Census (CSH),2016,48.5,False
Male ICF-Low,Avg Census (CSH),2017,44.4,False
Male ICF-Low,Avg Census (CSH),2018,48.4,False
Male ICF-Low,Avg Census (CSH),2019,47.2,False
Male ICF-Low,Avg Census (CSH),2020,44.7,False
Male ICF-Low,Avg Census (CSH),2021,34.5,False
Male ICF-Low,Avg Census (CSH),2022,21.2,False
Male ICF-Low,Avg Census (CSH),2023,25.6,False
Male ICF-Low,Avg Census (CSH),2024,41.4,False
Male ICF-Low,Avg Census (CSH),2025,44.4,False
Male ICF-Low,Avg Census (VPP),2014,74.0,False
Male ICF-Low,Avg Census (VPP),2015,72.4,False
Male ICF-Low,Avg Census (VPP),2016,73.4,False
Male ICF-Low,Avg Census (VPP),2017,73.5,False
Male ICF-Low,Avg Census (VPP),2018,69.5,False
Male ICF-Low,Avg Census (VPP),2019,75.4,False
Male ICF-Low,Avg Census (VPP),2020,74.2,False
Male ICF-Low,Avg Census (VPP),2021,50.0,False
Male ICF-Low,Avg Census (VPP),2022,48.0,False
Male ICF-Low,Avg Census (VPP),2023,27.1,False
Male ICF-Low,Avg Census (VPP),2024,33.1,False
Male ICF-Low,Avg Census (VPP),2025,24.5,False
Male ICF-Low,Avg Census (ASH),2014,211.1,False
Male ICF-Low,Avg Census (ASH),2015,177.7,False
Male ICF-Low,Avg Census (ASH),2016,197.9,False
Male ICF-Low,Avg Census (ASH),2017,206.6,False
Male ICF-Low,Avg Census (ASH),2018,199.1,False
Male ICF-Low,Avg Census (ASH),2019,140.8,False
Male ICF-Low,Avg Census (ASH),2020,225.1,False
Male ICF-Low,Avg Census (ASH),2021,163.7,False
Male ICF-Low,Avg Census (ASH),2022,129.2,False
Male ICF-Low,Avg Census (ASH),2023,72.0,False
Male ICF-Low,Avg Census (ASH),2024,79.8,False
Male ICF-Low,Avg Census (ASH),2025,120.8,False
Male ICF-Low,Avg Pending List,2017,7.9,False
Male ICF-Low,Avg Pending List,2018,33.0,False
Male ICF-Low,Avg Pending List,2019,20.4,False
Male ICF-Low,Avg Pending List,2020,32.7,False
Male ICF-Low,Avg Pending List,2021,11.4,False
Male ICF-Low,Avg Pending List,2022,7.5,False
Male ICF-Low,Avg Pending List,2023,7.0,False
Male ICF-Low,Avg Pending List,2024,19.3,False
Male ICF-Low,Avg Pending List,2025,19.4,False
Male ICF-Low,Total ADC,2014,331.6,False
Male ICF-Low,Total ADC,2015,297.5,False
Male ICF-Low,Total ADC,2016,319.7,False
Male ICF-Low,Total ADC,2017,332.3,False
Male ICF-Low,Total ADC,2018,350.0,False
Male ICF-Low,Total ADC,2019,283.8,False
Male ICF-Low,Total ADC,2020,376.6,False
Male ICF-Low,Total ADC,2021,259.5,False
Male ICF-Low,Total ADC,2022,205.9,False
Male ICF-Low,Total ADC,2023,131.7,False
Male ICF-Low,Total ADC,2024,173.5,False
Male ICF-Low,Total ADC,2025,209.0,False
Male ICF-Low,Total ADC,2026,201.4,True
Male ICF-Low,Total ADC,2027,197.0,True
Male ICF-Low,Total ADC,2028,195.3,True
Male ICF-Low,Total ADC,2029,192.6,True
Male ICF-Low,Total ADC,2030,190.0,True
Male ICF-Low,Bed Need (90%),2014,368.0,False
Male ICF-Low,Bed Need (90%),2015,331.0,False
Male ICF-Low,Bed Need (90%),2016,355.0,False
Male ICF-Low,Bed Need (90%),2017,369.0,False
Male ICF-Low,Bed Need (90%),2018,389.0,False
Male ICF-Low,Bed Need (90%),2019,315.0,False
Male ICF-Low,Bed Need (90%),2020,418.0,False
Male ICF-Low,Bed Need (90%),2021,288.0,False
Male ICF-Low,Bed Need (90%),2022,229.0,False
Male ICF-Low,Bed Need (90%),2023,146.0,False
Male ICF-Low,Bed Need (90%),2024,193.0,False
Male ICF-Low,Bed Need (90%),2025,232.0,False
Male ICF-Low,Bed Need (90%),2026,224.0,True
Male ICF-Low,Bed Need (90%),2027,219.0,True
Male ICF-Low,Bed Need (90%),2028,217.0,True
Male ICF-Low,Bed Need (90%),2029,214.0,True
Male ICF-Low,Bed Need (90%),2030,211.0,True
Male MHCB,CDCR Male Pop,2014,128211.0,False
Male MHCB,CDCR Male Pop,2015,128303.0,False
Male MHCB,CDCR Male Pop,2016,122540.0,False
Male MHCB,CDCR Male Pop,2017,123213.0,False
Male MHCB,CDCR Male Pop,2020,118494.0,False
Male MHCB,CDCR Male Pop,2021,93311.0,False
Male MHCB,CDCR Male Pop,2022,95890.0,False
Male MHCB,CDCR Male Pop,2023,92051.0,False
Male MHCB,CDCR Male Pop,2024,90421.0,False
Male MHCB,CDCR Male Pop,2025,87721.0,False
Male MHCB,CDCR Male Pop,2026,85795.0,True
Male MHCB,CDCR Male Pop,2027,84058.0,True
Male MHCB,CDCR Male Pop,2028,83436.0,True
Male MHCB,CDCR Male Pop,2029,82524.0,True
Male MHCB,CDCR Male Pop,2030,81559.0,True
Male MHCB,Census Rate,2014,2.82,False
Male MHCB,Census Rate,2015,3.33,False
Male MHCB,Census Rate,2016,3.53,False
Male MHCB,Census Rate,2017,3.39,False
Male MHCB,Census Rate,2018,2.87,False
Male MHCB,Census Rate,2019,2.18,False
Male MHCB,Census Rate,2020,2.62,False
Male MHCB,Census Rate,2021,2.72,False
Male MHCB,Census Rate,2022,2.64,False
Male MHCB,Census Rate,2023,2.81,False
Male MHCB,Census Rate,2024,3.28,False
Male MHCB,Census Rate,2025,3.33,False
Male MHCB,Census Rate,2026,3.31,True
Male MHCB,Census Rate,2027,3.31,True
Male MHCB,Census Rate,2028,3.32,True
Male MHCB,Census Rate,2029,3.32,True
Male MHCB,Census Rate,2030,3.32,True
Male MHCB,Avg Census,2014,342.8,False
Male MHCB,Avg Census,2015,400.5,False
Male MHCB,Avg Census,2016,399.6,False
Male MHCB,Avg Census,2017,377.5,False
Male MHCB,Avg Census,2018,329.1,False
Male MHCB,Avg Census,2019,254.5,False
Male MHCB,Avg Census,2020,285.6,False
Male MHCB,Avg Census,2021,249.0,False
Male MHCB,Avg Census,2022,243.0,False
Male MHCB,Avg Census,2023,241.6,False
Male MHCB,Avg Census,2024,276.8,False
Male MHCB,Avg Census,2025,270.3,False
Male MHCB,Avg Pending List,2014,12.4,False
Male MHCB,Avg Pending List,2015,26.2,False
Male MHCB,Avg Pending List,2016,33.6,False
Male MHCB,Avg Pending List,2017,40.0,False
Male MHCB,Avg Pending List,2018,28.1,False
Male MHCB,Avg Pending List,2019,11.7,False
Male MHCB,Avg Pending List,2020,10.8,False
Male MHCB,Avg Pending List,2021,4.9,False
Male MHCB,Avg Pending List,2022,10.6,False
Male MHCB,Avg Pending List,2023,17.5,False
Male MHCB,Avg Pending List,2024,20.1,False
Male MHCB,Avg Pending List,2025,22.1,False
Male MHCB,Total ADC,2014,361.1,False
Male MHCB,Total ADC,2015,426.8,False
Male MHCB,Total ADC,2016,433.2,False
Male MHCB,Total ADC,2017,417.5,False
Male MHCB,Total ADC,2018,357.1,False
Male MHCB,Total ADC,2019,266.3,False
Male MHCB,Total ADC,2020,296.4,False
Male MHCB,Total ADC,2021,253.9,False
Male MHCB,Total ADC,2022,253.5,False
Male MHCB,Total ADC,2023,259.1,False
Male MHCB,Total ADC,2024,296.9,False
Male MHCB,Total ADC,2025,292.4,False
Male MHCB,Total ADC,2026,284.3,True
Male MHCB,Total ADC,2027,278.6,True
Male MHCB,Total ADC,2028,277.2,True
Male MHCB,Total ADC,2029,274.0,True
Male MHCB,Total ADC,2030,270.6,True
Male MHCB,Bed Need (90%),2014,401.0,False
Male MHCB,Bed Need (90%),2015,474.0,False
Male MHCB,Bed Need (90%),2016,481.0,False
Male MHCB,Bed Need (90%),2017,464.0,False
Male MHCB,Bed Need (90%),2018,397.0,False
Male MHCB,Bed Need (90%),2019,296.0,False
Male MHCB,Bed Need (90%),2020,329.0,False
Male MHCB,Bed Need (90%),2021,282.0,False
Male MHCB,Bed Need (90%),2022,282.0,False
Male MHCB,Bed Need (90%),2023,288.0,False
Male MHCB,Bed Need (90%),2024,330.0,False
Male MHCB,Bed Need (90%),2025,325.0,False
Male MHCB,Bed Need (90%),2026,316.0,True
Male MHCB,Bed Need (90%),2027,310.0,True
Male MHCB,Bed Need (90%),2028,308.0,True
Male MHCB,Bed Need (90%),2029,304.0,True
Male MHCB,Bed Need (90%),2030,301.0,True
Male EOP-GP,Level I Census Rate,2014,13.58,False
Male EOP-GP,Level I Census Rate,2015,15.96,False
Male EOP-GP,Level I Census Rate,2016,16.94,False
Male EOP-GP,Level I Census Rate,2017,16.94,False
Male EOP-GP,Level I Census Rate,2018,20.0,False
Male EOP-GP,Level I Census Rate,2019,22.28,False
Male EOP-GP,Level I Census Rate,2020,24.48,False
Male EOP-GP,Level I Census Rate,2021,21.26,False
Male EOP-GP,Level I Census Rate,2022,30.49,False
Male EOP-GP,Level I Census Rate,2023,35.39,False
Male EOP-GP,Level I Census Rate,2024,47.55,False
Male EOP-GP,Level I Census Rate,2025,34.09,False
Male EOP-GP,Level I Census Rate,2026,34.09,True
Male EOP-GP,Level I Census Rate,2027,34.09,True
Male EOP-GP,Level I Census Rate,2028,34.09,True
Male EOP-GP,Level I Census Rate,2029,34.09,True
Male EOP-GP,Level I Census Rate,2030,34.09,True
Male EOP-GP,Level I Avg Census,2014,199.0,False
Male EOP-GP,Level I Avg Census,2015,230.7,False
Male EOP-GP,Level I Avg Census,2016,198.9,False
Male EOP-GP,Level I Avg Census,2017,197.5,False
Male EOP-GP,Level I Avg Census,2018,263.8,False
Male EOP-GP,Level I Avg Census,2019,321.2,False
Male EOP-GP,Level I Avg Census,2020,336.6,False
Male EOP-GP,Level I Avg Census,2021,228.0,False
Male EOP-GP,Level I Avg Census,2022,268.1,False
Male EOP-GP,Level I Avg Census,2023,298.2,False
Male EOP-GP,Level I Avg Census,2024,352.8,False
Male EOP-GP,Level I Avg Census,2025,304.8,False
Male EOP-GP,Level I Avg Census,2026,296.7,True
Male EOP-GP,Level I Avg Census,2027,281.7,True
Male EOP-GP,Level I Avg Census,2028,276.2,True
Male EOP-GP,Level I Avg Census,2029,276.7,True
Male EOP-GP,Level I Avg Census,2030,276.1,True
Male EOP-GP,Level I Bed Need (95%),2014,209.0,False
Male EOP-GP,Level I Bed Need (95%),2015,243.0,False
Male EOP-GP,Level I Bed Need (95%),2016,209.0,False
Male EOP-GP,Level I Bed Need (95%),2017,208.0,False
Male EOP-GP,Level I Bed Need (95%),2018,278.0,False
Male EOP-GP,Level I Bed Need (95%),2019,338.0,False
Male EOP-GP,Level I Bed Need (95%),2020,354.0,False
Male EOP-GP,Level I Bed Need (95%),2021,240.0,False
Male EOP-GP,Level I Bed Need (95%),2022,282.0,False
Male EOP-GP,Level I Bed Need (95%),2023,314.0,False
Male EOP-GP,Level I Bed Need (95%),2024,371.0,False
Male EOP-GP,Level I Bed Need (95%),2025,321.0,False
Male EOP-GP,Level I Bed Need (95%),2026,312.0,True
Male EOP-GP,Level I Bed Need (95%),2027,297.0,True
Male EOP-GP,Level I Bed Need (95%),2028,291.0,True
Male EOP-GP,Level I Bed Need (95%),2029,291.0,True
Male EOP-GP,Level I Bed Need (95%),2030,291.0,True
Male EOP-GP,Level II Census Rate,2014,36.85,False
Male EOP-GP,Level II Census Rate,2015,41.17,False
Male EOP-GP,Level II Census Rate,2016,42.66,False
Male EOP-GP,Level II Census Rate,2017,49.29,False
Male EOP-GP,Level II Census Rate,2018,54.42,False
Male EOP-GP,Level II Census Rate,2019,51.84,False
Male EOP-GP,Level II Census Rate,2020,53.06,False
Male EOP-GP,Level II Census Rate,2021,58.76,False
Male EOP-GP,Level II Census Rate,2022,60.55,False
Male EOP-GP,Level II Census Rate,2023,64.68,False
Male EOP-GP,Level II Census Rate,2024,71.66,False
Male EOP-GP,Level II Census Rate,2025,75.86,False
Male EOP-GP,Level II Census Rate,2026,75.86,True
Male EOP-GP,Level II Census Rate,2027,75.86,True
Male EOP-GP,Level II Census Rate,2028,75.86,True
Male EOP-GP,Level II Census Rate,2029,75.86,True
Male EOP-GP,Level II Census Rate,2030,75.86,True
Male EOP-GP,Level II Avg Census,2014,1467.4,False
Male EOP-GP,Level II Avg Census,2015,1668.5,False
Male EOP-GP,Level II Avg Census,2016,1901.8,False
Male EOP-GP,Level II Avg Census,2017,2215.6,False
Male EOP-GP,Level II Avg Census,2018,2540.2,False
Male EOP-GP,Level II Avg Census,2019,2459.5,False
Male EOP-GP,Level II Avg Census,2020,2490.4,False
Male EOP-GP,Level II Avg Census,2021,2373.0,False
Male EOP-GP,Level II Avg Census,2022,2527.7,False
