year,month,cdcr_code,in_custody
2026,6,CCWF,2170
2026,6,CEN,3229
2026,6,CHCF,2447
2026,6,CIM,2846
2025,1,ASP,3784
2025,1,CIW,1281
2025,1,CMC,2200
2025,1,CMF,1870
2025,1,COR,2664
2025,1,CRC,2737
2025,1,CTF,4346
2025,1,FOL,2765
2025,1,HDSP,2801
2025,1,ISP,2823
2025,1,KVSP,3182
2025,1,LAC,3113
2025,1,MCSP,3852
2025,1,NKSP,2697
2025,1,PBSP,2030
2025,1,PVSP,2899
2025,1,RJD,3273
2025,1,SAC,2113
2025,1,CAL,2485
2025,1,SATF,5146
2025,1,SCC,4170
2025,1,SOL,3882
2025,1,SQ,2931
2025,1,SVSP,2356
2025,1,VSP,3132
2025,1,WSP,3834
2025,1,CPMP,
2025,1,FCRF,358
2025,1,Alternative Custody Program,11
2025,1,Department of State Hospitals,179
2025,1,Male Community Reentry Facility,656
2025,1,Medical Reprieve Program,
2025,1,CCI,2371
2025,1,CCWF,1995
2025,1,CEN,2794
2025,1,CHCF,2095
2025,1,CIM,2238
2025,2,ASP,3765
2025,2,CIW,1241
2025,2,CMC,2205
2025,2,CMF,1891
2025,2,COR,2632
2025,2,CRC,2756
2025,2,CTF,4324
2025,2,FOL,2817
2025,2,HDSP,2793
2025,2,ISP,2610
2025,2,KVSP,3153
2025,2,LAC,3144
2025,2,MCSP,3805
2025,2,NKSP,2650
2025,2,PBSP,2018
2025,2,PVSP,2834
2025,2,RJD,3366
2025,2,SAC,2058
2025,2,CAL,2539
2025,2,SATF,5234
2025,2,SCC,4180
2025,2,SOL,3875
2025,2,SQ,2879
2025,2,SVSP,2370
2025,2,VSP,3083
2025,2,WSP,3819
2025,2,CPMP,
2025,2,FCRF,383
2025,2,Alternative Custody Program,
2025,2,Department of State Hospitals,191
2025,2,Male Community Reentry Facility,674
2025,2,Medical Reprieve Program,
2025,2,CCI,2420
2025,2,CCWF,2023
2025,2,CEN,2797
2025,2,CHCF,2079
2025,2,CIM,2310
2025,3,ASP,3809
2025,3,CIW,1228
2025,3,CMC,2185
2025,3,CMF,1909
2025,3,COR,2618
2025,3,CRC,2698
2025,3,CTF,4304
2025,3,FOL,2829
2025,3,HDSP,2903
2025,3,ISP,2514
2025,3,KVSP,3072
2025,3,LAC,3081
2025,3,MCSP,3803
2025,3,NKSP,2596
2025,3,PBSP,2005
2025,3,PVSP,2844
2025,3,RJD,3433
2025,3,SAC,2075
2025,3,CAL,2555
2025,3,SATF,5337
2025,3,SCC,4110
2025,3,SOL,3882
2025,3,SQ,2865
