institution,fiscal_year,category,metric,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
SAC,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SAC,2021-2022,Number of Deaths,Homicide,,,,,,,1.00,,1.00,,1.00,
SAC,2021-2022,Number of Deaths,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SAC,2021-2022,Number of Deaths,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SAC,2021-2022,Number of Deaths,Suicide,,,,,,,,,,,,1.00
SAC,2021-2022,Overtime Hours,Custody (Overtime),"31,509.05","35,587.58","23,377.64","32,579.81","27,295.12","27,058.09","36,582.20","30,214.03","28,723.88","30,233.40","39,203.56","32,241.66"
SAC,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),274.25,243.85,234.95,204.60,231.35,265.85,209.65,139.20,163.25,282.30,234.55,283.38
SAC,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,667.50","2,333.75","1,884.00","2,542.75","1,511.45","1,902.75","2,011.50","1,776.67","1,962.45","1,798.50","2,369.25","2,059.75"
SAC,2021-2022,Overtime Hours,Total Overtime Hours,"33,450.80","38,165.18","25,496.59","35,327.16","29,037.92","29,226.69","38,803.35","32,129.90","30,849.58","32,314.20","41,807.36","34,584.79"
SAC,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SAC,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SAC,2021-2022,Use of Force (UOF),Total UOF Incidents,42.00,39.00,38.00,51.00,64.00,44.00,42.00,23.00,38.00,41.00,57.00,56.00
SATF,2021-2022,Fiscal,Actual Expenditures ($),"20,276,517.35","42,136,263.62","63,547,925.75","85,170,598.27","107,694,225.28","134,341,039.47","155,331,464.88","178,674,662.35","200,830,311.79","222,442,877.83","243,966,405.06","266,078,928.76"
SATF,2021-2022,Fiscal,Institution Budget ($),"231,792,476.00","231,952,130.00","231,952,130.00","231,955,202.00","246,822,799.00","246,845,162.00","247,311,475.00","249,412,578.00","249,140,707.00","267,752,146.00","268,892,838.00","269,188,909.00"
SATF,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,1.32,5.71,2.93,0.49,5.47,1.55,23.00,25.65,9.54,6.21,14.48,1.05
SATF,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SATF,2021-2022,Number of Deaths,Expected,,1.00,,,,,2.00,,,,,
SATF,2021-2022,Number of Deaths,Homicide,1.00,,,,,,,,,,,
SATF,2021-2022,Number of Deaths,Suicide,,,,1.00,,,,,,,,
SATF,2021-2022,Number of Deaths,Unexpected,,,1.00,1.00,1.00,1.00,,,,,,
SATF,2021-2022,Number of Deaths,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SATF,2021-2022,Number of Deaths,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SATF,2021-2022,Overtime Hours,Custody (Overtime),"29,211.55","37,768.04","32,320.56","40,719.46","30,720.87","31,420.71","41,823.22","34,641.15","33,598.85","31,816.58","37,371.34","30,800.03"
SATF,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),124.64,149.30,117.37,188.41,194.39,140.35,90.72,88.43,71.50,113.35,176.53,155.63
SATF,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,836.00","2,132.75","1,746.25","2,659.50","2,060.50","2,023.75","2,514.25","2,756.50","2,609.50","2,171.70","2,182.00","2,430.75"
SATF,2021-2022,Overtime Hours,Total Overtime Hours,"31,172.19","40,050.09","34,184.18","43,567.37","32,975.76","33,584.81","44,428.19","37,486.08","36,279.85","34,101.63","39,729.87","33,386.41"
SATF,2021-2022,Use of Force (UOF),Total UOF Incidents,18.00,25.00,22.00,29.00,24.00,21.00,17.00,22.00,30.00,16.00,24.00,20.00
SCC,2021-2022,Fiscal,Actual Expenditures ($),"19,670,019.57","35,080,772.52","52,029,480.14","68,029,083.58","84,432,789.36","104,616,286.56","118,896,891.29","132,875,538.46","147,580,124.77","162,066,070.13","176,780,218.96","189,814,355.49"
SCC,2021-2022,Fiscal,Institution Budget ($),"164,402,514.00","164,590,848.00","164,590,848.00","164,643,576.00","178,947,520.00","178,979,756.00","180,135,182.00","181,216,140.00","181,166,147.00","187,595,274.00","187,394,350.00","187,785,228.00"
SCC,2021-2022,Fiscal,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SCC,2021-2022,Fiscal,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SCC,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,2.47,5.52,2.23,1.23,0.64,0.58,7.72,8.60,2.52,0.28,0.29,1.03
SCC,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SCC,2021-2022,Number of Deaths,Homicide,,,,1.00,,,,,,,,
SCC,2021-2022,Overtime Hours,Custody (Overtime),"26,555.52","41,599.36","35,868.34","30,732.42","14,938.80","14,818.40","28,823.64","20,008.45","18,997.96","18,078.27","26,370.66","25,842.65"
SCC,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SCC,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SCC,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),0.00,12.60,32.00,21.00,74.10,56.00,44.00,24.00,17.15,16.00,8.00,13.00
SCC,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,874.00","2,188.50","1,344.50","2,336.75","1,318.25","1,999.75","3,174.50","2,428.75","2,287.00","1,923.50","2,530.75","2,666.00"
SCC,2021-2022,Overtime Hours,Total Overtime Hours,"28,429.52","43,800.46","37,244.84","33,090.17","16,331.15","16,874.15","32,042.14","22,461.20","21,302.11","20,017.77","28,909.41","28,521.65"
SCC,2021-2022,Use of Force (UOF),Total UOF Incidents,16.00,10.00,22.00,16.00,20.00,12.00,14.00,11.00,19.00,9.00,14.00,8.00
SOL,2021-2022,Fiscal,Actual Expenditures ($),"13,765,627.57","28,377,724.23","44,138,008.79","59,052,918.41","73,789,503.57","92,669,515.25","106,799,380.01","121,292,854.20","135,834,575.64","151,276,407.04","165,174,417.13","182,497,846.52"
SOL,2021-2022,Fiscal,Institution Budget ($),"160,452,426.00","160,467,566.00","160,467,566.00","160,971,091.00","171,408,014.00","171,427,414.00","172,863,317.00","174,015,357.00","173,882,278.00","180,567,387.00","181,853,641.00","182,062,730.00"
SOL,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.79,0.00,23.92,1.90,2.55,23.08,20.91,7.67,5.92,4.96,16.06
SOL,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SOL,2021-2022,Number of Deaths,Expected,,,1.00,,,,,,,,,
SOL,2021-2022,Number of Deaths,Unexpected,,,,,,,,,1.00,,,1.00
SOL,2021-2022,Number of Deaths,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SOL,2021-2022,Number of Deaths,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SOL,2021-2022,Overtime Hours,Custody (Overtime),"19,309.57","25,881.02","21,731.79","23,264.59","19,879.95","18,969.35","27,414.06","18,606.72","16,853.92","15,486.81","19,086.07","19,872.95"
SOL,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),237.94,150.55,171.50,93.60,80.15,66.10,77.07,41.99,80.90,93.86,106.00,71.60
SOL,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,723.25","2,138.25","1,741.50","1,550.75","1,204.50","1,146.67","1,651.50","1,518.00","1,631.50","1,463.25","2,193.75","1,931.00"
SOL,2021-2022,Overtime Hours,Total Overtime Hours,"21,270.76","28,169.82","23,644.79","24,908.94","21,164.60","20,182.12","29,142.63","20,166.71","18,566.32","17,043.92","21,385.82","21,875.55"
SOL,2021-2022,Use of Force (UOF),Total UOF Incidents,11.00,7.00,5.00,8.00,13.00,8.00,8.00,7.00,8.00,4.00,7.00,8.00
SQ,2021-2022,Fiscal,Actual Expenditures ($),"19,314,760.39","37,978,636.87","57,789,034.87","76,941,312.12","97,738,256.71","120,948,247.11","140,741,073.82","161,448,478.06","180,592,549.52","199,879,629.04","218,936,726.76","240,343,631.28"
SQ,2021-2022,Fiscal,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SQ,2021-2022,Fiscal,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SQ,2021-2022,Fiscal,Institution Budget ($),"214,445,426.00","214,583,058.00","214,584,358.00","215,829,194.00","226,467,835.00","226,625,753.00","228,138,942.00","229,218,414.00","228,979,677.00","237,962,352.00","239,550,870.00","239,686,120.00"
SQ,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,30.46,30.32,28.96,30.23,29.63,30.58,23.26,27.92,8.07,0.00,26.41,17.76
SQ,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SQ,2021-2022,Lockdowns and Modified Programs,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SQ,2021-2022,Lockdowns and Modified Programs,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SQ,2021-2022,Number of Deaths,Expected,,1.00,1.00,,,,1.00,,,,,1.00
SQ,2021-2022,Number of Deaths,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SQ,2021-2022,Number of Deaths,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SQ,2021-2022,Number of Deaths,Unexpected,1.00,,,,,,,,2.00,,,
SQ,2021-2022,Overtime Hours,Custody (Overtime),"15,618.44","25,868.39","22,793.61","27,719.17","15,977.65","15,150.53","28,967.47","14,593.65","18,312.82","20,526.08","27,581.87","16,041.87"
SQ,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),264.64,160.25,113.15,180.80,210.70,153.80,160.00,95.55,119.25,128.60,183.00,219.20
SQ,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,743.25","2,013.50","1,910.00","2,014.50","1,705.50","1,740.50","2,313.78","1,800.25","1,955.15","1,749.00","2,301.75","2,082.38"
SQ,2021-2022,Overtime Hours,Total Overtime Hours,"17,626.33","28,042.14","24,816.76","29,914.47","17,893.85","17,044.83","31,441.25","16,489.45","20,387.22","22,403.68","30,066.62","18,343.45"
SQ,2021-2022,Use of Force (UOF),Total UOF Incidents,4.00,0.00,5.00,7.00,10.00,6.00,8.00,4.00,7.00,10.00,7.00,9.00
SVSP,2021-2022,Fiscal,Actual Expenditures ($),"18,721,203.21","37,013,730.99","58,044,715.92","78,607,297.76","100,651,224.84","124,528,466.71","144,917,322.32","165,112,131.73","185,165,270.67","205,058,609.91","225,550,139.58","247,086,308.77"
SVSP,2021-2022,Fiscal,Institution Budget ($),"274,053,704.00","274,042,315.00","274,064,195.00","274,111,286.00","240,464,294.00","241,464,875.00","241,528,847.00","242,652,269.00","242,374,201.00","249,937,033.00","252,149,302.00","252,485,126.00"
SVSP,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.38,0.85,21.35,2.17,1.48,12.27,31.25,27.98,8.76,6.96,3.67,1.36
SVSP,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SVSP,2021-2022,Number of Deaths,Expected,,1.00,,,1.00,,1.00,1.00,,,,
SVSP,2021-2022,Number of Deaths,Homicide,,,,,,,,,,,1.00,
SVSP,2021-2022,Number of Deaths,Suicide,,,,,,,,,1.00,,,
SVSP,2021-2022,Number of Deaths,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SVSP,2021-2022,Number of Deaths,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SVSP,2021-2022,Number of Deaths,Unexpected,,,,1.00,,,1.00,,,,,1.00
SVSP,2021-2022,Overtime Hours,Custody (Overtime),"35,628.89","42,347.98","34,682.14","38,030.56","36,276.29","37,988.05","44,244.42","32,709.53","37,747.99","36,648.82","45,512.53","37,438.57"
SVSP,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),148.50,415.84,82.50,140.00,312.18,120.15,159.10,270.75,172.23,121.50,520.88,318.00
SVSP,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,939.17","2,397.58","1,774.75","2,536.25","1,737.50","1,852.50","1,835.75","1,781.50","2,153.25","2,060.75","2,146.75","1,649.75"
SVSP,2021-2022,Overtime Hours,Total Overtime Hours,"37,716.56","45,161.40","36,539.39","40,706.81","38,325.97","39,960.70","46,239.27","34,761.78","40,073.47","38,831.07","48,180.16","39,406.32"
SVSP,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
SVSP,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
SVSP,2021-2022,Use of Force (UOF),Total UOF Incidents,65.00,63.00,44.00,78.00,49.00,57.00,38.00,54.00,48.00,49.00,68.00,42.00
VSP,2021-2022,Fiscal,Actual Expenditures ($),"11,965,709.58","24,952,682.58","37,284,632.99","49,244,050.42","62,432,124.33","76,696,088.00","89,012,175.76","102,234,678.84","114,512,204.74","127,398,253.24","138,751,113.84","152,741,144.62"
VSP,2021-2022,Fiscal,Institution Budget ($),"130,246,419.00","130,270,505.00","130,290,450.00","130,290,450.00","143,727,320.00","143,727,320.00","145,250,162.00","146,379,503.00","146,253,023.00","152,461,400.00","153,888,134.00","154,211,111.00"
VSP,2021-2022,Fiscal,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
VSP,2021-2022,Fiscal,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
VSP,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.00,12.94,0.00,0.00,0.00,25.44,18.00,0.00,4.32,16.79,18.23
VSP,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VSP,2021-2022,Lockdowns and Modified Programs,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
VSP,2021-2022,Lockdowns and Modified Programs,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
VSP,2021-2022,Number of Deaths,Expected,,,,1.00,,,,,,2.00,,
VSP,2021-2022,Number of Deaths,Unexpected,,,,,,,,2.00,1.00,,,
VSP,2021-2022,Number of Deaths,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
VSP,2021-2022,Number of Deaths,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
VSP,2021-2022,Overtime Hours,Custody (Overtime),"15,963.71","16,585.10","14,301.64","17,395.76","12,272.75","11,121.08","17,474.17","13,395.78","14,275.82","12,005.97","18,483.09","14,493.35"
VSP,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),81.75,115.80,70.00,27.25,24.00,46.85,27.45,14.90,62.21,16.00,24.00,26.90
VSP,2021-2022,Overtime Hours,Non-Custody (Overtime),679.25,839.40,730.75,"1,062.00",602.25,568.00,962.50,652.50,961.50,872.75,"1,219.75","1,046.25"
VSP,2021-2022,Overtime Hours,Total Overtime Hours,"16,724.71","17,540.30","15,102.39","18,485.01","12,899.00","11,735.93","18,464.12","14,063.18","15,299.53","12,894.72","19,726.84","15,566.50"
VSP,2021-2022,Use of Force (UOF),Total UOF Incidents,4.00,7.00,4.00,0.00,1.00,4.00,1.00,4.00,8.00,5.00,3.00,5.00
WSP,2021-2022,Fiscal,Actual Expenditures ($),"16,057,261.66","33,392,499.59","50,851,005.30","67,270,982.75","85,644,608.78","106,839,213.44","123,650,818.57","141,310,639.10","158,125,850.11","175,332,006.26","192,744,790.55","210,255,605.06"
WSP,2021-2022,Fiscal,Institution Budget ($),"193,037,287.00","193,441,237.00","193,441,237.00","193,721,189.00","205,705,747.00","205,705,747.00","206,945,058.00","208,158,613.00","207,928,445.00","222,543,386.00","221,812,398.00","221,942,468.00"
WSP,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.84,0.15,1.30,2.32,1.25,0.88,14.07,4.62,1.35,0.00,0.00,0.11
WSP,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
WSP,2021-2022,Number of Deaths,Homicide,,,,,,,,,1.00,,,
WSP,2021-2022,Number of Deaths,Suicide,,,,,,,,,,1.00,,
WSP,2021-2022,Number of Deaths,Unexpected,,,,,1.00,,1.00,,,,1.00,
WSP,2021-2022,Overtime Hours,Custody (Overtime),"16,267.87","25,625.34","20,942.30","26,877.39","18,409.51","20,945.92","31,347.42","16,507.35","18,956.70","21,780.71","27,403.56","20,853.40"
WSP,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
WSP,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
WSP,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),209.65,253.40,193.05,183.95,196.85,156.20,288.75,159.85,166.35,149.00,202.45,133.05
WSP,2021-2022,Overtime Hours,Non-Custody (Overtime),"2,070.00","1,911.30","1,534.50","1,778.00","1,393.00","1,495.50","1,931.58","1,378.50","1,523.70","2,226.25","2,344.75","1,771.25"
WSP,2021-2022,Overtime Hours,Total Overtime Hours,"18,547.52","27,790.04","22,669.85","28,839.34","19,999.36","22,597.62","33,567.75","18,045.70","20,646.75","24,155.96","29,950.76","22,757.70"
WSP,2021-2022,Use of Force (UOF),Total UOF Incidents,28.00,22.00,18.00,11.00,14.00,23.00,15.00,10.00,18.00,22.00,18.00,16.00
WSP,2021-2022,Use of Force (UOF),Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
WSP,2021-2022,Use of Force (UOF),Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
ASP,2022-2023,Fiscal,Actual Expenditures ($),"17,712,692.58","37,861,600.56","55,971,601.25","75,640,842.71","92,997,837.58","116,108,142.10","134,696,409.64","153,325,656.63","174,473,382.13","193,790,723.29","211,931,159.93","229,915,601.11"
ASP,2022-2023,Fiscal,Institution Budget ($),"195,110,010.00","195,428,939.00","195,443,731.00","195,724,093.00","220,758,464.00","220,814,674.00","224,782,179.00","226,502,853.00","226,436,186.00","230,776,232.00","230,929,792.00","230,942,754.00"
ASP,2022-2023,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,6.77,6.48,17.37,1.24,2.16,3.51,0.00,0.00,0.00,0.28,0.50,2.19
ASP,2022-2023,Lockdowns and Modified Programs,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
ASP,2022-2023,Lockdowns and Modified Programs,Metric,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
ASP,2022-2023,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASP,2022-2023,Overtime Hours,Custody (Overtime),"26,743.46","14,623.24","29,204.76","13,651.36","11,858.19","13,123.56","13,903.54","8,722.52","9,046.81","12,731.39","8,509.38","11,519.05"
ASP,2022-2023,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
ASP,2022-2023,Overtime Hours,Metric,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
ASP,2022-2023,Overtime Hours,Dental + Mental Health (Overtime),31.50,59.00,44.50,53.00,19.00,65.00,41.00,15.50,44.56,47.30,52.50,65.50
ASP,2022-2023,Overtime Hours,Non-Custody (Overtime),"4,019.25","3,164.50","4,130.00","2,847.25","3,787.58","2,058.66","4,600.25","2,080.25","2,496.00","2,674.25","2,068.50","2,680.75"
ASP,2022-2023,Overtime Hours,Total Overtime Hours,"30,794.21","17,846.74","33,379.26","16,551.61","15,664.77","15,247.22","18,544.79","10,818.27","11,587.37","15,452.94","10,630.38","14,265.30"
ASP,2022-2023,Use of Force (UOF),Total UOF Incidents,7.00,20.00,18.00,5.00,8.00,15.00,10.00,9.00,21.00,21.00,21.00,21.00
CAC,2022-2023,Fiscal,Actual Expenditures ($),"8,003,078.60","16,800,084.64","25,527,795.97","33,975,936.22","42,661,052.14","51,882,238.53","59,981,360.56","68,573,722.33","76,061,559.90","84,558,383.85","92,035,583.11","98,743,057.11"
CAC,2022-2023,Fiscal,Institution Budget ($),"86,657,361.00","86,782,888.00","86,796,562.00","86,818,768.00","97,501,992.00","97,807,130.00","99,066,805.00","99,768,076.00","99,644,089.00","102,930,324.00","102,930,603.00","102,682,989.00"
CAC,2022-2023,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,5.08,0.58,1.35,0.45,10.25,8.68,5.32,5.39,0.30,6.87,5.21,3.51
CAC,2022-2023,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAC,2022-2023,Overtime Hours,Custody (Overtime),"9,789.55","7,997.75","8,488.55","11,389.05","9,796.62","10,934.51","13,090.39","10,666.72","12,113.37","13,900.37","8,470.52","4,540.87"
CAC,2022-2023,Overtime Hours,Dental + Mental Health (Overtime),36.80,34.50,31.05,35.65,33.35,35.65,35.65,31.05,34.50,34.50,34.35,39.35
CAC,2022-2023,Overtime Hours,Non-Custody (Overtime),496.50,344.50,421.00,448.25,256.50,335.98,437.25,597.75,795.50,871.00,949.25,806.25
CAC,2022-2023,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CAC,2022-2023,Overtime Hours,Metric,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
CAC,2022-2023,Overtime Hours,Total Overtime Hours,"10,322.85","8,376.75","8,940.60","11,872.95","10,086.47","11,306.14","13,563.29","11,295.52","12,943.37","14,805.87","9,454.12","5,386.47"
CAC,2022-2023,Use of Force (UOF),Total UOF Incidents,4.00,7.00,8.00,12.00,4.00,4.00,7.00,4.00,7.00,6.00,2.00,0.00
CAC,2022-2023,Use of Force (UOF),Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CAC,2022-2023,Use of Force (UOF),Metric,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
CAL,2022-2023,Fiscal,Actual Expenditures ($),"16,195,278.66","34,256,481.67","51,182,684.82","69,755,990.18","87,126,540.69","108,117,602.49","124,811,024.71","142,586,629.91","159,878,171.20","176,604,618.06","193,928,881.86","210,960,781.39"
CAL,2022-2023,Fiscal,Institution Budget ($),"182,058,873.00","182,237,951.00","182,476,314.00","182,840,886.00","203,569,982.00","203,595,182.00","206,935,502.00","207,916,338.00","207,738,233.00","211,762,752.28","211,997,506.28","212,054,314.28"
CAL,2022-2023,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,7.51,5.01,0.87,0.00,0.66,1.30,0.85,13.79,12.32,0.00,0.00,0.00
CAL,2022-2023,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAL,2022-2023,Number of Deaths,Unexpected,1.00,1.00,,1.00,,,,,,,,
CAL,2022-2023,Overtime Hours,Custody (Overtime),"22,189.97","14,427.46","24,716.98","17,711.74","15,686.73","18,422.46","21,504.31","15,731.58","17,809.59","21,692.94","19,742.76","18,673.93"
CAL,2022-2023,Overtime Hours,Dental + Mental Health (Overtime),24.00,24.00,16.00,16.00,0.00,16.00,19.45,21.05,32.00,34.75,25.15,8.00
CAL,2022-2023,Overtime Hours,Non-Custody (Overtime),"2,611.00","2,120.00","2,214.00","2,690.92","1,779.00","1,846.50","1,977.92","1,975.90","1,936.50","2,297.50","2,080.50","2,097.00"
CAL,2022-2023,Overtime Hours,Total Overtime Hours,"24,824.97","16,571.46","26,946.98","20,418.66","17,465.73","20,284.96","23,501.68","17,728.53","19,778.09","24,025.19","21,848.41","20,778.93"
CAL,2022-2023,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CAL,2022-2023,Overtime Hours,Metric,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
CAL,2022-2023,Use of Force (UOF),Total UOF Incidents,4.00,11.00,6.00,4.00,3.00,10.00,5.00,6.00,13.00,17.00,12.00,20.00
CCC,2022-2023,Fiscal,Actual Expenditures ($),"14,130,655.96","28,813,167.81","42,390,785.54","58,081,440.79","67,771,431.81","71,828,254.57","75,551,494.87","78,661,149.88","84,134,812.34","89,106,733.33","93,748,446.71","97,668,931.40"
CCC,2022-2023,Fiscal,Institution Budget ($),"149,175,339.00","149,544,503.00","149,545,736.00","149,818,256.00","154,752,240.00","155,041,159.00","156,064,087.00","155,978,915.00","155,935,957.00","102,980,468.00","102,934,206.00","102,943,186.00"
