institution,fiscal_year,category,metric,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
CAL,2021-2022,Overtime Hours,Custody (Overtime),"13,889.47","20,870.49","18,602.92","20,996.35","18,573.96","15,952.45","26,549.05","18,022.00","18,534.99","17,433.59","21,212.09","14,925.13"
CAL,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),55.00,34.80,24.45,67.65,43.50,38.20,55.75,41.15,24.00,24.00,8.50,16.00
CAL,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,522.00","1,673.00","1,380.00","1,697.50","1,264.00","1,599.25","1,631.25","1,364.50","1,571.50","1,474.50","2,008.00","1,992.40"
CAL,2021-2022,Overtime Hours,Total Overtime Hours,"15,466.47","22,578.29","20,007.37","22,761.50","19,881.46","17,589.90","28,236.05","19,427.65","20,130.49","18,932.09","23,228.59","16,933.53"
CAL,2021-2022,Use of Force (UOF),Total UOF Incidents,10.00,7.00,14.00,10.00,9.00,4.00,8.00,8.00,11.00,8.00,6.00,3.00
CCC,2021-2022,Fiscal,Actual Expenditures ($),"13,065,502.14","28,259,409.14","44,939,375.74","60,062,282.90","74,132,179.47","88,358,300.16","100,729,621.05","112,696,734.38","123,286,074.05","128,093,723.54","140,032,261.56","151,710,738.80"
CCC,2021-2022,Fiscal,Institution Budget ($),"152,691,527.00","152,600,001.00","152,646,514.00","152,917,399.00","156,157,009.00","156,157,009.00","155,858,932.00","156,419,527.00","156,327,947.00","160,591,812.00","156,744,361.00","156,906,316.00"
CCC,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,21.87,20.74,19.31,20.25,18.83,19.60,22.38,18.78,22.78,13.91,2.27,10.69
CCC,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCC,2021-2022,Overtime Hours,Custody (Overtime),"38,071.93","61,504.36","41,455.70","25,807.03","13,226.20","13,251.52","22,930.55","18,824.31","20,712.44","18,135.20","19,624.07","18,105.63"
CCC,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),172.35,80.90,73.00,70.00,110.85,73.00,85.45,69.15,54.90,67.80,83.95,41.45
CCC,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,468.45","1,660.25","1,243.50","1,400.25",963.75,"1,299.75","1,410.50","1,229.00","1,154.00","1,286.00","1,692.49","1,329.00"
