month,institution,measure,value
Dec 2025,SW,High Risk Priority 1,9%
Dec 2025,SW,High Risk Priority 2,11%
Dec 2025,SW,Medium Risk,40%
Dec 2025,SW,Low Risk,40%
Dec 2025,SW,Mental Health EOP,9%
Dec 2025,SW,Disability Placement Program (DPP) Patients,16%
Dec 2025,SW,Patients 50 Years or Older,30%
Dec 2025,SW,Specialized Health Care Beds,3157
Dec 2025,SW,Institution Population,90354
Dec 2025,ASP,High Risk Priority 1,0%
Dec 2025,ASP,High Risk Priority 2,0%
Dec 2025,ASP,Medium Risk,39%
Dec 2025,ASP,Low Risk,61%
Dec 2025,ASP,Mental Health EOP,0%
Dec 2025,ASP,Disability Placement Program (DPP) Patients,4%
Dec 2025,ASP,Patients 50 Years or Older,29%
Dec 2025,ASP,Specialized Health Care Beds,28
Dec 2025,ASP,Institution Population,3842
Dec 2025,CAL,High Risk Priority 1,1%
Dec 2025,CAL,High Risk Priority 2,4%
Dec 2025,CAL,Medium Risk,18%
Dec 2025,CAL,Low Risk,78%
Dec 2025,CAL,Mental Health EOP,0%
Dec 2025,CAL,Disability Placement Program (DPP) Patients,4%
Dec 2025,CAL,Patients 50 Years or Older,11%
Dec 2025,CAL,Specialized Health Care Beds,18
Dec 2025,CAL,Institution Population,2546
Dec 2025,CCI,High Risk Priority 1,2%
Dec 2025,CCI,High Risk Priority 2,7%
Dec 2025,CCI,Medium Risk,56%
Dec 2025,CCI,Low Risk,35%
Dec 2025,CCI,Mental Health EOP,6%
Dec 2025,CCI,Disability Placement Program (DPP) Patients,6%
Dec 2025,CCI,Patients 50 Years or Older,18%
Dec 2025,CCI,Specialized Health Care Beds,16
Dec 2025,CCI,Institution Population,2402
Dec 2025,CCWF,High Risk Priority 1,9%
Dec 2025,CCWF,High Risk Priority 2,11%
Dec 2025,CCWF,Medium Risk,59%
Dec 2025,CCWF,Low Risk,21%
Dec 2025,CCWF,Mental Health EOP,5%
Dec 2025,CCWF,Disability Placement Program (DPP) Patients,13%
Dec 2025,CCWF,Patients 50 Years or Older,20%
Dec 2025,CCWF,Specialized Health Care Beds,38
Dec 2025,CCWF,Institution Population,2209
Dec 2025,CEN,High Risk Priority 1,1%
Dec 2025,CEN,High Risk Priority 2,3%
Dec 2025,CEN,Medium Risk,19%
Dec 2025,CEN,Low Risk,77%
Dec 2025,CEN,Mental Health EOP,0%
Dec 2025,CEN,Disability Placement Program (DPP) Patients,4%
Dec 2025,CEN,Patients 50 Years or Older,13%
Dec 2025,CEN,Specialized Health Care Beds,13
Dec 2025,CEN,Institution Population,3193
Dec 2025,CHCF,High Risk Priority 1,48%
Dec 2025,CHCF,High Risk Priority 2,21%
Dec 2025,CHCF,Medium Risk,22%
Dec 2025,CHCF,Low Risk,8%
Dec 2025,CHCF,Mental Health EOP,21%
Dec 2025,CHCF,Disability Placement Program (DPP) Patients,53%
Dec 2025,CHCF,Patients 50 Years or Older,60%
Dec 2025,CHCF,Specialized Health Care Beds,1678
Dec 2025,CHCF,Institution Population,2382
Dec 2025,CIM,High Risk Priority 1,23%
Dec 2025,CIM,High Risk Priority 2,24%
Dec 2025,CIM,Medium Risk,33%
Dec 2025,CIM,Low Risk,20%
Dec 2025,CIM,Mental Health EOP,8%
Dec 2025,CIM,Disability Placement Program (DPP) Patients,27%
Dec 2025,CIM,Patients 50 Years or Older,57%
Dec 2025,CIM,Specialized Health Care Beds,78
Dec 2025,CIM,Institution Population,2334
Dec 2025,CIW,High Risk Priority 1,13%
Dec 2025,CIW,High Risk Priority 2,14%
Dec 2025,CIW,Medium Risk,50%
Dec 2025,CIW,Low Risk,23%
Dec 2025,CIW,Mental Health EOP,6%
Dec 2025,CIW,Disability Placement Program (DPP) Patients,19%
Dec 2025,CIW,Patients 50 Years or Older,23%
Dec 2025,CIW,Specialized Health Care Beds,98
Dec 2025,CIW,Institution Population,1109
Dec 2025,CMC,High Risk Priority 1,7%
Dec 2025,CMC,High Risk Priority 2,15%
Dec 2025,CMC,Medium Risk,51%
Dec 2025,CMC,Low Risk,27%
Dec 2025,CMC,Mental Health EOP,30%
Dec 2025,CMC,Disability Placement Program (DPP) Patients,12%
Dec 2025,CMC,Patients 50 Years or Older,31%
Dec 2025,CMC,Specialized Health Care Beds,87
Dec 2025,CMC,Institution Population,2214
Dec 2025,CMF,High Risk Priority 1,34%
Dec 2025,CMF,High Risk Priority 2,21%
Dec 2025,CMF,Medium Risk,32%
Dec 2025,CMF,Low Risk,13%
Dec 2025,CMF,Mental Health EOP,23%
Dec 2025,CMF,Disability Placement Program (DPP) Patients,42%
Dec 2025,CMF,Patients 50 Years or Older,52%
Dec 2025,CMF,Specialized Health Care Beds,501
Dec 2025,CMF,Institution Population,2199
Dec 2025,COR,High Risk Priority 1,9%
Dec 2025,COR,High Risk Priority 2,16%
Dec 2025,COR,Medium Risk,48%
Dec 2025,COR,Low Risk,28%
Dec 2025,COR,Mental Health EOP,10%
Dec 2025,COR,Disability Placement Program (DPP) Patients,18%
Dec 2025,COR,Patients 50 Years or Older,40%
Dec 2025,COR,Specialized Health Care Beds,92
Dec 2025,COR,Institution Population,2699
Dec 2025,CRC,High Risk Priority 1,4%
Dec 2025,CRC,High Risk Priority 2,8%
Dec 2025,CRC,Medium Risk,38%
Dec 2025,CRC,Low Risk,50%
Dec 2025,CRC,Mental Health EOP,0%
Dec 2025,CRC,Disability Placement Program (DPP) Patients,5%
Dec 2025,CRC,Patients 50 Years or Older,29%
Dec 2025,CRC,Specialized Health Care Beds,10
Dec 2025,CRC,Institution Population,1006
Dec 2025,CTF,High Risk Priority 1,5%
Dec 2025,CTF,High Risk Priority 2,13%
Dec 2025,CTF,Medium Risk,30%
Dec 2025,CTF,Low Risk,51%
Dec 2025,CTF,Mental Health EOP,0%
Dec 2025,CTF,Disability Placement Program (DPP) Patients,15%
Dec 2025,CTF,Patients 50 Years or Older,50%
Dec 2025,CTF,Specialized Health Care Beds,17
Dec 2025,CTF,Institution Population,4151
Dec 2025,FSP,High Risk Priority 1,4%
Dec 2025,FSP,High Risk Priority 2,9%
Dec 2025,FSP,Medium Risk,31%
Dec 2025,FSP,Low Risk,56%
Dec 2025,FSP,Mental Health EOP,0%
Dec 2025,FSP,Disability Placement Program (DPP) Patients,4%
Dec 2025,FSP,Patients 50 Years or Older,27%
Dec 2025,FSP,Specialized Health Care Beds,
Dec 2025,FSP,Institution Population,2743
Dec 2025,HDSP,High Risk Priority 1,3%
Dec 2025,HDSP,High Risk Priority 2,7%
Dec 2025,HDSP,Medium Risk,58%
Dec 2025,HDSP,Low Risk,32%
Dec 2025,HDSP,Mental Health EOP,4%
Dec 2025,HDSP,Disability Placement Program (DPP) Patients,17%
Dec 2025,HDSP,Patients 50 Years or Older,19%
Dec 2025,HDSP,Specialized Health Care Beds,30
Dec 2025,HDSP,Institution Population,2918
Dec 2025,ISP,High Risk Priority 1,2%
Dec 2025,ISP,High Risk Priority 2,7%
Dec 2025,ISP,Medium Risk,17%
Dec 2025,ISP,Low Risk,74%
Dec 2025,ISP,Mental Health EOP,0%
Dec 2025,ISP,Disability Placement Program (DPP) Patients,7%
Dec 2025,ISP,Patients 50 Years or Older,35%
Dec 2025,ISP,Specialized Health Care Beds,14
Dec 2025,ISP,Institution Population,3193
Dec 2025,KVSP,High Risk Priority 1,5%
Dec 2025,KVSP,High Risk Priority 2,8%
Dec 2025,KVSP,Medium Risk,54%
Dec 2025,KVSP,Low Risk,33%
Dec 2025,KVSP,Mental Health EOP,11%
Dec 2025,KVSP,Disability Placement Program (DPP) Patients,13%
Dec 2025,KVSP,Patients 50 Years or Older,15%
Dec 2025,KVSP,Specialized Health Care Beds,22
Dec 2025,KVSP,Institution Population,3310
Dec 2025,LAC,High Risk Priority 1,12%
Dec 2025,LAC,High Risk Priority 2,16%
Dec 2025,LAC,Medium Risk,53%
Dec 2025,LAC,Low Risk,19%
Dec 2025,LAC,Mental Health EOP,19%
Dec 2025,LAC,Disability Placement Program (DPP) Patients,23%
Dec 2025,LAC,Patients 50 Years or Older,28%
Dec 2025,LAC,Specialized Health Care Beds,16
Dec 2025,LAC,Institution Population,3123
Dec 2025,MCSP,High Risk Priority 1,20%
Dec 2025,MCSP,High Risk Priority 2,19%
Dec 2025,MCSP,Medium Risk,45%
Dec 2025,MCSP,Low Risk,16%
Dec 2025,MCSP,Mental Health EOP,22%
Dec 2025,MCSP,Disability Placement Program (DPP) Patients,28%
Dec 2025,MCSP,Patients 50 Years or Older,39%
Dec 2025,MCSP,Specialized Health Care Beds,10
Dec 2025,MCSP,Institution Population,3568
Dec 2025,NKSP,High Risk Priority 1,2%
Dec 2025,NKSP,High Risk Priority 2,5%
Dec 2025,NKSP,Medium Risk,53%
Dec 2025,NKSP,Low Risk,40%
Dec 2025,NKSP,Mental Health EOP,3%
Dec 2025,NKSP,Disability Placement Program (DPP) Patients,3%
Dec 2025,NKSP,Patients 50 Years or Older,15%
Dec 2025,NKSP,Specialized Health Care Beds,16
Dec 2025,NKSP,Institution Population,2960
Dec 2025,PBSP,High Risk Priority 1,3%
Dec 2025,PBSP,High Risk Priority 2,9%
Dec 2025,PBSP,Medium Risk,55%
Dec 2025,PBSP,Low Risk,33%
Dec 2025,PBSP,Mental Health EOP,4%
Dec 2025,PBSP,Disability Placement Program (DPP) Patients,10%
Dec 2025,PBSP,Patients 50 Years or Older,25%
Dec 2025,PBSP,Specialized Health Care Beds,19
Dec 2025,PBSP,Institution Population,2189
Dec 2025,PVSP,High Risk Priority 1,0%
Dec 2025,PVSP,High Risk Priority 2,1%
Dec 2025,PVSP,Medium Risk,44%
Dec 2025,PVSP,Low Risk,55%
Dec 2025,PVSP,Mental Health EOP,5%
Dec 2025,PVSP,Disability Placement Program (DPP) Patients,5%
Dec 2025,PVSP,Patients 50 Years or Older,13%
Dec 2025,PVSP,Specialized Health Care Beds,15
Dec 2025,PVSP,Institution Population,3111
Dec 2025,RJD,High Risk Priority 1,21%
Dec 2025,RJD,High Risk Priority 2,19%
Dec 2025,RJD,Medium Risk,42%
Dec 2025,RJD,Low Risk,18%
Dec 2025,RJD,Mental Health EOP,24%
Dec 2025,RJD,Disability Placement Program (DPP) Patients,33%
Dec 2025,RJD,Patients 50 Years or Older,44%
Dec 2025,RJD,Specialized Health Care Beds,28
Dec 2025,RJD,Institution Population,3818
Dec 2025,SAC,High Risk Priority 1,12%
Dec 2025,SAC,High Risk Priority 2,22%
Dec 2025,SAC,Medium Risk,48%
Dec 2025,SAC,Low Risk,18%
Dec 2025,SAC,Mental Health EOP,44%
Dec 2025,SAC,Disability Placement Program (DPP) Patients,17%
Dec 2025,SAC,Patients 50 Years or Older,24%
Dec 2025,SAC,Specialized Health Care Beds,26
Dec 2025,SAC,Institution Population,2186
Dec 2025,SATF,High Risk Priority 1,9%
Dec 2025,SATF,High Risk Priority 2,13%
Dec 2025,SATF,Medium Risk,52%
Dec 2025,SATF,Low Risk,26%
Dec 2025,SATF,Mental Health EOP,12%
Dec 2025,SATF,Disability Placement Program (DPP) Patients,26%
Dec 2025,SATF,Patients 50 Years or Older,36%
Dec 2025,SATF,Specialized Health Care Beds,38
Dec 2025,SATF,Institution Population,5379
Dec 2025,SCC,High Risk Priority 1,0%
Dec 2025,SCC,High Risk Priority 2,1%
Dec 2025,SCC,Medium Risk,13%
Dec 2025,SCC,Low Risk,86%
Dec 2025,SCC,Mental Health EOP,0%
Dec 2025,SCC,Disability Placement Program (DPP) Patients,2%
Dec 2025,SCC,Patients 50 Years or Older,10%
Dec 2025,SCC,Specialized Health Care Beds,
Dec 2025,SCC,Institution Population,4133
Dec 2025,SOL,High Risk Priority 1,8%
Dec 2025,SOL,High Risk Priority 2,10%
Dec 2025,SOL,Medium Risk,26%
Dec 2025,SOL,Low Risk,57%
Dec 2025,SOL,Mental Health EOP,0%
Dec 2025,SOL,Disability Placement Program (DPP) Patients,14%
Dec 2025,SOL,Patients 50 Years or Older,28%
Dec 2025,SOL,Specialized Health Care Beds,15
Dec 2025,SOL,Institution Population,3821
Dec 2025,SQ,High Risk Priority 1,17%
Dec 2025,SQ,High Risk Priority 2,21%
Dec 2025,SQ,Medium Risk,39%
Dec 2025,SQ,Low Risk,24%
Dec 2025,SQ,Mental Health EOP,12%
Dec 2025,SQ,Disability Placement Program (DPP) Patients,17%
Dec 2025,SQ,Patients 50 Years or Older,52%
Dec 2025,SQ,Specialized Health Care Beds,50
Dec 2025,SQ,Institution Population,2533
Dec 2025,SVSP,High Risk Priority 1,11%
Dec 2025,SVSP,High Risk Priority 2,12%
Dec 2025,SVSP,Medium Risk,48%
Dec 2025,SVSP,Low Risk,29%
Dec 2025,SVSP,Mental Health EOP,11%
Dec 2025,SVSP,Disability Placement Program (DPP) Patients,18%
Dec 2025,SVSP,Patients 50 Years or Older,22%
Dec 2025,SVSP,Specialized Health Care Beds,148
Dec 2025,SVSP,Institution Population,2419
Dec 2025,VSP,High Risk Priority 1,13%
Dec 2025,VSP,High Risk Priority 2,17%
Dec 2025,VSP,Medium Risk,40%
Dec 2025,VSP,Low Risk,30%
Dec 2025,VSP,Mental Health EOP,10%
Dec 2025,VSP,Disability Placement Program (DPP) Patients,35%
Dec 2025,VSP,Patients 50 Years or Older,50%
Dec 2025,VSP,Specialized Health Care Beds,20
Dec 2025,VSP,Institution Population,3227
Dec 2025,WSP,High Risk Priority 1,1%
Dec 2025,WSP,High Risk Priority 2,5%
Dec 2025,WSP,Medium Risk,48%
Dec 2025,WSP,Low Risk,46%
Dec 2025,WSP,Mental Health EOP,3%
Dec 2025,WSP,Disability Placement Program (DPP) Patients,4%
Dec 2025,WSP,Patients 50 Years or Older,13%
Dec 2025,WSP,Specialized Health Care Beds,16
Dec 2025,WSP,Institution Population,3437
Nov 2025,SW,High Risk Priority 1,9%
Nov 2025,SW,High Risk Priority 2,11%
Nov 2025,SW,Medium Risk,40%
Nov 2025,SW,Low Risk,40%
Nov 2025,SW,Mental Health EOP,9%
Nov 2025,SW,Disability Placement Program (DPP) Patients,16%
Nov 2025,SW,Patients 50 Years or Older,30%
Nov 2025,SW,Specialized Health Care Beds,3157
Nov 2025,SW,Institution Population,90312
Nov 2025,ASP,High Risk Priority 1,0%
Nov 2025,ASP,High Risk Priority 2,0%
Nov 2025,ASP,Medium Risk,39%
Nov 2025,ASP,Low Risk,61%
Nov 2025,ASP,Mental Health EOP,0%
Nov 2025,ASP,Disability Placement Program (DPP) Patients,4%
Nov 2025,ASP,Patients 50 Years or Older,29%
Nov 2025,ASP,Specialized Health Care Beds,28
Nov 2025,ASP,Institution Population,3822
Nov 2025,CAL,High Risk Priority 1,1%
Nov 2025,CAL,High Risk Priority 2,4%
Nov 2025,CAL,Medium Risk,17%
Nov 2025,CAL,Low Risk,78%
Nov 2025,CAL,Mental Health EOP,0%
Nov 2025,CAL,Disability Placement Program (DPP) Patients,4%
Nov 2025,CAL,Patients 50 Years or Older,10%
Nov 2025,CAL,Specialized Health Care Beds,18
Nov 2025,CAL,Institution Population,2541
Nov 2025,CCI,High Risk Priority 1,2%
Nov 2025,CCI,High Risk Priority 2,7%
Nov 2025,CCI,Medium Risk,56%
Nov 2025,CCI,Low Risk,35%
Nov 2025,CCI,Mental Health EOP,6%
Nov 2025,CCI,Disability Placement Program (DPP) Patients,6%
Nov 2025,CCI,Patients 50 Years or Older,18%
Nov 2025,CCI,Specialized Health Care Beds,16
Nov 2025,CCI,Institution Population,2412
Nov 2025,CCWF,High Risk Priority 1,9%
Nov 2025,CCWF,High Risk Priority 2,11%
Nov 2025,CCWF,Medium Risk,60%
Nov 2025,CCWF,Low Risk,21%
Nov 2025,CCWF,Mental Health EOP,5%
Nov 2025,CCWF,Disability Placement Program (DPP) Patients,13%
Nov 2025,CCWF,Patients 50 Years or Older,20%
Nov 2025,CCWF,Specialized Health Care Beds,38
Nov 2025,CCWF,Institution Population,2173
Nov 2025,CEN,High Risk Priority 1,1%
Nov 2025,CEN,High Risk Priority 2,3%
Nov 2025,CEN,Medium Risk,19%
Nov 2025,CEN,Low Risk,78%
Nov 2025,CEN,Mental Health EOP,0%
Nov 2025,CEN,Disability Placement Program (DPP) Patients,4%
Nov 2025,CEN,Patients 50 Years or Older,13%
Nov 2025,CEN,Specialized Health Care Beds,13
Nov 2025,CEN,Institution Population,3222
Nov 2025,CHCF,High Risk Priority 1,49%
Nov 2025,CHCF,High Risk Priority 2,21%
Nov 2025,CHCF,Medium Risk,22%
Nov 2025,CHCF,Low Risk,8%
Nov 2025,CHCF,Mental Health EOP,20%
Nov 2025,CHCF,Disability Placement Program (DPP) Patients,54%
Nov 2025,CHCF,Patients 50 Years or Older,61%
Nov 2025,CHCF,Specialized Health Care Beds,1678
Nov 2025,CHCF,Institution Population,2361
Nov 2025,CIM,High Risk Priority 1,24%
Nov 2025,CIM,High Risk Priority 2,25%
Nov 2025,CIM,Medium Risk,32%
Nov 2025,CIM,Low Risk,20%
Nov 2025,CIM,Mental Health EOP,8%
Nov 2025,CIM,Disability Placement Program (DPP) Patients,28%
Nov 2025,CIM,Patients 50 Years or Older,58%
Nov 2025,CIM,Specialized Health Care Beds,78
Nov 2025,CIM,Institution Population,2278
Nov 2025,CIW,High Risk Priority 1,12%
Nov 2025,CIW,High Risk Priority 2,14%
Nov 2025,CIW,Medium Risk,52%
Nov 2025,CIW,Low Risk,22%
Nov 2025,CIW,Mental Health EOP,6%
Nov 2025,CIW,Disability Placement Program (DPP) Patients,18%
Nov 2025,CIW,Patients 50 Years or Older,23%
Nov 2025,CIW,Specialized Health Care Beds,98
Nov 2025,CIW,Institution Population,1141
Nov 2025,CMC,High Risk Priority 1,7%
Nov 2025,CMC,High Risk Priority 2,15%
Nov 2025,CMC,Medium Risk,50%
Nov 2025,CMC,Low Risk,28%
Nov 2025,CMC,Mental Health EOP,30%
Nov 2025,CMC,Disability Placement Program (DPP) Patients,12%
Nov 2025,CMC,Patients 50 Years or Older,31%
Nov 2025,CMC,Specialized Health Care Beds,87
Nov 2025,CMC,Institution Population,2150
Nov 2025,CMF,High Risk Priority 1,34%
Nov 2025,CMF,High Risk Priority 2,21%
Nov 2025,CMF,Medium Risk,32%
Nov 2025,CMF,Low Risk,13%
Nov 2025,CMF,Mental Health EOP,24%
Nov 2025,CMF,Disability Placement Program (DPP) Patients,43%
Nov 2025,CMF,Patients 50 Years or Older,52%
Nov 2025,CMF,Specialized Health Care Beds,501
Nov 2025,CMF,Institution Population,2170
Nov 2025,COR,High Risk Priority 1,8%
Nov 2025,COR,High Risk Priority 2,15%
Nov 2025,COR,Medium Risk,48%
Nov 2025,COR,Low Risk,28%
Nov 2025,COR,Mental Health EOP,9%
Nov 2025,COR,Disability Placement Program (DPP) Patients,18%
Nov 2025,COR,Patients 50 Years or Older,40%
Nov 2025,COR,Specialized Health Care Beds,92
Nov 2025,COR,Institution Population,2689
Nov 2025,CRC,High Risk Priority 1,4%
Nov 2025,CRC,High Risk Priority 2,8%
Nov 2025,CRC,Medium Risk,41%
Nov 2025,CRC,Low Risk,48%
Nov 2025,CRC,Mental Health EOP,0%
Nov 2025,CRC,Disability Placement Program (DPP) Patients,4%
Nov 2025,CRC,Patients 50 Years or Older,28%
Nov 2025,CRC,Specialized Health Care Beds,10
Nov 2025,CRC,Institution Population,1350
Nov 2025,CTF,High Risk Priority 1,5%
Nov 2025,CTF,High Risk Priority 2,13%
Nov 2025,CTF,Medium Risk,30%
Nov 2025,CTF,Low Risk,52%
Nov 2025,CTF,Mental Health EOP,0%
Nov 2025,CTF,Disability Placement Program (DPP) Patients,15%
Nov 2025,CTF,Patients 50 Years or Older,49%
Nov 2025,CTF,Specialized Health Care Beds,17
Nov 2025,CTF,Institution Population,4187
Nov 2025,FSP,High Risk Priority 1,4%
Nov 2025,FSP,High Risk Priority 2,9%
Nov 2025,FSP,Medium Risk,30%
Nov 2025,FSP,Low Risk,57%
Nov 2025,FSP,Mental Health EOP,0%
Nov 2025,FSP,Disability Placement Program (DPP) Patients,4%
Nov 2025,FSP,Patients 50 Years or Older,28%
Nov 2025,FSP,Specialized Health Care Beds,
Nov 2025,FSP,Institution Population,2714
Nov 2025,HDSP,High Risk Priority 1,3%
Nov 2025,HDSP,High Risk Priority 2,7%
Nov 2025,HDSP,Medium Risk,57%
Nov 2025,HDSP,Low Risk,32%
Nov 2025,HDSP,Mental Health EOP,4%
Nov 2025,HDSP,Disability Placement Program (DPP) Patients,17%
Nov 2025,HDSP,Patients 50 Years or Older,19%
Nov 2025,HDSP,Specialized Health Care Beds,30
Nov 2025,HDSP,Institution Population,2832
Nov 2025,ISP,High Risk Priority 1,2%
Nov 2025,ISP,High Risk Priority 2,7%
Nov 2025,ISP,Medium Risk,17%
Nov 2025,ISP,Low Risk,74%
Nov 2025,ISP,Mental Health EOP,0%
Nov 2025,ISP,Disability Placement Program (DPP) Patients,7%
Nov 2025,ISP,Patients 50 Years or Older,36%
Nov 2025,ISP,Specialized Health Care Beds,14
Nov 2025,ISP,Institution Population,3003
Nov 2025,KVSP,High Risk Priority 1,5%
Nov 2025,KVSP,High Risk Priority 2,8%
Nov 2025,KVSP,Medium Risk,52%
Nov 2025,KVSP,Low Risk,34%
Nov 2025,KVSP,Mental Health EOP,11%
Nov 2025,KVSP,Disability Placement Program (DPP) Patients,13%
Nov 2025,KVSP,Patients 50 Years or Older,15%
Nov 2025,KVSP,Specialized Health Care Beds,22
Nov 2025,KVSP,Institution Population,3143
Nov 2025,LAC,High Risk Priority 1,12%
Nov 2025,LAC,High Risk Priority 2,15%
Nov 2025,LAC,Medium Risk,53%
Nov 2025,LAC,Low Risk,19%
Nov 2025,LAC,Mental Health EOP,19%
Nov 2025,LAC,Disability Placement Program (DPP) Patients,22%
Nov 2025,LAC,Patients 50 Years or Older,27%
Nov 2025,LAC,Specialized Health Care Beds,16
Nov 2025,LAC,Institution Population,2979
Nov 2025,MCSP,High Risk Priority 1,20%
Nov 2025,MCSP,High Risk Priority 2,18%
Nov 2025,MCSP,Medium Risk,45%
Nov 2025,MCSP,Low Risk,17%
Nov 2025,MCSP,Mental Health EOP,21%
Nov 2025,MCSP,Disability Placement Program (DPP) Patients,28%
Nov 2025,MCSP,Patients 50 Years or Older,38%
Nov 2025,MCSP,Specialized Health Care Beds,10
Nov 2025,MCSP,Institution Population,3726
Nov 2025,NKSP,High Risk Priority 1,2%
Nov 2025,NKSP,High Risk Priority 2,4%
Nov 2025,NKSP,Medium Risk,52%
Nov 2025,NKSP,Low Risk,42%
Nov 2025,NKSP,Mental Health EOP,3%
Nov 2025,NKSP,Disability Placement Program (DPP) Patients,4%
Nov 2025,NKSP,Patients 50 Years or Older,14%
Nov 2025,NKSP,Specialized Health Care Beds,16
Nov 2025,NKSP,Institution Population,2897
Nov 2025,PBSP,High Risk Priority 1,3%
Nov 2025,PBSP,High Risk Priority 2,9%
Nov 2025,PBSP,Medium Risk,54%
Nov 2025,PBSP,Low Risk,34%
Nov 2025,PBSP,Mental Health EOP,4%
Nov 2025,PBSP,Disability Placement Program (DPP) Patients,11%
Nov 2025,PBSP,Patients 50 Years or Older,26%
Nov 2025,PBSP,Specialized Health Care Beds,19
Nov 2025,PBSP,Institution Population,2205
Nov 2025,PVSP,High Risk Priority 1,0%
Nov 2025,PVSP,High Risk Priority 2,1%
Nov 2025,PVSP,Medium Risk,44%
Nov 2025,PVSP,Low Risk,55%
Nov 2025,PVSP,Mental Health EOP,5%
Nov 2025,PVSP,Disability Placement Program (DPP) Patients,5%
Nov 2025,PVSP,Patients 50 Years or Older,12%
Nov 2025,PVSP,Specialized Health Care Beds,15
Nov 2025,PVSP,Institution Population,3148
Nov 2025,RJD,High Risk Priority 1,21%
Nov 2025,RJD,High Risk Priority 2,19%
Nov 2025,RJD,Medium Risk,42%
Nov 2025,RJD,Low Risk,18%
Nov 2025,RJD,Mental Health EOP,24%
Nov 2025,RJD,Disability Placement Program (DPP) Patients,33%
Nov 2025,RJD,Patients 50 Years or Older,44%
Nov 2025,RJD,Specialized Health Care Beds,28
Nov 2025,RJD,Institution Population,3797
Nov 2025,SAC,High Risk Priority 1,12%
Nov 2025,SAC,High Risk Priority 2,22%
Nov 2025,SAC,Medium Risk,48%
Nov 2025,SAC,Low Risk,18%
Nov 2025,SAC,Mental Health EOP,44%
Nov 2025,SAC,Disability Placement Program (DPP) Patients,17%
Nov 2025,SAC,Patients 50 Years or Older,24%
Nov 2025,SAC,Specialized Health Care Beds,26
Nov 2025,SAC,Institution Population,2169
Nov 2025,SATF,High Risk Priority 1,9%
Nov 2025,SATF,High Risk Priority 2,13%
Nov 2025,SATF,Medium Risk,52%
Nov 2025,SATF,Low Risk,26%
Nov 2025,SATF,Mental Health EOP,12%
Nov 2025,SATF,Disability Placement Program (DPP) Patients,26%
Nov 2025,SATF,Patients 50 Years or Older,36%
Nov 2025,SATF,Specialized Health Care Beds,38
Nov 2025,SATF,Institution Population,5468
Nov 2025,SCC,High Risk Priority 1,0%
Nov 2025,SCC,High Risk Priority 2,1%
Nov 2025,SCC,Medium Risk,12%
Nov 2025,SCC,Low Risk,86%
Nov 2025,SCC,Mental Health EOP,0%
Nov 2025,SCC,Disability Placement Program (DPP) Patients,2%
Nov 2025,SCC,Patients 50 Years or Older,10%
Nov 2025,SCC,Specialized Health Care Beds,
Nov 2025,SCC,Institution Population,4088
Nov 2025,SOL,High Risk Priority 1,8%
Nov 2025,SOL,High Risk Priority 2,10%
Nov 2025,SOL,Medium Risk,26%
Nov 2025,SOL,Low Risk,57%
Nov 2025,SOL,Mental Health EOP,0%
Nov 2025,SOL,Disability Placement Program (DPP) Patients,14%
Nov 2025,SOL,Patients 50 Years or Older,28%
Nov 2025,SOL,Specialized Health Care Beds,15
Nov 2025,SOL,Institution Population,3805
Nov 2025,SQ,High Risk Priority 1,17%
Nov 2025,SQ,High Risk Priority 2,21%
Nov 2025,SQ,Medium Risk,38%
Nov 2025,SQ,Low Risk,24%
Nov 2025,SQ,Mental Health EOP,11%
Nov 2025,SQ,Disability Placement Program (DPP) Patients,18%
Nov 2025,SQ,Patients 50 Years or Older,52%
Nov 2025,SQ,Specialized Health Care Beds,50
Nov 2025,SQ,Institution Population,2534
Nov 2025,SVSP,High Risk Priority 1,10%
Nov 2025,SVSP,High Risk Priority 2,12%
Nov 2025,SVSP,Medium Risk,49%
Nov 2025,SVSP,Low Risk,29%
Nov 2025,SVSP,Mental Health EOP,11%
Nov 2025,SVSP,Disability Placement Program (DPP) Patients,18%
Nov 2025,SVSP,Patients 50 Years or Older,21%
Nov 2025,SVSP,Specialized Health Care Beds,148
Nov 2025,SVSP,Institution Population,2485
Nov 2025,VSP,High Risk Priority 1,13%
Nov 2025,VSP,High Risk Priority 2,17%
Nov 2025,VSP,Medium Risk,40%
Nov 2025,VSP,Low Risk,30%
Nov 2025,VSP,Mental Health EOP,10%
Nov 2025,VSP,Disability Placement Program (DPP) Patients,34%
Nov 2025,VSP,Patients 50 Years or Older,49%
Nov 2025,VSP,Specialized Health Care Beds,20
Nov 2025,VSP,Institution Population,3276
Nov 2025,WSP,High Risk Priority 1,1%
Nov 2025,WSP,High Risk Priority 2,5%
Nov 2025,WSP,Medium Risk,48%
Nov 2025,WSP,Low Risk,45%
Nov 2025,WSP,Mental Health EOP,4%
Nov 2025,WSP,Disability Placement Program (DPP) Patients,5%
Nov 2025,WSP,Patients 50 Years or Older,13%
Nov 2025,WSP,Specialized Health Care Beds,16
Nov 2025,WSP,Institution Population,3547
Oct 2025,SW,High Risk Priority 1,9%
Oct 2025,SW,High Risk Priority 2,11%
Oct 2025,SW,Medium Risk,40%
Oct 2025,SW,Low Risk,40%
Oct 2025,SW,Mental Health EOP,9%
Oct 2025,SW,Disability Placement Program (DPP) Patients,16%
Oct 2025,SW,Patients 50 Years or Older,30%
