date,facility,section,bed_capacity,program,measure,value
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level II,14
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level III,3
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level IV,25
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,Total,Total Census,43
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,PC 1370,0
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,WIC 7301,0
2026-01-26,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Out of LRH,25
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,ICF,No Score,2
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,ICF,Level I,0
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,ICF,Level II,13
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,ICF,Level III,5
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,ICF,Level IV,9
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,Total,Total Census,29
2026-01-26,CMF - Dorms,Male ICF Low Custody,64,ICF,Out of LRH,16
2026-01-26,DSH-Atascadero,Male ICF Low Custody,256,ICF,No Score,0
2026-01-26,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level I,10
2026-01-26,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level II,70
2026-01-26,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level III,19
2026-01-26,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level IV,25
2026-01-26,DSH-Atascadero,Male ICF Low Custody,256,Total,Total Census,124
2026-01-26,DSH-Coalinga,Male ICF Low Custody,50,ICF,No Score,0
2026-01-26,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level I,4
2026-01-26,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level II,25
2026-01-26,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level III,5
2026-01-26,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level IV,13
2026-01-26,DSH-Coalinga,Male ICF Low Custody,50,Total,Total Census,47
2026-01-26,DSH-Patton,Female (APP/ICF),30,APP,No Score,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,APP,Level I,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,APP,Level II,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,APP,Level III,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,APP,Level IV,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,APP,Total Census,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,ICF,No Score,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,ICF,Level I,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,ICF,Level II,3
2026-01-26,DSH-Patton,Female (APP/ICF),30,ICF,Level III,1
2026-01-26,DSH-Patton,Female (APP/ICF),30,ICF,Level IV,0
2026-01-26,DSH-Patton,Female (APP/ICF),30,ICF,Total Census,4
2026-01-26,DSH-Patton,Female (APP/ICF),30,Total,Total Census,4
2026-01-26,CIW (Flex),Female (APP/ICF),45,APP,No Score,1
2026-01-26,CIW (Flex),Female (APP/ICF),45,APP,Level I,0
2026-01-26,CIW (Flex),Female (APP/ICF),45,APP,Level II,2
2026-01-26,CIW (Flex),Female (APP/ICF),45,APP,Level III,0
2026-01-26,CIW (Flex),Female (APP/ICF),45,APP,Level IV,0
2026-01-26,CIW (Flex),Female (APP/ICF),45,APP,Total Census,3
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,No Score,5
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,Level I,1
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,Level II,8
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,Level III,4
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,Level IV,14
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,Total Census,32
2026-01-26,CIW (Flex),Female (APP/ICF),45,ICF,Out of LRH,10
2026-01-26,CIW (Flex),Female (APP/ICF),45,Total,Total Census,35
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,APP,No Score,1
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,APP,Level I,3
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,APP,Level II,18
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,APP,Level III,4
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,APP,Level IV,43
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,APP,Total Census,69
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,No Score,1
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,Level I,1
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,Level II,3
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,Level III,3
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,Level IV,24
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,Total Census,32
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,ICF,Out of LRH,15
2026-03-23,CMF (Flex),Male Flex (APP/ICF),219,Total,Total Census,101
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,APP,No Score,7
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level I,7
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level II,27
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level III,17
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,APP,Level IV,67
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,APP,Total Census,125
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,No Score,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level I,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level II,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level III,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Level IV,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Total Census,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,ICF,Out of LRH,0
2026-03-23,CHCF (Flex),Male Flex (APP/ICF),217,Total,Total Census,125
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,APP,No Score,0
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,APP,Level I,2
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,APP,Level II,2
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,APP,Level III,0
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,APP,Level IV,1
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,APP,Total Census,5
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,No Score,0
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level I,3
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level II,14
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level III,1
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,Level IV,3
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,Total Census,21
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,ICF,Out of LRH,15
2026-03-23,SQ (Flex),Male Flex (APP/ICF),28,Total,Total Census,26
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,APP,No Score,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,APP,Level I,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,APP,Level II,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,APP,Level III,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,APP,Level IV,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,APP,Total Census,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,No Score,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level I,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level II,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level III,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,Level IV,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,Total Census,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,ICF,Out of LRH,0
2026-03-23,CMC (Flex),Male Flex (APP/ICF),0,Total,Total Census,0
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,ICF,No Score,11
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level I,9
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level II,48
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level III,26
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,ICF,Level IV,145
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,Total,Total Census,239
2026-03-23,CHCF - Single Cell,Male ICF High Custody,330,ICF,Out of LRH,103
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,ICF,No Score,1
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,ICF,Level I,2
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,ICF,Level II,7
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,ICF,Level III,8
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,ICF,Level IV,37
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,Total,Total Census,55
2026-03-23,CMF - Single Cell,Male ICF High Custody,93,ICF,Out of LRH,25
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,No Score,0
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level I,0
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level II,1
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level III,3
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Level IV,7
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,Total,Total Census,11
2026-03-23,CMF - Multi Person Cells,Male ICF High Custody,20,ICF,Out of LRH,8
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,No Score,2
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level I,1
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level II,9
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level III,10
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,Level IV,58
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,Total,Total Census,80
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,PC 1370,21
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,WIC 7301,1
2026-03-23,SVSP - Single Cell,Male ICF High Custody,82,ICF,Out of LRH,33
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,No Score,0
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level I,1
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level II,10
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level III,6
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Level IV,19
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,Total,Total Census,36
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,PC 1370,0
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,WIC 7301,0
2026-03-23,SVSP - Multi-person Cells,Male ICF High Custody,44,ICF,Out of LRH,19
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,ICF,No Score,1
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,ICF,Level I,1
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,ICF,Level II,13
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,ICF,Level III,4
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,ICF,Level IV,7
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,Total,Total Census,26
2026-03-23,CMF - Dorms,Male ICF Low Custody,64,ICF,Out of LRH,12
2026-03-23,DSH-Atascadero,Male ICF Low Custody,256,ICF,No Score,0
2026-03-23,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level I,9
2026-03-23,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level II,73
2026-03-23,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level III,17
2026-03-23,DSH-Atascadero,Male ICF Low Custody,256,ICF,Level IV,30
2026-03-23,DSH-Atascadero,Male ICF Low Custody,256,Total,Total Census,129
2026-03-23,DSH-Coalinga,Male ICF Low Custody,50,ICF,No Score,0
2026-03-23,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level I,3
2026-03-23,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level II,23
2026-03-23,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level III,6
2026-03-23,DSH-Coalinga,Male ICF Low Custody,50,ICF,Level IV,12
2026-03-23,DSH-Coalinga,Male ICF Low Custody,50,Total,Total Census,44
2026-03-23,DSH-Patton,Female (APP/ICF),30,APP,No Score,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,APP,Level I,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,APP,Level II,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,APP,Level III,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,APP,Level IV,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,APP,Total Census,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,ICF,No Score,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,ICF,Level I,1
2026-03-23,DSH-Patton,Female (APP/ICF),30,ICF,Level II,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,ICF,Level III,0
2026-03-23,DSH-Patton,Female (APP/ICF),30,ICF,Level IV,1
2026-03-23,DSH-Patton,Female (APP/ICF),30,ICF,Total Census,2
2026-03-23,DSH-Patton,Female (APP/ICF),30,Total,Total Census,2
2026-03-23,CIW (Flex),Female (APP/ICF),45,APP,No Score,0
2026-03-23,CIW (Flex),Female (APP/ICF),45,APP,Level I,1
2026-03-23,CIW (Flex),Female (APP/ICF),45,APP,Level II,3
2026-03-23,CIW (Flex),Female (APP/ICF),45,APP,Level III,0
2026-03-23,CIW (Flex),Female (APP/ICF),45,APP,Level IV,2
2026-03-23,CIW (Flex),Female (APP/ICF),45,APP,Total Census,6
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,No Score,3
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,Level I,1
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,Level II,8
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,Level III,2
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,Level IV,7
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,Total Census,21
2026-03-23,CIW (Flex),Female (APP/ICF),45,ICF,Out of LRH,5
2026-03-23,CIW (Flex),Female (APP/ICF),45,Total,Total Census,27
