Year,Month,Location,Age Group,Population
2025,Jan,HDSP,55-59 Years,139
2025,Jan,HDSP,60-64 Years,131
2025,Jan,HDSP,65-69 Years,69
2025,Jan,HDSP,70-74 Years,17
2025,Jan,HDSP,75-79 Years,*
2025,Jan,HDSP,80-84 Years,*
2025,Jan,HDSP,85-89 Years,*
2025,Jan,HDSP,90-94 Years,(Blank)
2025,Jan,HDSP,95 and Older,(Blank)
2025,Jan,ISP,18-24 Years,164
2025,Jan,ISP,25-29 Years,254
2025,Jan,ISP,30-34 Years,338
2025,Jan,ISP,35-39 Years,398
2025,Jan,ISP,40-44 Years,406
2025,Jan,ISP,45-49 Years,351
2025,Jan,ISP,50-54 Years,322
2025,Jan,ISP,55-59 Years,255
2025,Jan,ISP,60-64 Years,213
2025,Jan,ISP,65-69 Years,100
2025,Jan,ISP,70-74 Years,16
2025,Jan,ISP,75-79 Years,*
2025,Jan,ISP,80-84 Years,*
2025,Jan,ISP,85-89 Years,(Blank)
2025,Jan,ISP,90-94 Years,(Blank)
2025,Jan,ISP,95 and Older,(Blank)
2025,Jan,KVSP,18-24 Years,98
2025,Jan,KVSP,25-29 Years,440
2025,Jan,KVSP,30-34 Years,731
2025,Jan,KVSP,35-39 Years,644
2025,Jan,KVSP,40-44 Years,480
2025,Jan,KVSP,45-49 Years,330
2025,Jan,KVSP,50-54 Years,202
2025,Jan,KVSP,55-59 Years,131
2025,Jan,KVSP,60-64 Years,90
2025,Jan,KVSP,65-69 Years,26
2025,Jan,KVSP,70-74 Years,*
2025,Jan,KVSP,75-79 Years,*
2025,Jan,KVSP,80-84 Years,*
2025,Jan,KVSP,85-89 Years,(Blank)
2025,Jan,KVSP,90-94 Years,(Blank)
2025,Jan,KVSP,95 and Older,(Blank)
2025,Jan,LAC,18-24 Years,158
2025,Jan,LAC,25-29 Years,349
2025,Jan,LAC,30-34 Years,540
2025,Jan,LAC,35-39 Years,507
2025,Jan,LAC,40-44 Years,456
2025,Jan,LAC,45-49 Years,352
2025,Jan,LAC,50-54 Years,253
2025,Jan,LAC,55-59 Years,207
2025,Jan,LAC,60-64 Years,154
2025,Jan,LAC,65-69 Years,93
2025,Jan,LAC,70-74 Years,27
