month,group,institution,measure,value
Dec 2025,Staffing,PVSP,Mental Health Vacancies (All),34%
Dec 2025,Staffing,PVSP,Dental Vacancies (All),3%
Dec 2025,Staffing,RJD,Actual Vacancies (All),23%
Dec 2025,Staffing,RJD,Medical Vacancies (All),21%
Dec 2025,Staffing,RJD,Mental Health Vacancies (All),27%
Dec 2025,Staffing,RJD,Dental Vacancies (All),15%
Dec 2025,Staffing,SAC,Actual Vacancies (All),28%
Dec 2025,Staffing,SAC,Medical Vacancies (All),20%
Dec 2025,Staffing,SAC,Mental Health Vacancies (All),42%
Dec 2025,Staffing,SAC,Dental Vacancies (All),17%
Dec 2025,Staffing,SATF,Actual Vacancies (All),22%
Dec 2025,Staffing,SATF,Medical Vacancies (All),15%
Dec 2025,Staffing,SATF,Mental Health Vacancies (All),38%
Dec 2025,Staffing,SATF,Dental Vacancies (All),7%
Dec 2025,Staffing,SCC,Actual Vacancies (All),13%
Dec 2025,Staffing,SCC,Medical Vacancies (All),14%
Dec 2025,Staffing,SCC,Mental Health Vacancies (All),15%
Dec 2025,Staffing,SCC,Dental Vacancies (All),7%
Dec 2025,Staffing,SOL,Actual Vacancies (All),16%
Dec 2025,Staffing,SOL,Medical Vacancies (All),14%
Dec 2025,Staffing,SOL,Mental Health Vacancies (All),15%
Dec 2025,Staffing,SOL,Dental Vacancies (All),24%
Dec 2025,Staffing,SQ,Actual Vacancies (All),21%
Dec 2025,Staffing,SQ,Medical Vacancies (All),24%
Dec 2025,Staffing,SQ,Mental Health Vacancies (All),9%
Dec 2025,Staffing,SQ,Dental Vacancies (All),25%
Dec 2025,Staffing,SVSP,Actual Vacancies (All),32%
Dec 2025,Staffing,SVSP,Medical Vacancies (All),27%
Dec 2025,Staffing,SVSP,Mental Health Vacancies (All),50%
Dec 2025,Staffing,SVSP,Dental Vacancies (All),16%
Dec 2025,Staffing,VSP,Actual Vacancies (All),14%
Dec 2025,Staffing,VSP,Medical Vacancies (All),11%
Dec 2025,Staffing,VSP,Mental Health Vacancies (All),19%
Dec 2025,Staffing,VSP,Dental Vacancies (All),13%
Dec 2025,Staffing,WSP,Actual Vacancies (All),23%
Dec 2025,Staffing,WSP,Medical Vacancies (All),10%
Dec 2025,Staffing,WSP,Mental Health Vacancies (All),53%
Dec 2025,Staffing,WSP,Dental Vacancies (All),11%
Nov 2025,Staffing,SW,Actual Vacancies (All),21%
Nov 2025,Staffing,SW,Medical Vacancies (All),17%
Nov 2025,Staffing,SW,Mental Health Vacancies (All),39%
Nov 2025,Staffing,SW,Dental Vacancies (All),12%
Nov 2025,Staffing,ASP,Actual Vacancies (All),11%
Nov 2025,Staffing,ASP,Medical Vacancies (All),6%
Nov 2025,Staffing,ASP,Mental Health Vacancies (All),35%
Nov 2025,Staffing,ASP,Dental Vacancies (All),5%
