report_date,row_label,population,change_last_period,change_last_year,design_capacity,pct_occupied,staffed_capacity
2018-09-26,Community Supervision,46130,173.0,2684.0,,,
2018-09-26,Interstate Cooperative Case,1915,-8.0,-68.0,,,
2018-09-26,C. Non-CDCR Jurisdiction,1023,4.0,-14.0,,,
2018-09-26,Out of State Parole,635,3.0,33.0,,,
2018-09-26,Out of State Parolee at Large,19,1.0,3.0,,,
2018-09-26,DJJ-W&IC 1731.5(c) Institutions,47,0.0,-30.0,,,
2018-09-26,D. Other Populations,6319,241.0,811.0,,,
2018-09-26,Temporary Release to Court and Hospital,1776,355.0,565.0,,,
2018-09-26,Escaped,197,-2.0,0.0,,,
2018-09-26,Parolee at Large,4346,-112.0,246.0,,,
2018-09-26,Total CDCR Population,183897,16.0,360.0,,,
2018-10-31,I. In-State,126677,-208.0,-104.0,,,
2018-10-31,"(Men, Subtotal)",120755,-219.0,-132.0,,,
2018-10-31,"(Women, Subtotal)",5922,11.0,28.0,,,
2018-10-31,1. Institution/Camps,118792,-162.0,-33.0,89763.0,132.3,122105.0
2018-10-31,Institutions,115260,-178.0,-52.0,85083.0,135.5,117871.0
2018-10-31,"Camps(CCC, CIW, and SCC)",3532,16.0,19.0,4680.0,75.5,4234.0
2018-10-31,2. In-State Contract Beds,6418,-40.0,-153.0,,,
2018-10-31,Private Community Correctional Facilities,1976,-9.0,-99.0,,,
2018-10-31,Public Community Correctional Facilities,1697,-4.0,-53.0,,,
2018-10-31,Community Prisoner Mother Program,17,0.0,-5.0,,,
2018-10-31,California City Correctional Facility,2456,-18.0,6.0,,,
2018-10-31,"Female Community ReEntry Facility, McFarland",272,-9.0,-2.0,,,
2018-10-31,3. Department of State Hospitals,216,1.0,-76.0,,,
2018-10-31,4. CRPP Supervision,1251,-7.0,158.0,,,
2018-10-31,Alternative Custody Program,216,7.0,72.0,,,
2018-10-31,Custody to Community Treatment Reentry Program,381,2.0,56.0,,,
2018-10-31,Male Community Reentry Program,625,-16.0,29.0,,,
2018-10-31,Medical Parole,29,0.0,1.0,,,
2018-10-31,II. California Out-of-State Correctional Facility,1895,133.0,-2472.0,,,
2018-10-31,Arizona,1895,133.0,-1216.0,,,
2018-10-31,B. Parole,48131,33.0,2377.0,,,
2018-10-31,Community Supervision,46219,29.0,2458.0,,,
2018-10-31,Interstate Cooperative Case,1912,4.0,-81.0,,,
2018-10-31,C. Non-CDCR Jurisdiction,1014,-5.0,-20.0,,,
2018-10-31,Out of State Parole,633,-2.0,23.0,,,
2018-10-31,Out of State Parolee at Large,15,-2.0,-1.0,,,
2018-10-31,DJJ-W&IC 1731.5(c) Institutions,45,0.0,-28.0,,,
2018-10-31,D. Other Populations,6211,31.0,525.0,,,
2018-10-31,Temporary Release to Court and Hospital,1420,18.0,228.0,,,
2018-10-31,Escaped,200,1.0,1.0,,,
2018-10-31,Parolee at Large,4591,12.0,296.0,,,
2018-10-31,Total CDCR Population,183928,-16.0,306.0,,,
2018-11-28,I. In-State,126103,-418.0,-202.0,,,
2018-11-28,"(Men, Subtotal)",120238,-391.0,-212.0,,,
2018-11-28,"(Women, Subtotal)",5865,-27.0,10.0,,,
2018-11-28,1. Institution/Camps,118308,-325.0,-85.0,89763.0,131.8,122027.0
2018-11-28,Institutions,114818,-278.0,-90.0,85083.0,134.9,117893.0
2018-11-28,"Camps(CCC, CIW, and SCC)",3490,-47.0,5.0,4680.0,74.6,4134.0
2018-11-28,2. In-State Contract Beds,6334,-82.0,-229.0,,,
2018-11-28,Private Community Correctional Facilities,1978,-16.0,-64.0,,,
2018-11-28,Public Community Correctional Facilities,1684,-23.0,-72.0,,,
2018-11-28,Community Prisoner Mother Program,17,0.0,-6.0,,,
2018-11-28,California City Correctional Facility,2421,-36.0,-59.0,,,
2018-11-28,"Female Community ReEntry Facility, McFarland",234,-7.0,-28.0,,,
2018-11-28,3. Department of State Hospitals,216,7.0,-63.0,,,
2018-11-28,4. CRPP Supervision,1245,-18.0,175.0,,,
2018-11-28,Alternative Custody Program,208,-5.0,62.0,,,
2018-11-28,Custody to Community Treatment Reentry Program,375,-10.0,59.0,,,
2018-11-28,Male Community Reentry Program,634,-1.0,54.0,,,
2018-11-28,Medical Parole,28,-2.0,0.0,,,
2018-11-28,II. California Out-of-State Correctional Facility,1992,38.0,-2365.0,,,
2018-11-28,Arizona,1992,38.0,-1109.0,,,
2018-11-28,B. Parole,48410,104.0,2375.0,,,
2018-11-28,Community Supervision,46518,114.0,2468.0,,,
2018-11-28,Interstate Cooperative Case,1892,-10.0,-93.0,,,
2018-11-28,C. Non-CDCR Jurisdiction,1023,7.0,-18.0,,,
2018-11-28,Out of State Parole,642,6.0,22.0,,,
2018-11-28,Out of State Parolee at Large,16,0.0,0.0,,,
2018-11-28,DJJ-W&IC 1731.5(c) Institutions,42,1.0,-31.0,,,
2018-11-28,D. Other Populations,6164,-12.0,510.0,,,
2018-11-28,Temporary Release to Court and Hospital,1380,19.0,197.0,,,
2018-11-28,Escaped,198,0.0,1.0,,,
2018-11-28,Parolee at Large,4586,-31.0,312.0,,,
2018-11-28,Total CDCR Population,183692,-281.0,300.0,,,
2018-12-26,I. In-State,125663,-101.0,-463.0,,,
2018-12-26,"(Men, Subtotal)",119887,-69.0,-397.0,,,
2018-12-26,"(Women, Subtotal)",5776,-32.0,-66.0,,,
2018-12-26,1. Institution/Camps,117904,-84.0,-328.0,89763.0,131.4,122283.0
2018-12-26,Institutions,114400,-96.0,-310.0,85083.0,134.5,118039.0
2018-12-26,"Camps(CCC, CIW, and SCC)",3504,12.0,-18.0,4680.0,74.9,4244.0
2018-12-26,2. In-State Contract Beds,6318,-3.0,-228.0,,,
2018-12-26,Private Community Correctional Facilities,1967,-13.0,-89.0,,,
2018-12-26,Public Community Correctional Facilities,1677,3.0,-82.0,,,
2018-12-26,Community Prisoner Mother Program,15,-3.0,-7.0,,,
2018-12-26,California City Correctional Facility,2455,16.0,14.0,,,
2018-12-26,"Female Community ReEntry Facility, McFarland",204,-6.0,-64.0,,,
2018-12-26,3. Department of State Hospitals,197,-4.0,-70.0,,,
2018-12-26,4. CRPP Supervision,1244,-10.0,163.0,,,
2018-12-26,Alternative Custody Program,211,-8.0,69.0,,,
2018-12-26,Custody to Community Treatment Reentry Program,377,-2.0,66.0,,,
2018-12-26,Male Community Reentry Program,631,1.0,32.0,,,
2018-12-26,Medical Parole,25,-1.0,-4.0,,,
2018-12-26,II. California Out-of-State Correctional Facility,1989,-1.0,-2321.0,,,
2018-12-26,Arizona,1989,-1.0,-1073.0,,,
2018-12-26,B. Parole,48607,178.0,2476.0,,,
2018-12-26,Community Supervision,46736,186.0,2570.0,,,
2018-12-26,Interstate Cooperative Case,1871,-8.0,-94.0,,,
2018-12-26,C. Non-CDCR Jurisdiction,1025,0.0,-11.0,,,
2018-12-26,Out of State Parole,644,-2.0,20.0,,,
2018-12-26,Out of State Parolee at Large,14,0.0,0.0,,,
2018-12-26,DJJ-W&IC 1731.5(c) Institutions,40,0.0,-29.0,,,
2018-12-26,D. Other Populations,6154,-139.0,505.0,,,
2018-12-26,Temporary Release to Court and Hospital,1266,-86.0,180.0,,,
2018-12-26,Escaped,199,1.0,1.0,,,
2018-12-26,Parolee at Large,4689,-54.0,324.0,,,
2018-12-26,Total CDCR Population,183438,-63.0,186.0,,,
2019-01-31,I. In-State,125015,-707.0,-277.0,,,
2019-01-31,"(Men, Subtotal)",119251,-701.0,-246.0,,,
2019-01-31,"(Women, Subtotal)",5764,-6.0,-31.0,,,
2019-01-31,1. Institution/Camps,117230,-707.0,-197.0,89763.0,130.6,122302.0
2019-01-31,Institutions,113861,-579.0,-59.0,85083.0,133.8,118058.0
2019-01-31,"Camps(CCC, CIW, and SCC)",3369,-128.0,-138.0,4680.0,72.0,4244.0
2019-01-31,2. In-State Contract Beds,6371,30.0,-143.0,,,
2019-01-31,Private Community Correctional Facilities,1995,30.0,-71.0,,,
2019-01-31,Public Community Correctional Facilities,1684,17.0,-89.0,,,
2019-01-31,Community Prisoner Mother Program,14,-1.0,-8.0,,,
2019-01-31,California City Correctional Facility,2474,-22.0,73.0,,,
2019-01-31,"Female Community ReEntry Facility, McFarland",204,6.0,-48.0,,,
2019-01-31,3. Department of State Hospitals,178,-20.0,-72.0,,,
2019-01-31,4. CRPP Supervision,1236,-10.0,135.0,,,
2019-01-31,Alternative Custody Program,186,-23.0,58.0,,,
2019-01-31,Custody to Community Treatment Reentry Program,392,11.0,76.0,,,
2019-01-31,Male Community Reentry Program,634,3.0,7.0,,,
2019-01-31,Medical Parole,24,-1.0,-6.0,,,
2019-01-31,II. California Out-of-State Correctional Facility,1821,-166.0,-2444.0,,,
2019-01-31,Arizona,1821,-166.0,-1195.0,,,
2019-01-31,B. Parole,49050,399.0,2637.0,,,
2019-01-31,Community Supervision,47177,395.0,2712.0,,,
2019-01-31,Interstate Cooperative Case,1873,4.0,-75.0,,,
2019-01-31,C. Non-CDCR Jurisdiction,1028,3.0,0.0,,,
2019-01-31,Out of State Parole,654,3.0,30.0,,,
2019-01-31,Out of State Parolee at Large,13,0.0,-2.0,,,
2019-01-31,DJJ-W&IC 1731.5(c) Institutions,40,1.0,-25.0,,,
2019-01-31,D. Other Populations,6189,104.0,424.0,,,
2019-01-31,Temporary Release to Court and Hospital,1346,120.0,157.0,,,
2019-01-31,Escaped,199,-1.0,2.0,,,
2019-01-31,Parolee at Large,4644,-15.0,265.0,,,
2019-01-31,Total CDCR Population,183103,-367.0,340.0,,,
2019-02-28,I. In-State,125074,59.0,-184.0,,,
2019-02-28,"(Men, Subtotal)",119344,93.0,-100.0,,,
2019-02-28,"(Women, Subtotal)",5730,-34.0,-84.0,,,
2019-02-28,1. Institution/Camps,117182,-48.0,-281.0,89763.0,130.5,125575.0
2019-02-28,Institutions,113656,-205.0,-319.0,85083.0,133.6,121331.0
2019-02-28,"Camps(CCC, CIW, and SCC)",3526,157.0,38.0,4680.0,75.3,4244.0
2019-02-28,2. In-State Contract Beds,6458,87.0,35.0,,,
2019-02-28,Private Community Correctional Facilities,2082,87.0,9.0,,,
2019-02-28,Public Community Correctional Facilities,1762,78.0,-13.0,,,
2019-02-28,Community Prisoner Mother Program,13,-1.0,-8.0,,,
2019-02-28,California City Correctional Facility,2400,-74.0,103.0,,,
2019-02-28,"Female Community ReEntry Facility, McFarland",201,-3.0,-56.0,,,
2019-02-28,3. Department of State Hospitals,182,4.0,-86.0,,,
2019-02-28,4. CRPP Supervision,1252,16.0,148.0,,,
2019-02-28,Alternative Custody Program,192,6.0,69.0,,,
2019-02-28,Custody to Community Treatment Reentry Program,392,0.0,57.0,,,
2019-02-28,Male Community Reentry Program,644,10.0,29.0,,,
2019-02-28,Medical Parole,24,0.0,-7.0,,,
2019-02-28,II. California Out-of-State Correctional Facility,1463,-358.0,-2682.0,,,
2019-02-28,Arizona,1463,-358.0,-1627.0,,,
2019-02-28,B. Parole,49377,327.0,2914.0,,,
2019-02-28,Community Supervision,47489,312.0,2967.0,,,
2019-02-28,Interstate Cooperative Case,1888,15.0,-53.0,,,
2019-02-28,C. Non-CDCR Jurisdiction,1036,8.0,6.0,,,
2019-02-28,Out of State Parole,671,17.0,45.0,,,
2019-02-28,Out of State Parolee at Large,11,-2.0,-3.0,,,
2019-02-28,DJJ-W&IC 1731.5(c) Institutions,37,-3.0,-29.0,,,
2019-02-28,D. Other Populations,6107,-82.0,264.0,,,
2019-02-28,Temporary Release to Court and Hospital,1405,59.0,139.0,,,
2019-02-28,Escaped,199,0.0,1.0,,,
2019-02-28,Parolee at Large,4503,-141.0,124.0,,,
2019-02-28,Total CDCR Population,183057,-46.0,318.0,,,
2019-03-31,I. In-State,125425,351.0,-352.0,,,
2019-03-31,"(Men, Subtotal)",119669,325.0,-261.0,,,
2019-03-31,"(Women, Subtotal)",5756,26.0,-91.0,,,
2019-03-31,1. Institution/Camps,117555,373.0,-446.0,89763.0,131.0,125575.0
2019-03-31,Institutions,113964,308.0,-599.0,85083.0,133.9,121331.0
2019-03-31,"Camps(CCC, CIW, and SCC)",3591,65.0,153.0,4680.0,76.7,4244.0
2019-03-31,2. In-State Contract Beds,6471,13.0,77.0,,,
2019-03-31,Private Community Correctional Facilities,2051,-31.0,-12.0,,,
2019-03-31,Public Community Correctional Facilities,1763,1.0,-22.0,,,
2019-03-31,Community Prisoner Mother Program,18,5.0,-3.0,,,
2019-03-31,California City Correctional Facility,2419,19.0,157.0,,,
2019-03-31,"Female Community ReEntry Facility, McFarland",220,19.0,-43.0,,,
2019-03-31,3. Department of State Hospitals,186,4.0,-87.0,,,
2019-03-31,4. CRPP Supervision,1213,-39.0,104.0,,,
2019-03-31,Alternative Custody Program,173,-19.0,59.0,,,
2019-03-31,Custody to Community Treatment Reentry Program,379,-13.0,35.0,,,
2019-03-31,Male Community Reentry Program,636,-8.0,15.0,,,
2019-03-31,Medical Parole,25,1.0,-5.0,,,
2019-03-31,II. California Out-of-State Correctional Facility,1134,-329.0,-2738.0,,,
2019-03-31,Arizona,1134,-329.0,-1914.0,,,
2019-03-31,B. Parole,49437,60.0,2892.0,,,
2019-03-31,Community Supervision,47560,71.0,2950.0,,,
2019-03-31,Interstate Cooperative Case,1877,-11.0,-58.0,,,
2019-03-31,C. Non-CDCR Jurisdiction,1053,17.0,32.0,,,
2019-03-31,Out of State Parole,682,11.0,62.0,,,
2019-03-31,Out of State Parolee at Large,13,2.0,0.0,,,
2019-03-31,DJJ-W&IC 1731.5(c) Institutions,36,-1.0,-23.0,,,
2019-03-31,D. Other Populations,6310,203.0,474.0,,,
2019-03-31,Temporary Release to Court and Hospital,1479,74.0,299.0,,,
2019-03-31,Escaped,199,0.0,2.0,,,
2019-03-31,Parolee at Large,4632,129.0,173.0,,,
2019-03-31,Total CDCR Population,183359,302.0,308.0,,,
2019-04-30,I. In-State,125823,398.0,187.0,,,
2019-04-30,"(Men, Subtotal)",120026,357.0,231.0,,,
2019-04-30,"(Women, Subtotal)",5797,41.0,-44.0,,,
2019-04-30,1. Institution/Camps,117943,388.0,93.0,89763.0,131.4,125575.0
2019-04-30,Institutions,114442,478.0,93.0,85083.0,134.5,121331.0
2019-04-30,"Camps(CCC, CIW, and SCC)",3501,-90.0,0.0,4680.0,74.8,4244.0
2019-04-30,2. In-State Contract Beds,6488,17.0,70.0,,,
2019-04-30,Private Community Correctional Facilities,2039,-12.0,-43.0,,,
2019-04-30,Public Community Correctional Facilities,1772,9.0,4.0,,,
2019-04-30,Community Prisoner Mother Program,23,5.0,0.0,,,
2019-04-30,California City Correctional Facility,2410,-9.0,141.0,,,
2019-04-30,"Female Community ReEntry Facility, McFarland",244,24.0,-32.0,,,
2019-04-30,3. Department of State Hospitals,187,1.0,-75.0,,,
2019-04-30,4. CRPP Supervision,1205,-8.0,99.0,,,
2019-04-30,Alternative Custody Program,166,-7.0,51.0,,,
2019-04-30,Custody to Community Treatment Reentry Program,391,12.0,45.0,,,
2019-04-30,Male Community Reentry Program,623,-13.0,9.0,,,
2019-04-30,Medical Parole,25,0.0,-6.0,,,
2019-04-30,II. California Out-of-State Correctional Facility,777,-357.0,-2585.0,,,
2019-04-30,Arizona,777,-357.0,-2046.0,,,
2019-04-30,B. Parole,49690,253.0,2666.0,,,
2019-04-30,Community Supervision,47806,246.0,2735.0,,,
2019-04-30,Interstate Cooperative Case,1884,7.0,-69.0,,,
2019-04-30,C. Non-CDCR Jurisdiction,1052,-1.0,34.0,,,
2019-04-30,Out of State Parole,682,0.0,61.0,,,
2019-04-30,Out of State Parolee at Large,15,2.0,4.0,,,
2019-04-30,DJJ-W&IC 1731.5(c) Institutions,35,-1.0,-20.0,,,
2019-04-30,D. Other Populations,6198,-112.0,435.0,,,
2019-04-30,Temporary Release to Court and Hospital,1477,-2.0,205.0,,,
2019-04-30,Escaped,199,0.0,2.0,,,
2019-04-30,Parolee at Large,4522,-110.0,228.0,,,
2019-04-30,Total CDCR Population,183540,181.0,737.0,,,
2019-05-31,I. In-State,125459,-364.0,-788.0,,,
2019-05-31,"(Men, Subtotal)",119739,-287.0,-642.0,,,
2019-05-31,"(Women, Subtotal)",5720,-77.0,-146.0,,,
2019-05-31,1. Institution/Camps,117587,-356.0,-887.0,89763.0,131.0,125575.0
2019-05-31,Institutions,114383,-59.0,-580.0,85083.0,134.4,121331.0
2019-05-31,"Camps(CCC, CIW, and SCC)",3204,-297.0,-307.0,4680.0,68.5,4244.0
2019-05-31,2. In-State Contract Beds,6487,-1.0,123.0,,,
2019-05-31,Private Community Correctional Facilities,1984,-55.0,-52.0,,,
2019-05-31,Public Community Correctional Facilities,1772,0.0,-9.0,,,
2019-05-31,Community Prisoner Mother Program,22,-1.0,-2.0,,,
2019-05-31,California City Correctional Facility,2449,39.0,203.0,,,
2019-05-31,"Female Community ReEntry Facility, McFarland",260,16.0,-17.0,,,
2019-05-31,3. Department of State Hospitals,186,-1.0,-71.0,,,
2019-05-31,4. CRPP Supervision,1199,-6.0,47.0,,,
2019-05-31,Alternative Custody Program,157,-9.0,22.0,,,
2019-05-31,Custody to Community Treatment Reentry Program,385,-6.0,21.0,,,
2019-05-31,Male Community Reentry Program,633,10.0,10.0,,,
2019-05-31,Medical Parole,24,-1.0,-6.0,,,
2019-05-31,II. California Out-of-State Correctional Facility,372,-405.0,-2700.0,,,
2019-05-31,Arizona,372,-405.0,-2495.0,,,
2019-05-31,B. Parole,50068,378.0,2830.0,,,
2019-05-31,Community Supervision,48191,385.0,2911.0,,,
2019-05-31,Interstate Cooperative Case,1877,-7.0,-81.0,,,
2019-05-31,C. Non-CDCR Jurisdiction,1073,21.0,58.0,,,
2019-05-31,Out of State Parole,706,24.0,86.0,,,
2019-05-31,Out of State Parolee at Large,14,-1.0,0.0,,,
2019-05-31,DJJ-W&IC 1731.5(c) Institutions,32,-3.0,-21.0,,,
2019-05-31,D. Other Populations,6337,139.0,659.0,,,
2019-05-31,Temporary Release to Court and Hospital,1527,50.0,299.0,,,
2019-05-31,Escaped,199,0.0,2.0,,,
2019-05-31,Parolee at Large,4611,89.0,358.0,,,
2019-05-31,Total CDCR Population,183309,-231.0,59.0,,,
2019-06-30,I. In-State,125472,13.0,-1100.0,,,
2019-06-30,"(Men, Subtotal)",119781,42.0,-885.0,,,
2019-06-30,"(Women, Subtotal)",5691,-29.0,-215.0,,,
2019-06-30,1. Institution/Camps,117682,95.0,-1183.0,89763.0,131.1,125575.0
2019-06-30,Institutions,114831,448.0,-432.0,85083.0,135.0,121331.0
2019-06-30,"Camps(CCC, CIW, and SCC)",2851,-353.0,-751.0,4680.0,60.9,4244.0
2019-06-30,2. In-State Contract Beds,6405,-82.0,108.0,,,
2019-06-30,Private Community Correctional Facilities,1939,-45.0,-66.0,,,
2019-06-30,Public Community Correctional Facilities,1761,-11.0,-16.0,,,
2019-06-30,Community Prisoner Mother Program,22,0.0,0.0,,,
2019-06-30,California City Correctional Facility,2441,-8.0,219.0,,,
2019-06-30,"Female Community ReEntry Facility, McFarland",242,-18.0,-29.0,,,
2019-06-30,3. Department of State Hospitals,190,4.0,-42.0,,,
2019-06-30,4. CRPP Supervision,1195,-4.0,17.0,,,
2019-06-30,Alternative Custody Program,160,3.0,2.0,,,
2019-06-30,Custody to Community Treatment Reentry Program,383,-2.0,3.0,,,
2019-06-30,Male Community Reentry Program,628,-5.0,17.0,,,
2019-06-30,Medical Parole,24,0.0,-5.0,,,
2019-06-30,B. Parole,50822,754.0,3452.0,,,
2019-06-30,Community Supervision,48950,759.0,3544.0,,,
2019-06-30,Interstate Cooperative Case,1872,-5.0,-92.0,,,
2019-06-30,C. Non-CDCR Jurisdiction,1083,10.0,72.0,,,
2019-06-30,Out of State Parole,717,11.0,99.0,,,
2019-06-30,Out of State Parolee at Large,13,-1.0,-1.0,,,
2019-06-30,DJJ-W&IC 1731.5(c) Institutions,30,-2.0,-20.0,,,
2019-06-30,D. Other Populations,6247,-90.0,468.0,,,
2019-06-30,Temporary Release to Court and Hospital,1536,9.0,263.0,,,
2019-06-30,Escaped,199,0.0,2.0,,,
2019-06-30,Parolee at Large,4512,-99.0,203.0,,,
2019-06-30,Total CDCR Population,183624,315.0,47.0,,,
2019-07-31,I. In-State,125295,-177.0,-1627.0,,,
2019-07-31,"(Men, Subtotal)",119597,-184.0,-1451.0,,,
2019-07-31,"(Women, Subtotal)",5698,7.0,-176.0,,,
2019-07-31,1. Institution/Camps,117747,65.0,-1544.0,89763.0,131.2,125538.0
2019-07-31,Institutions,114921,90.0,-833.0,85083.0,135.1,121294.0
2019-07-31,"Camps(CCC, CIW, and SCC)",2826,-25.0,-711.0,4680.0,60.4,4244.0
2019-07-31,2. In-State Contract Beds,6181,-224.0,-22.0,,,
2019-07-31,Private Community Correctional Facilities,1850,-89.0,-181.0,,,
2019-07-31,Public Community Correctional Facilities,1711,-50.0,-54.0,,,
2019-07-31,Community Prisoner Mother Program,22,0.0,6.0,,,
2019-07-31,California City Correctional Facility,2346,-95.0,196.0,,,
2019-07-31,"Female Community ReEntry Facility, McFarland",252,10.0,11.0,,,
2019-07-31,3. Department of State Hospitals,203,13.0,-27.0,,,
2019-07-31,4. CRPP Supervision,1164,-31.0,-34.0,,,
2019-07-31,Alternative Custody Program,151,-9.0,-16.0,,,
2019-07-31,Custody to Community Treatment Reentry Program,365,-18.0,-18.0,,,
2019-07-31,Male Community Reentry Program,623,-5.0,3.0,,,
2019-07-31,Medical Parole,25,1.0,-3.0,,,
2019-07-31,B. Parole,50950,128.0,3373.0,,,
2019-07-31,Community Supervision,49098,148.0,3471.0,,,
2019-07-31,Interstate Cooperative Case,1852,-20.0,-98.0,,,
2019-07-31,C. Non-CDCR Jurisdiction,1069,-14.0,47.0,,,
2019-07-31,Out of State Parole,709,-8.0,79.0,,,
2019-07-31,Out of State Parolee at Large,16,3.0,3.0,,,
2019-07-31,DJJ-W&IC 1731.5(c) Institutions,27,-3.0,-23.0,,,
2019-07-31,D. Other Populations,6448,201.0,576.0,,,
2019-07-31,Temporary Release to Court and Hospital,1593,57.0,309.0,,,
2019-07-31,Escaped,200,1.0,3.0,,,
2019-07-31,Parolee at Large,4655,143.0,264.0,,,
2019-07-31,Total CDCR Population,183762,138.0,-19.0,,,
2019-08-31,I. In-State,125132,-163.0,-2145.0,,,
2019-08-31,"(Men, Subtotal)",119510,-87.0,-1838.0,,,
2019-08-31,"(Women, Subtotal)",5622,-76.0,-307.0,,,
2019-08-31,1. Institution/Camps,117666,-81.0,-1893.0,89763.0,131.1,125448.0
2019-08-31,Institutions,114815,-106.0,-1183.0,85083.0,134.9,121204.0
2019-08-31,"Camps(CCC, CIW, and SCC)",2851,25.0,-710.0,4680.0,60.9,4244.0
2019-08-31,2. In-State Contract Beds,6061,-120.0,-214.0,,,
2019-08-31,Private Community Correctional Facilities,1796,-54.0,-211.0,,,
2019-08-31,Public Community Correctional Facilities,1658,-53.0,-116.0,,,
2019-08-31,Community Prisoner Mother Program,19,-3.0,2.0,,,
2019-08-31,California City Correctional Facility,2311,-35.0,76.0,,,
2019-08-31,"Female Community ReEntry Facility, McFarland",277,25.0,35.0,,,
2019-08-31,3. Department of State Hospitals,264,61.0,41.0,,,
2019-08-31,4. CRPP Supervision,1141,-23.0,-79.0,,,
2019-08-31,Alternative Custody Program,153,2.0,-25.0,,,
2019-08-31,Custody to Community Treatment Reentry Program,353,-12.0,-31.0,,,
2019-08-31,Male Community Reentry Program,610,-13.0,-21.0,,,
2019-08-31,Medical Parole,25,0.0,-2.0,,,
2019-08-31,B. Parole,51522,572.0,3762.0,,,
2019-08-31,Community Supervision,49670,572.0,3827.0,,,
2019-08-31,Interstate Cooperative Case,1852,0.0,-65.0,,,
2019-08-31,C. Non-CDCR Jurisdiction,1081,12.0,50.0,,,
2019-08-31,Out of State Parole,724,15.0,85.0,,,
2019-08-31,Out of State Parolee at Large,13,-3.0,-4.0,,,
2019-08-31,DJJ-W&IC 1731.5(c) Institutions,26,-1.0,-21.0,,,
2019-08-31,D. Other Populations,6249,-199.0,278.0,,,
2019-08-31,Temporary Release to Court and Hospital,1575,-18.0,205.0,,,
2019-08-31,Escaped,199,-1.0,2.0,,,
2019-08-31,Parolee at Large,4475,-180.0,71.0,,,
2019-08-31,Total CDCR Population,183984,222.0,114.0,,,
2019-09-30,I. In-State,125021,-111.0,-2140.0,,,
2019-09-30,"(Men, Subtotal)",119425,-85.0,-1817.0,,,
2019-09-30,"(Women, Subtotal)",5596,-26.0,-323.0,,,
2019-09-30,1. Institution/Camps,117836,170.0,-1385.0,89763.0,131.3,125463.0
2019-09-30,Institutions,114994,179.0,-725.0,85083.0,135.2,121219.0
2019-09-30,"Camps(CCC, CIW, and SCC)",2842,-9.0,-660.0,4680.0,60.7,4244.0
2019-09-30,2. In-State Contract Beds,5754,-307.0,-732.0,,,
2019-09-30,Private Community Correctional Facilities,1380,-416.0,-642.0,,,
2019-09-30,Public Community Correctional Facilities,1715,57.0,-56.0,,,
2019-09-30,Community Prisoner Mother Program,23,4.0,6.0,,,
2019-09-30,California City Correctional Facility,2368,57.0,-12.0,,,
2019-09-30,"Female Community ReEntry Facility, McFarland",268,-9.0,-28.0,,,
2019-09-30,3. Department of State Hospitals,291,27.0,65.0,,,
2019-09-30,4. CRPP Supervision,1140,-1.0,-88.0,,,
2019-09-30,Alternative Custody Program,155,2.0,-35.0,,,
2019-09-30,Custody to Community Treatment Reentry Program,331,-22.0,-53.0,,,
2019-09-30,Male Community Reentry Program,628,18.0,1.0,,,
2019-09-30,Medical Parole,26,1.0,-1.0,,,
2019-09-30,B. Parole,51685,163.0,3625.0,,,
2019-09-30,Community Supervision,49849,179.0,3702.0,,,
2019-09-30,Interstate Cooperative Case,1836,-16.0,-77.0,,,
2019-09-30,C. Non-CDCR Jurisdiction,1081,0.0,60.0,,,
2019-09-30,Out of State Parole,721,-3.0,87.0,,,
2019-09-30,Out of State Parolee at Large,15,2.0,-3.0,,,
2019-09-30,DJJ-W&IC 1731.5(c) Institutions,25,-1.0,-22.0,,,
2019-09-30,D. Other Populations,6228,-21.0,235.0,,,
2019-09-30,Temporary Release to Court and Hospital,1552,-23.0,145.0,,,
2019-09-30,Escaped,198,-1.0,1.0,,,
2019-09-30,Parolee at Large,4478,3.0,89.0,,,
2019-09-30,Total CDCR Population,184015,31.0,217.0,,,
2019-10-31,I. In-State,124944,-188.0,-2217.0,,,
2019-10-31,"(Men, Subtotal)",119327,-183.0,-1915.0,,,
2019-10-31,"(Women, Subtotal)",5617,-5.0,-302.0,,,
2019-10-31,1. Institution/Camps,117889,223.0,-1332.0,89763.0,131.3,125463.0
2019-10-31,Institutions,114907,92.0,-812.0,85083.0,135.1,121219.0
2019-10-31,"Camps(CCC, CIW, and SCC)",2982,131.0,-520.0,4680.0,63.7,4244.0
2019-10-31,2. In-State Contract Beds,5573,-488.0,-913.0,,,
2019-10-31,Private Community Correctional Facilities,1294,-502.0,-728.0,,,
2019-10-31,Public Community Correctional Facilities,1673,15.0,-98.0,,,
2019-10-31,Community Prisoner Mother Program,23,4.0,6.0,,,
2019-10-31,California City Correctional Facility,2338,27.0,-42.0,,,
2019-10-31,"Female Community ReEntry Facility, McFarland",245,-32.0,-51.0,,,
2019-10-31,3. Department of State Hospitals,320,56.0,94.0,,,
2019-10-31,4. CRPP Supervision,1162,21.0,-66.0,,,
2019-10-31,Alternative Custody Program,160,7.0,-30.0,,,
2019-10-31,Custody to Community Treatment Reentry Program,339,-14.0,-45.0,,,
2019-10-31,Male Community Reentry Program,638,28.0,11.0,,,
2019-10-31,Medical Parole,25,0.0,-2.0,,,
2019-10-31,B. Parole,51698,176.0,3638.0,,,
2019-10-31,Community Supervision,49882,212.0,3735.0,,,
2019-10-31,Interstate Cooperative Case,1816,-36.0,-97.0,,,
