GEOID,Dr_delta_JA_max_pre,Dr_delta_JA_max_fut,Dr_WSV_average,Dr_precip_demand_ratio,drought_delta_spei12_midcentury,drought_hazard_idx_norm,drought_hazard_fut_idx_norm
06037137504,3.222523,5.534145,20.838332046341208,1.9836592167999956,311.96654032799887,36.67953676177428,40.70159783904734
06037138000,3.1698084818941505,5.454793401114205,22.955443997857156,1.9836592167999945,306.49704602882304,38.366507740747686,42.07598229454114
06037139200,3.201486,5.466245,18.796085481569076,1.983659216799997,313.49206349206355,34.38948246488308,38.10606899633228
06087120901,3.406730308333333,5.350360983333333,27.198633764040665,1.992271328490005,126.48028685256958,44.52449907414425,44.94699789372304
06087120902,3.1337526479217606,4.9409354938875305,29.67031032575115,1.9922713284900049,116.93494475782994,44.54475647135306,43.76687194011248
06087121601,1.0348584539877301,1.8855882024539876,30.085380135643486,1.9800488050023355,35.976110064492325,26.162021804154783,17.83114351438088
06087122401,2.1972052143671608,3.5672404070695554,33.79189070152651,1.9922713284900053,94.43190622827746,40.14091238690407,35.7250433874352
06087121602,0.7511538048780488,1.428126081300813,29.942807944293502,1.9760740006161013,33.835820452404036,23.576179506339173,13.838116071323523
06087110503,0.805164,1.932916,41.04802252149449,1.9922713284900035,62.69841269841271,34.755048162523245,28.459804213037703
06087110506,0.7925216907216495,1.8923168247422681,43.28005689306393,1.992271328490003,61.92854424779744,36.929402780427,30.287310394896195
06087110202,0.8087247204968945,1.9455730372670808,40.54562628165595,1.9922713284900042,63.754011205941055,34.2722276298894,28.079392858364116
06087110505,0.805164,1.932916,43.44982062652633,1.9922713284900035,62.69841269841271,37.220194954686846,30.81033669181597
06087110201,0.8086384,1.9452662,43.13148516899995,1.9922713284900027,63.37842670135244,36.925494106110236,30.607360153917114
06087110302,0.805164,1.932916,43.309668935350956,1.9922713284900013,62.69841269841271,37.07634668900906,30.67317649447339
06087110301,0.7837427027027027,1.9208694594594593,44.397568826618894,1.9922713284900024,61.75886147972251,37.99545522693387,31.6319606664612
06087110401,0.6107239756097561,1.718972975609756,45.53573069455854,1.9922713284900029,25.907336554143328,37.56855812778133,30.971062425579316
06087121701,0.555826,1.113168,29.631331731392013,1.992271328490004,32.53968253968254,20.73856183790446,10.080823148225026
06087121702,0.9873042517482518,1.808909,30.17545751283078,1.992271328490004,34.93401796154717,25.27488445710016,16.729230006382984
06087110102,0.8206747142857144,1.9880508214285713,42.97269289444081,1.992271328490004,66.26770940673411,36.87347770081335,30.8280544819594
06087110601,0.7811143841059602,1.714909927152318,39.81199248113834,1.992271328490004,58.815151715839264,33.26470113883403,25.333779472665913
06087122205,0.736207386440678,0.8824358101694916,36.37050836936843,1.9652574799681064,34.777574608075085,30.51455007182286,15.788403020072362
06087100801,1.816593,2.935384,28.949816636650453,1.9922713284900035,57.14285714285714,31.662220406415877,25.43200264808289
06087101002,1.816593,2.935384,28.874537513714998,1.9922713284900033,57.14285714285714,31.58495575705486,25.35833033438466
06087121802,0.555826,1.113168,29.317731577550926,1.9922713284900035,32.53370270875891,20.41669031521332,9.773916691179798
06067002300,3.2970443181818183,5.2252220454545455,25.346351577285187,1.9925546533900005,88.05690831593553,41.5996098943236,42.02225946668807
06067002400,3.3099887877697842,5.214452694244605,24.681662691484856,1.9925546533900063,87.79881882759472,41.036725971964295,41.277090422101125
06037143200,2.7901389285714284,4.884364732142857,25.249576502414246,1.9836592167999985,224.23936985613943,37.22093402329506,39.30680715655317
06037201301,2.751008927272727,4.701872381818182,26.54233577111185,1.9836592167999987,242.70944852205056,38.18704673171987,38.96777807325869
06037201302,2.891817704347826,4.8774896434782615,27.908585027545154,1.9836592167999985,233.061606956598,40.887463059629106,41.84862467089241
06037201401,2.7425752647058825,4.697567823529412,26.65471720726866,1.9836592167999991,244.4745136374757,38.224641428921274,39.039921642246775
06037201402,2.744998814102564,4.698396141025641,26.039487853469304,1.983659216799997,243.2095062862087,37.61552804480127,38.44510547170189
06037236001,2.024685316455696,3.572605641350211,17.84636068425569,1.9836592167999954,159.87511389196789,22.565653857690837,20.530622514891114
06037236102,2.138104066666667,3.759469511111111,18.492535220799994,1.9836592168000016,182.8200198672422,24.274491460693383,22.805627211423246
06037409100,2.776577153846154,4.798151989743589,33.71891250260203,1.983659216799996,275.28552586805125,45.7886257252836,46.83751670898298
06037234301,2.216968,3.890689,18.95443030479999,1.9836592168000025,189.6825396825397,25.47562450444019,24.411145191242955
06037231601,2.341892,4.09972,19.58332272070001,1.9836592168000016,220.63492063492063,27.27279231900467,26.864096297479627
06037231603,2.341892,4.09972,19.583322720700004,1.9836592168,220.63492063492063,27.27279231900473,26.864096297479684
06037234001,2.216968,3.890689,19.327353316911765,1.9836592167999991,189.6825396825397,25.858383556962423,24.776108278779923
06037236205,2.030185,3.579906,17.443037180314292,1.9836592168,161.90476190476193,22.20239466900594,20.20008145940565
