cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,hazard_score,risk_score,risk_category,time_period
ASP,Avenal State Prison,35.97394943680589,-120.123101823151,3891.0,0.47,0.19,34.12999199345762,0.815,132,0.0,38.5,28.8,0.0,4.0,0.7460164482138267,0.55,18.99,Low,current
ASP,Avenal State Prison,35.97394943680589,-120.123101823151,3891.0,0.47,0.19,34.12999199345762,0.815,132,0.0,38.5,28.8,0.0,4.0,0.7460164482138267,0.59,20.13,Low,midcentury
CAL,Calipatria State Prison,33.16569335411168,-115.4843440200192,2462.0,0.22,0.21,34.1657626589918,0.757,137,0.0,21.299999999999997,10.3,0.0,3.9,0.9204914703493096,0.72,13.0,Low,current
CAL,Calipatria State Prison,33.16569335411168,-115.4843440200192,2462.0,0.22,0.21,34.1657626589918,0.757,137,0.0,21.299999999999997,10.3,0.0,3.9,0.9204914703493096,0.71,12.7,Low,midcentury
CCI,California Correctional Institution,35.10991555190383,-118.57033067748,2434.0,0.51,0.31,45.871387949762784,1.278,115,,62.3,17.8,6.2,5.7,0.8293618186798137,0.44,26.8,Moderate,current
CCI,California Correctional Institution,35.10991555190383,-118.57033067748,2434.0,0.51,0.31,45.871387949762784,1.278,115,,62.3,17.8,6.2,5.7,0.8293618186798137,0.54,32.52,Moderate,midcentury
CCWF,Central California Women'S Facility,37.0936807963828,-120.15270979438849,2040.0,0.43,0.3,54.67109503384696,0.599,97,0.0913,80.9,20.8,5.0,14.1,0.7066993464052289,0.68,33.14,Moderate,current
CCWF,Central California Women'S Facility,37.0936807963828,-120.15270979438849,2040.0,0.43,0.3,54.67109503384696,0.599,97,0.0913,80.9,20.8,5.0,14.1,0.7066993464052289,0.74,36.42,Moderate,midcentury
CEN,Centinela State Prison,32.82339731050856,-115.7890554901459,2984.0,0.07,0.24,43.55668748025076,0.228,42,0.0,22.299999999999997,12.3,0.0,4.0,0.93923145665773,0.77,4.64,Low,current
CEN,Centinela State Prison,32.82339731050856,-115.7890554901459,2984.0,0.07,0.24,43.55668748025076,0.228,42,0.0,22.299999999999997,12.3,0.0,4.0,0.93923145665773,0.8,4.82,Low,midcentury
CHCF,California Health Care Facility,37.89778736654379,-121.1905848230992,2251.0,0.09,0.72,48.03373276709035,0.0,0,0.3422,92.1,63.3,20.8,55.8,0.7001332741003998,0.57,13.24,Low,current
CHCF,California Health Care Facility,37.89778736654379,-121.1905848230992,2251.0,0.09,0.72,48.03373276709035,0.0,0,0.3422,92.1,63.3,20.8,55.8,0.7001332741003998,0.66,15.28,Low,midcentury
CIM,California Institution For Men,33.98471244959707,-117.68239170046569,2274.0,0.52,0.53,94.40464835864267,0.994,161,1.0,79.80000000000001,56.6,7.4,27.0,0.7568528290823805,0.77,80.38,Critical,current
CIM,California Institution For Men,33.98471244959707,-117.68239170046569,2274.0,0.52,0.53,94.40464835864267,0.994,161,1.0,79.80000000000001,56.6,7.4,27.0,0.7568528290823805,0.79,82.72,Critical,midcentury
CIW,California Institution For Women,33.94974539755923,-117.6363650322742,1187.0,0.54,0.29,75.58603784147648,0.915,150,0.6051,76.4,22.0,5.8,17.2,0.6763549564729008,0.68,40.44,High,current
CIW,California Institution For Women,33.94974539755923,-117.6363650322742,1187.0,0.54,0.29,75.58603784147648,0.915,150,0.6051,76.4,22.0,5.8,17.2,0.6763549564729008,0.72,42.59,High,midcentury
CMC,California Men'S Colony,35.324574100099134,-120.69890041992886,2172.0,0.33,0.5,21.635279342708017,0.702,33,0.0698,71.80000000000001,29.5,29.8,11.2,0.8050184162062615,0.12,7.37,Low,current
CMC,California Men'S Colony,35.324574100099134,-120.69890041992886,2172.0,0.33,0.5,21.635279342708017,0.702,33,0.0698,71.80000000000001,29.5,29.8,11.2,0.8050184162062615,0.1,6.22,Low,midcentury
CMF,California Medical Facility,38.3285102029971,-121.97916451130509,2045.0,0.49,0.66,40.62387437615521,0.925,135,0.5815,86.7,53.2,24.2,43.9,0.7223716381418093,0.47,58.55,High,current
CMF,California Medical Facility,38.3285102029971,-121.97916451130509,2045.0,0.49,0.66,40.62387437615521,0.925,135,0.5815,86.7,53.2,24.2,43.9,0.7223716381418093,0.49,60.93,High,midcentury
COR,"California State Prison, Corcoran",36.060818292814254,-119.54912102574772,2629.0,0.66,0.46,61.689244197361795,0.975,159,0.5779,71.5,40.1,9.8,18.4,0.7950107772283506,0.77,88.1,Critical,current
COR,"California State Prison, Corcoran",36.060818292814254,-119.54912102574772,2629.0,0.66,0.46,61.689244197361795,0.975,159,0.5779,71.5,40.1,9.8,18.4,0.7950107772283506,0.87,100.0,Critical,midcentury
CRC,California Rehabilitation Center,33.9292530412966,-117.5725312861978,2330.0,0.43,0.29,59.583481416329555,0.961,149,0.5713,52.9,26.0,1.8,4.0,0.8332618025751072,0.63,30.06,Moderate,current
CRC,California Rehabilitation Center,33.9292530412966,-117.5725312861978,2330.0,0.43,0.29,59.583481416329555,0.961,149,0.5713,52.9,26.0,1.8,4.0,0.8332618025751072,0.69,32.96,Moderate,midcentury
CTF,Correctional Training Facility,36.46964827416208,-121.38223254073095,4225.0,0.37,0.39,12.204984562477916,1.935,60,0.0,48.400000000000006,48.5,0.0,14.7,0.8239842209072978,0.21,11.29,Low,current
CTF,Correctional Training Facility,36.46964827416208,-121.38223254073095,4225.0,0.37,0.39,12.204984562477916,1.935,60,0.0,48.400000000000006,48.5,0.0,14.7,0.8239842209072978,0.27,15.17,Low,midcentury
