GEOID,flood_bam_100_pct,flood_bam_500_pct,flood_verywet_pre_pct,flood_verywet_fut_pct,flood_hazard_idx_norm,flood_hazard_fut_idx_norm
06037137504,0.0,0.0,28.9522546153845,28.859300000000065,28.30534372350918,24.992923475620646
06037138000,0.0,0.0,29.090135682451184,29.742482116991784,28.538986698507042,26.345367488774368
06037139200,0.6451612903225806,0.6451612903225806,26.673859999999966,28.78535000000008,24.936361515442368,25.324131728363287
06087120901,5.833333333333333,6.041666666666667,28.531080687499994,29.1765435625,32.03848484510176,29.640818965872846
06087120902,4.400977995110025,5.134474327628362,28.286299168704225,29.018763691931735,30.53179195876936,28.77424301299774
06087121601,14.11042944785276,14.723926380368098,26.187738343558305,24.649424355828312,34.3773770217618,28.689490984902044
06087122401,1.7103762827822122,1.7103762827822122,26.59736770809587,29.165107844925913,25.61877157128663,26.63949085131404
06087121602,8.94308943089431,9.75609756097561,25.263286097561014,24.483575365853685,28.871734083090512,25.01319516120771
06087110503,0.9174311926605505,0.9174311926605505,23.723320000000044,25.749789999999983,20.14415157145873,20.86325120955919
06087110506,9.278350515463918,9.278350515463918,23.827034639175288,25.779543402061854,26.69354364061764,26.66863211284506
06087110202,4.968944099378882,4.968944099378882,23.8742591304348,26.067483664596235,23.488446351738197,24.140823485822683
06087110505,10.16949152542373,10.16949152542373,23.723320000000047,25.749789999999972,27.19712572101326,27.236974857138364
06087110201,0.0,0.0,23.87060000000004,26.059782000000013,19.6943507314414,20.705935224870483
06087110302,5.88235294117647,5.88235294117647,23.72332000000003,25.749790000000004,23.928980408214215,24.28357468549198
06087110301,67.56756756756756,81.08108108108108,24.0312383783784,26.196338108108115,71.4742521611028,76.77162301821946
06087110401,52.4390243902439,68.29268292682927,24.534029390243955,25.955573170731736,60.79354564262906,67.59303338957756
06087121701,1.4598540145985401,1.4598540145985401,24.62681000000007,24.369389999999953,22.088634809892092,19.12307598544805
06087121702,2.097902097902098,2.097902097902098,26.032782867132923,24.621624965035004,24.95748451223863,19.9488810623295
