GEOID,days_over_90_historic,days_over_90_midcentury,delta_90,hotnights_pre_pct,hotnights_fut_pct,PollutionP,AQI_norm,heat_hazard_idx_norm,heat_hazard_fut_idx_norm
06077003406,85.0566635131836,114.80484008789062,29.74817657470703,5.355072463768105,13.876811594202898,25.58752471,39.94962957249208,51.53571826953126,58.97252668509394
06077004402,77.77811790053832,108.55583582962412,30.777717929085796,5.250061409972969,14.486919675755331,47.22161212,57.792255036398885,58.78235909416232,65.92432094042465
06077004600,77.0372877138822,108.08070031057034,31.043412596688142,6.0061022120517755,16.216974272332564,89.78695366,34.677544359581596,48.237392686068766,59.30037551514845
06077001400,85.44667053222656,115.7510757446289,30.304405212402344,5.456521739130412,14.644927536231823,64.39710081,45.93354274098774,54.91298083583482,62.75052364985459
06077003106,79.09291548607283,110.03906778474484,30.94615229867202,5.319982865709998,14.663918040979532,43.37799253,34.808037094912656,47.40536583497427,57.27237621929832
06077001700,88.5566985189425,118.17243136142402,29.61573284248152,5.550724637681175,14.840579710144908,83.32967274,61.01401962671559,63.60204864474789,69.54314070277486
06077000401,87.44179984379993,117.101963048135,29.660163204335078,5.654782608695652,14.491884057971014,86.29475071,45.644181415359455,55.63737354198736,62.643116202504125
06077003404,81.56647671855032,111.59631943099252,30.029842712442203,5.412962058296687,13.933927699071816,29.14561827,51.379212640100704,56.70840153241902,63.04758772720379
06001450200,31.62781290317256,54.90792482880312,23.280111925630557,5.723324010509371,15.459106703957953,16.54952778,20.604286763180465,29.66283358021855,42.67140194462703
06001444100,11.63766649340606,21.103007755625224,9.465341262219164,3.8424063591472954,9.545425348267674,35.35031847,36.43452497541352,29.27354864395509,33.48264687210197
06001406201,5.1127737375212625,8.609735940189776,3.496962202668513,2.965074839629365,8.349014017581382,64.60575445,40.16630621064719,27.87558101777646,30.793201322745233
06001406202,4.841139089203343,8.173647384629321,3.3325082954259786,2.7033087229969914,7.807219031993442,67.32923347,37.10390574874191,25.706135132147345,28.634871847650743
06001428000,4.371067902972627,7.444557429925597,3.0734895269529696,2.3623188405797078,7.101449275362319,50.56007028,42.14309985819372,27.499432945426143,29.408906295426334
06001409700,7.636496430353217,12.926246205598028,5.289749775244811,3.7826086956521667,10.949275362318858,14.3641555,10.140472533492673,14.671292824520496,23.653047599001365
06001432100,8.75857162475586,15.49623680114746,6.7376651763916,3.9565217391304452,11.710144927536211,48.69316934,33.353843056586925,27.236305089318012,34.61820526942147
06001409200,7.518571376800537,12.858602523803713,5.340031147003176,3.768115942028986,11.297101449275344,82.86843839,35.57791499475022,27.706534025258605,34.37328120590119
06001450741,54.00240542953215,82.68460163077994,28.682196201247784,6.485248447204975,14.274758454106218,37.33801889,25.136610194489624,38.83670114821835,47.74516575974565
06001450300,35.91442999926213,59.92293477359418,24.008504774332046,5.135869565217411,13.192028985507232,62.29958269,39.945205390708,39.446255366892544,47.77696423430568
06001401500,3.3992401919227877,6.127992279776497,2.7287520878537093,0.0,0.0,82.69273007,37.329558661344514,20.0187038489658,16.07582591742551
06001401400,3.8528571128845215,6.794623851776123,2.9417667388916016,0.0,0.0,87.83219855,40.24953732540014,21.629080448184197,17.367969212256213
06001438400,9.510731936301111,16.69329008016739,7.182558143866279,3.7035024154589378,9.84918478260871,53.84361959,46.714675351574556,33.780038631601585,37.26370329007082
06001423300,2.2532244857712085,4.202394831281798,1.9491703455105895,0.0,0.0,73.40215243,40.25526018010685,21.25299157775681,16.89238855453498
06001423902,3.072857141494751,5.38763427734375,2.314777135848999,0.0,0.0,34.70239403,37.81432409051975,20.190872314426247,16.13345768133948
06001438000,9.336085783375204,17.65466326045782,8.318577477082616,3.9418500626230064,10.494542852030767,36.14100593,16.105406394358283,18.465859912920614,26.19846731256594
06001402200,3.3902614967038165,5.9665824448142155,2.576320948110399,0.0,0.0,89.16099275,43.51912042111798,23.20229851141194,18.524565099233968
06001436700,7.270504379213733,12.968559721851378,5.698055342637645,3.91304347826087,12.144927536231902,56.36942675,42.98509250783745,31.752994006946018,38.69232925277616
06001437900,8.56301938366081,15.882009048174169,7.318989664513358,3.7857422640031295,10.540344692518621,54.51350758,28.721948312218576,24.460914194753553,30.995737979528936
06013389200,1.98714280128479,3.5865590572357178,1.5994162559509277,0.0,0.0,59.91653855,38.70865601147455,20.393917429619428,16.15955161013271
06013359102,9.774117594973749,15.195463899655596,5.4213463046818475,3.5762716680875126,8.961040068201177,51.81199209,33.46673564494315,26.766766401633618,30.286602389491406
06013379000,1.5747860755597718,2.524277291910084,0.9494912163503124,0.0,0.0,88.08477927,41.123832732243635,21.539282930130803,16.93083462778243
06013337300,50.032991544590104,78.50883106461808,28.475839520027975,5.5401377325521635,12.717082947887759,9.894575005,17.745519234024634,32.18245072906708,41.56721104724771
06013345111,33.35937732602523,56.96733842586193,23.6079610998367,4.540849342770489,12.230299966295972,9.609048979,28.94600453454581,31.977413453362924,41.31592356307252
06013333102,46.30714505150531,74.58269426611346,28.275549214608155,6.215397877269513,12.446770109369144,14.63869976,20.10359227469628,33.877623836225524,41.36277291783061
06013323000,45.25691021153139,73.08948606034758,27.83257584881619,4.37888198757764,10.967153488892619,21.66703273,18.562097084271226,29.124775515699348,38.144406964825485
06013387000,2.784761905670166,4.543010711669922,1.7582488059997559,0.0,0.0,34.73533934,16.387526486662445,9.094391862143352,7.397790847650216
06019003600,117.36250222394445,140.96603282508528,23.603530601140832,9.391882955860478,19.784234308701134,63.21106962,67.61451094649496,81.58572220683367,84.15914911773085
06019005507,119.44926604849591,143.31424565127344,23.864979602777524,10.275362318840632,20.159019937545104,36.08609708,64.43267972639445,82.22754790545963,83.90706391679993
06019004505,117.92991742090412,141.75970517614107,23.82978775523695,9.263975155279509,19.245341614906852,85.42719086,77.81650481544715,86.71263140981436,87.5435655224278
06019007202,109.19089503631434,137.3102966687287,28.119401632414366,8.439149630482767,19.461344658796357,78.6184933,73.39561823837384,80.69999129248592,85.29260281472231
06019001000,113.02970456447616,138.2825025939557,25.25279802947955,8.926999463231375,21.194847020933892,96.87019548,86.36208088636653,89.26902283572036,93.38892557354713
06019001304,116.71646754669896,141.09395725621968,24.377489709520717,9.749301554042274,20.639820150165864,80.1339776,70.04053516193297,83.40344887098537,86.49909697541975
06019007003,108.92133893350427,137.66208062250797,28.7407416890037,8.667645010446678,19.32005107286172,57.08324182,72.68046682068986,80.72970118877618,84.84898277870423
06085500100,19.790952682495117,35.019893646240234,15.228940963745117,4.195652173913028,9.29710144927533,90.80825829,46.73058396738651,37.21850068131904,39.78071795791986
06085509107,6.345812908703996,11.759311746473706,5.41349883776971,3.1041248606465968,6.905351170568566,43.12541182,27.56366116289636,21.962205838897734,24.05800817064267
06085508800,9.010033132904711,15.62235713022394,6.612323997319228,3.1009766855702634,7.213768115942027,60.25697342,35.06804018932029,26.449583461701653,28.25994727843254
06085507500,23.767772148203836,45.0581440750244,21.290371926820566,4.738305996702284,8.478738175822336,7.193059521,11.637465726402606,21.195047990370842,26.292465401459435
06085512030,54.18714141845703,86.7741928100586,32.58705139160156,4.181159420289856,10.289855072463768,6.30353613,16.40147730273666,29.729257014238218,38.737319323182305
06085512021,49.80887983400578,80.27664437170425,30.46776453769847,4.004025764895338,10.136630959882408,23.80847793,21.530381960424087,30.973743132850917,39.352428133295994
06085507203,32.8100635218766,58.79570280808075,25.985639286204147,4.91959972394755,10.265306122448985,37.29409181,27.88201526678315,32.06487370844109,38.13811908108172
06085505403,19.668561837692927,34.33061281268203,14.6620509749891,3.653736857061665,8.0899403239557,32.92334724,26.291980226354394,25.57498460987553,29.571836275587103
06085503709,28.450475692749023,49.297847747802734,20.84737205505371,4.5724637681159495,9.652173913043494,57.25895014,37.625032658172486,35.34515265169922,39.32482599784667
06085503504,40.470001220703125,66.5784912109375,26.108489990234375,4.456521739130435,9.637681159420291,21.93059521,33.00668717094344,35.581905663553655,40.63836642572721
06085503208,47.26099863816808,76.577722660251,29.316724022082916,4.067200610221197,9.99877955758961,43.94904459,18.958356228640692,29.173859509709786,37.42392863505988
06085502906,40.74835039543126,70.19818296782393,29.449832572392665,4.507895306078318,9.447833297281683,8.313200088,23.233149914415186,30.72129058573396,37.093593506137665
06085502400,33.37048837824417,55.79761490041562,22.42712652217145,4.038870738041358,9.628382340621537,67.8343949,38.96883487166337,36.124498460116214,41.0237473798811
06085504411,19.07569692025536,35.61392044650373,16.538223526248366,4.681159420289871,10.442028985507216,14.34219196,21.34523496930083,24.964312309549648,31.52486509372705
06085504412,16.93444271799765,31.658513883225993,14.724071165228342,4.434280936454852,10.035507246376817,35.02086536,34.169519451147984,30.55869875032911,35.291921703011596
06085510803,13.145144891958354,22.60796827790281,9.462823385944455,3.39919484702094,6.498550724637671,15.40742368,21.49370635921482,21.045327952808133,22.987879954669605
06085502002,21.3509521484375,37.225807189941406,15.874855041503906,3.6956521739130435,8.601449275362334,62.7388535,44.34636086672133,35.3507741959896,38.139149251085804
06085503110,33.774722914066,56.83231451947343,23.05759160540743,4.244704570791527,9.65886287625418,67.43905118,48.11783183938586,41.34508204739556,44.925950529784515
06085504415,18.945114528838957,35.166571906740344,16.221457377901388,4.620871250421305,10.319177620492065,5.556775752,14.967550367473509,21.529013530200398,28.695460207879343
06099000807,96.18516322186387,123.49079397916842,27.30563075730454,5.932435190855294,13.886099203919139,33.34065451,61.873481468184735,66.62320794626369,69.36736265933136
