rank,cdcr_code,facility_name,city,facility_label,multi_hazard_score,hazard_count,hazards_above_median,heat_raw,heat_norm,heat_days_over_90f,drought_raw,drought_norm,drought_wsv,flood_raw,flood_norm,flood_500yr_floodplain_pct,flood_verywet_pct,wildfire_fhsz,wildfire_norm
1,LAC,California State Prison-Los Angeles County,Lancaster,"California State Prison-Los Angeles County (LAC)
Lancaster, CA",0.8341922902685941,4,"heat, drought, flood, wildfire",74.52842460035434,0.7760873261336265,125.36236572265624,49.7278288608188,0.5606818349407501,27.609208802799987,82.31462826043808,1.0,100.0,21.305039999999984,Very High,1.0
2,SCC,Sierra Conservation Center,Jamestown,"Sierra Conservation Center (SCC)
Jamestown, CA",0.6435317123805825,3,"heat, drought, wildfire",61.81727186800824,0.6260423229479178,117.48440551757812,63.63668442153632,0.7736662898352403,41.77483064429999,14.35717231902602,0.1744182367391719,0.0,21.913869999999985,Very High,1.0
3,CIW,California Institution For Women,Corona,"California Institution For Women (CIW)
Corona, CA",0.5803453136318253,3,"heat, flood, wildfire",72.10593681924836,0.7474917931802356,115.17458049522756,45.62190440583006,0.4978083599760979,30.22671180506207,33.70079699714195,0.40941443470430117,9.652509652509652,30.203412702702835,High,0.6666666666666666
4,MCSP,Mule Creek State Prison,Ione,"Mule Creek State Prison (MCSP)
Ione, CA",0.5399121578700132,2,"drought, wildfire",53.559888333521066,0.5285705070688659,118.18691314631442,63.695132262822355,0.7745612938534878,45.769790154410266,15.627445665873582,0.18985016389103246,2.6548672566371683,21.54905088495598,High,0.6666666666666666
5,COR,"California State Prison, Corcoran",Corcoran,"California State Prison, Corcoran (COR)
Corcoran, CA",0.5357793458126929,3,"heat, drought, flood",87.31508190644702,0.9270236004925242,141.90202448313028,61.846664456024826,0.7462559522312274,44.597171628780146,38.67452636252235,0.4698378305270199,32.631578947368425,23.11382778947373,,0.0
6,SATF,Ca Substance Abuse Treatment Facility,Corcoran,"Ca Substance Abuse Treatment Facility (SATF)
Corcoran, CA",0.5357793458126929,3,"heat, drought, flood",87.31508190644702,0.9270236004925242,141.90202448313028,61.846664456024826,0.7462559522312274,44.597171628780146,38.67452636252235,0.4698378305270199,32.631578947368425,23.11382778947373,,0.0
7,CCWF,Central California Women'S Facility,Chowchilla,"Central California Women'S Facility (CCWF)
Chowchilla, CA",0.5102968974986468,3,"heat, drought, flood",74.18742689252129,0.7720621206124993,130.76722208024992,78.41730718934556,1.0,58.29268981749693,22.152962967602488,0.26912546938208803,12.237093690248566,21.499644818355588,,0.0
8,VSP,Valley State Prison,Chowchilla,"Valley State Prison (VSP)
Chowchilla, CA",0.5102968974986468,3,"heat, drought, flood",74.18742689252129,0.7720621206124993,130.76722208024992,78.41730718934556,1.0,58.29268981749693,22.152962967602488,0.26912546938208803,12.237093690248566,21.499644818355588,,0.0
9,RJD,R J Donovan Correctional Facility,San Diego,"R J Donovan Correctional Facility (RJD)
San Diego, CA",0.4997490760134933,1,wildfire,47.57008588273313,0.457865674333813,29.28300499593595,33.724379427959256,0.3156231427277369,27.88350296004557,18.562564961726892,0.2255074869924232,0.0,24.660103885350328,Very High,1.0
10,KVSP,Kern Valley State Prison,Delano,"Kern Valley State Prison (KVSP)
Delano, CA",0.4964512561673857,3,"heat, drought, flood",79.2516676622544,0.8318414371251689,142.48336436010888,65.77769446330598,0.8064512917844888,48.94155693160007,28.60534544140636,0.3475122957598851,17.56756756756757,23.315209999999983,,0.0
11,NKSP,North Kern State Prison,Delano,"North Kern State Prison (NKSP)
Delano, CA",0.4691599015217046,2,"heat, drought",80.59085732203766,0.8476495011929633,139.33335304221131,66.12472727056567,0.8117653589959898,49.47697732824003,17.880774207550907,0.21722474589786533,0.0,24.214876285714315,,0.0
12,HDSP,High Desert State Prison,Susanville,"High Desert State Prison (HDSP)
Susanville, CA",0.46229506622095284,2,"drought, flood",53.20812130405205,0.5244181783093353,66.69958387415485,58.693010298116235,0.6979644656444435,31.663602212028493,24.156403741236595,0.2934642875966993,6.8350668647845465,25.23814783060929,Moderate,0.3333333333333333
13,CHCF,California Health Care Facility,Stockton,"California Health Care Facility (CHCF)
Stockton, CA",0.4497283881460375,3,"heat, drought, flood",65.90321456918896,0.674273612314396,116.40477515476276,70.3979173745215,0.8772001505917846,53.09285285777705,20.36791430418304,0.24743978967796942,9.990300678952474,21.34472206595568,,0.0
14,ISP,Ironwood State Prison,Blythe,"Ironwood State Prison (ISP)
Blythe, CA",0.43792076334344,1,heat,93.4973215032441,1.0,199.30841290050725,40.43289309294432,0.41834972004042664,13.328793069188244,0.0,0.0,0.0,12.538252436974796,Moderate,0.3333333333333333
15,WSP,Wasco State Prison,Wasco,"Wasco State Prison (WSP)
Wasco, CA",0.42818611133894424,2,"heat, drought",75.73868449158341,0.7903734772844109,145.10775925227702,59.72719580472408,0.7138008107285599,43.71206507819995,17.16837496789418,0.2085701573428063,0.0,23.749660526315775,,0.0
