Facility,Heat (Days Over 80F Mid-Century),Drought (Mid-Century Index),Flood (Mid-Century Index),Wildfire (FHSZ),heat_level,drought_level,flood_level,wildfire_level,heat_top10,drought_top10,flood_top10,wildfire_top10
"California State Prison, Sacramento (SAC)
Represa, CA","164 days
+17% increase","'+9.4F summer temp
23.0 WSV","0.0% in floodplain
22.8% very wet days",Moderate,Medium,Medium,Lower,Moderate,False,False,False,True
"Folsom State Prison (FOL)
Represa, CA","164 days
+17% increase","'+9.4F summer temp
23.0 WSV","0.0% in floodplain
22.8% very wet days",Moderate,Medium,Medium,Lower,Moderate,False,False,False,True
"Calipatria State Prison (CAL)
Calipatria, CA","271 days
+12% increase","'+8.6F summer temp
20.6 WSV","0.0% in floodplain
19.5% very wet days",Moderate,Higher,Medium,Lower,Moderate,False,False,False,True
"California Medical Facility (CMF)
Vacaville, CA","167 days
+22% increase","'+9.8F summer temp
29.3 WSV","4.8% in floodplain
28.1% very wet days",None,Medium,Medium,Medium,None,False,False,True,False
"Pleasant Valley State Prison (PVSP)
Coalinga, CA","172 days
+17% increase","'+9.6F summer temp
22.9 WSV","17.5% in floodplain
27.0% very wet days",None,Medium,Medium,Medium,None,False,False,True,False
"Avenal State Prison (ASP)
Avenal, CA","182 days
+15% increase","'+9.4F summer temp
13.8 WSV","0.0% in floodplain
30.4% very wet days",None,Medium,Medium,Medium,None,False,False,True,False
"Correctional Training Facility (CTF)
Soledad, CA","146 days
+40% increase","'+7.2F summer temp
31.8 WSV","0.0% in floodplain
25.7% very wet days",Moderate,Lower,Medium,Lower,Moderate,False,False,False,True
"Salinas Valley State Prison (SVSP)
Soledad, CA","146 days
+40% increase","'+7.2F summer temp
31.8 WSV","0.0% in floodplain
25.7% very wet days",Moderate,Lower,Medium,Lower,Moderate,False,False,False,True
"Centinela State Prison (CEN)
Imperial, CA","260 days
+10% increase","'+7.9F summer temp
9.5 WSV","12.2% in floodplain
17.6% very wet days",None,Higher,Lower,Lower,None,True,False,False,False
"San Quentin State Prison (SQ)
San Quentin, CA","82 days
+62% increase","'+8.5F summer temp
33.6 WSV","6.6% in floodplain
22.6% very wet days",None,Lower,Medium,Lower,None,False,False,False,False
"California Men's Colony (CMC)
San Luis Obispo, CA","51 days
+74% increase","'+5.9F summer temp
36.5 WSV","0.0% in floodplain
32.7% very wet days",Moderate,Lower,Medium,Medium,Moderate,False,False,True,True
"Pelican Bay State Prison (PBSP)
Crescent City, CA","15 days
+81% increase","'+5.2F summer temp
13.8 WSV","11.8% in floodplain
26.0% very wet days",Moderate,Lower,Lower,Medium,Moderate,False,False,True,True
