facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,n_summer_days,grid_elevation_m,source,retrieved
10000891,Pitchess Detention Center-South,34.46605502608862,-118.5996116034917,89.66,2760,357.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002330,Fci Dublin Camp,37.717950171696266,-121.8948186675473,82.67,2760,114.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000863,Fci Lompoc,34.676755382981256,-120.4994620676944,69.46,2760,37.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000833,Fci Victorville Medium I Camp,34.56900668681523,-117.36974423441475,93.74,2760,889.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000831,Fci Victorville Medium Ii,34.568484117135945,-117.35831452366868,93.84,2760,881.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006487,Chula Vista Jail,32.63993272300781,-117.08303758871024,73.48,2760,26.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006180,Fci Mendota Camp,36.728576475901214,-120.39236686830785,95.68,2760,55.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000887,Fci Terminal Island,33.72649105995905,-118.26706314344848,78.38,2760,5.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000867,Usp Lompoc Camp,34.67502678354751,-120.5042452703141,69.49,2760,34.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000806,Usp Atwater,37.385902009533794,-120.55881096422864,94.22,2760,58.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000892,Mdc Los Angeles,34.05365172738237,-118.23852864799257,87.09,2760,92.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006299,Usp Lompoc North Camp,34.684348596310315,-120.50342145068144,69.51,2760,33.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005303,Fci Dublin,37.7185793067588,-121.896970997066,82.65,2760,115.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005261,Herlong Fci Camp,40.15300842320584,-120.153899940364,85.18,2760,1236.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006194,Usp Atwater Camp,37.38324683391697,-120.56351089902054,94.24,2760,56.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
