facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,contained_cell_valid,mask_override,note,cell_key
10000806,USP Atwater,,37.385902009533794,-120.55881096422864,37.390625,-120.546875,1.176,True,False,,"37.390625,-120.546875"
10000892,Mdc Los Angeles,,34.05365172738237,-118.23852864799257,34.046875,-118.234375,0.844,True,False,,"34.046875,-118.234375"
10006299,USP Lompoc North Camp,,34.684348596310315,-120.50342145068144,34.671875,-120.515625,1.777,True,False,,"34.671875,-120.515625"
10005303,FCI Dublin,,37.7185793067588,-121.896970997066,37.703125,-121.890625,1.804,True,False,,"37.703125,-121.890625"
10005261,Herlong FCI Camp,,40.15300842320584,-120.153899940364,40.140625,-120.140625,1.777,True,False,,"40.140625,-120.140625"
10006194,USP Atwater Camp,,37.38324683391697,-120.56351089902054,37.390625,-120.578125,1.527,True,False,,"37.390625,-120.578125"
10000830,USP Victorville,,34.56511772035156,-117.3705686834497,34.578125,-117.359375,1.77,True,False,,"34.578125,-117.359375"
10000832,FCI Victorville Medium I,,34.565479182329916,-117.3645614551476,34.578125,-117.359375,1.482,True,False,,"34.578125,-117.359375"
10002323,"California State Prison, Solano (SOL)",SOL,38.320776607604,-121.97523692020748,38.328125,-121.984375,1.14,True,False,,"38.328125,-121.984375"
10002316,Yolo County Juvenile Detention Facility,,38.66101321635629,-121.73033404289303,38.671875,-121.734375,1.256,True,False,,"38.671875,-121.734375"
10002350,North County Correctional Facility,,34.46449801148207,-118.58669462597126,34.453125,-118.578125,1.486,True,False,,"34.453125,-118.578125"
10002355,Central Juvenile Hall,,34.062845125055134,-118.2075310308609,34.078125,-118.203125,1.744,True,False,,"34.078125,-118.203125"
10002354,Mira Loma Detention Center,,34.701951456144066,-118.23257916788252,34.703125,-118.234375,0.209,True,False,,"34.703125,-118.234375"
10006242,James G Bowles Juvenile Hall,,35.38551690633812,-118.97007208464194,35.390625,-118.984375,1.413,True,False,,"35.390625,-118.984375"
10000893,Long Beach City Jail,,33.76887574058282,-118.19740279229644,33.765625,-118.203125,0.64,True,False,,"33.765625,-118.203125"
10006509,Imperial Regional Detention Facility,,32.69157796738742,-115.39785934490034,32.703125,-115.390625,1.449,True,False,,"32.703125,-115.390625"
10006224,Camp Mendenhall,,34.65294490631566,-118.47692576783348,34.640625,-118.484375,1.527,True,False,,"34.640625,-118.484375"
10006223,Camp Munz,,34.65269994694997,-118.4790990449336,34.640625,-118.484375,1.424,True,False,,"34.640625,-118.484375"
10005249,Del Norte Juvenile Hall,,41.76415323607952,-124.19060254740864,41.765625,-124.203125,1.05,True,False,,"41.765625,-124.203125"
10005329,Central Valley Juvenile Detention And Assessment Center,,34.13232970328932,-117.26894018143396,34.140625,-117.265625,0.97,True,False,,"34.140625,-117.265625"
10000907,Monterey Park City Jail,,34.059105896911724,-118.1260141111758,34.046875,-118.140625,1.91,True,False,,"34.046875,-118.140625"
10005366,Pacific Area Community Jail,,33.99163063383789,-118.41985259215922,33.984375,-118.421875,0.827,True,False,,"33.984375,-118.421875"
10005364,77th Street Regional Jail,,33.970346036657936,-118.27739864086942,33.984375,-118.265625,1.897,True,False,,"33.984375,-118.265625"
10006325,Santa Ana City Jail,,33.75017454253526,-117.88059472025569,33.765625,-117.890625,1.949,True,False,,"33.765625,-117.890625"
10006307,Cai - Ocean View,,32.70025287997728,-117.11802856467416,32.703125,-117.109375,0.869,True,False,,"32.703125,-117.109375"
10000898,Glendora City Jail,,34.134683472370746,-117.86472195529764,34.140625,-117.859375,0.822,True,False,,"34.140625,-117.859375"
10005322,San Benito County Jail,,36.88402085050856,-121.41134831394592,36.890625,-121.421875,1.188,True,False,,"36.890625,-121.421875"
10005309,Maguire Correctional Facility,,37.48776481473485,-122.23165188434776,37.484375,-122.234375,0.446,True,False,,"37.484375,-122.234375"
10000909,Pomona City Jail,,34.054407799325865,-117.7537923831384,34.046875,-117.765625,1.372,True,False,,"34.046875,-117.765625"
10006306,Cai - Boston Avenue,,32.69354083598739,-117.13502194396476,32.703125,-117.140625,1.186,True,False,,"32.703125,-117.140625"
10006221,Camp Kilpatrick,,34.09201895807897,-118.837876371687,34.078125,-118.828125,1.784,True,False,,"34.078125,-118.828125"
10005266,Tehama County Jail,,40.175627755533974,-122.23695248454342,40.171875,-122.234375,0.47,True,False,,"40.171875,-122.234375"
10005316,Sunnyvale Department Of Public Safety,,37.37040656709717,-122.04014117760228,37.359375,-122.046875,1.361,True,False,,"37.359375,-122.046875"
10000804,Madera County Juvenile Hall,,36.95303527822695,-120.0337697819451,36.953125,-120.046875,1.163,True,False,,"36.953125,-120.046875"
10007007,Kern County - Lerdo Justice Facility,,35.50642904042633,-119.1109999113409,35.515625,-119.109375,1.031,True,False,,"35.515625,-119.109375"
10007001,Northern Branch Jail,,34.91837859256055,-120.49241570493896,34.921875,-120.484375,0.828,True,False,,"34.921875,-120.484375"
10000826,Avenal State Prison,ASP,35.97394943680589,-120.123101823151,35.984375,-120.109375,1.691,True,False,,"35.984375,-120.109375"
10002345,California Men's Colony (CMC),CMC,35.324574100099134,-120.69890041992886,35.328125,-120.703125,0.549,True,False,,"35.328125,-120.703125"
10000852,California City Correctional Center (CAC),CAC,35.15325120165892,-117.85888005110138,35.140625,-117.859375,1.402,True,False,,"35.140625,-117.859375"
10000824,"California State Prison, Corcoran (COR)",COR,36.060818292814254,-119.54912102574772,36.046875,-119.546875,1.561,True,False,,"36.046875,-119.546875"
10000825,Ca Substance Abuse Treatment Facility (SATF),SATF,36.05395908338128,-119.54782062864966,36.046875,-119.546875,0.791,True,False,,"36.046875,-119.546875"
10000801,Central California Women's Facility (CCWF),CCWF,37.0936807963828,-120.15270979438849,37.078125,-120.140625,2.031,True,False,,"37.078125,-120.140625"
10002346,Chuckawalla Valley State Prison (CVSP),CVSP,33.562579498036335,-114.90950576295587,33.578125,-114.921875,2.07,True,False,,"33.578125,-114.921875"
10000869,R J Donovan Correctional Facility (RJD),RJD,32.58456492210108,-116.9335763874008,32.578125,-116.921875,1.307,True,False,,"32.578125,-116.921875"
10002309,Pelican Bay State Prison (PBSP),PBSP,41.85480855418667,-124.1490751163596,41.859375,-124.140625,0.863,True,False,,"41.859375,-124.140625"
10000822,Gabilan Conservation Camp #38,,36.46407283647074,-121.38305815511475,36.453125,-121.390625,1.39,True,False,,"36.453125,-121.390625"
10000810,Pleasant Valley State Prison (PVSP),PVSP,36.131473239777144,-120.24889960644474,36.140625,-120.234375,1.652,True,False,,"36.140625,-120.234375"
10000802,Valley State Prison (VSP),VSP,37.105477428630245,-120.15547185750694,37.109375,-120.140625,1.384,True,False,,"37.109375,-120.140625"
10005251,Devils Garden Conservation Camp #40,,41.52359923931703,-120.67020461410344,41.515625,-120.671875,0.896,True,False,,"41.515625,-120.671875"
10000858,Bautista Conservation Camp #36,,33.64204515942113,-116.80923524430564,33.640625,-116.796875,1.153,True,False,,"33.640625,-116.796875"
10006530,Folsom Women's Facility (FWF),FWF,38.69320816978507,-121.14879148409725,38.703125,-121.140625,1.309,True,False,,"38.703125,-121.140625"
10005248,Deadwood Conservation Camp #23,,41.67774197144028,-122.82407824218762,41.671875,-122.828125,0.733,True,False,,"41.671875,-122.828125"
10000904,Julius Klein Conservation Camp #19,,34.2378303823899,-117.82290059711198,34.234375,-117.828125,0.614,True,False,,"34.234375,-117.828125"
10005252,Eel River Conservation Camp #31,,40.13825346356871,-123.8224067420024,40.140625,-123.828125,0.552,True,False,,"40.140625,-123.828125"
10005290,Growlersburg Conservation Camp #33,,38.90313303813308,-120.87004293218703,38.890625,-120.859375,1.666,True,False,,"38.890625,-120.859375"
10000905,Malibu Conservation Camp #13,,34.08392941062969,-118.86552872385522,34.078125,-118.859375,0.857,True,False,,"34.078125,-118.859375"
10005305,Mount Bullion Conservation Camp #39,,37.5359784933773,-120.048738197483,37.546875,-120.046875,1.221,True,False,,"37.546875,-120.046875"
10002310,High Desert State Prison (HDSP),HDSP,40.40786908373915,-120.51339082085426,40.421875,-120.515625,1.566,True,False,,"40.421875,-120.515625"
10000878,McCain Valley Conservation Camp #21,,32.68422671566009,-116.2667738482972,32.671875,-116.265625,1.375,True,False,,"32.671875,-116.265625"
10000855,Cuesta Conservation Camp #24,,35.329429003849334,-120.73344205123828,35.328125,-120.734375,0.168,True,False,,"35.328125,-120.734375"
10006204,Holton Conservation Camp #16,,34.300036648410114,-118.36033132151492,34.296875,-118.359375,0.362,True,False,,"34.296875,-118.359375"
10000789,Baseline Conservation Camp #30,,37.92402926410429,-120.52961603771271,37.921875,-120.515625,1.248,True,False,,"37.921875,-120.515625"
10000774,Intermountain Conservation Camp #22,,41.1231067161181,-121.22419725359636,41.109375,-121.234375,1.746,True,False,,"41.109375,-121.234375"
10005328,Pilot Rock Conservation Fire Camp #15,,34.271656892428354,-117.2814657468556,34.265625,-117.296875,1.564,True,False,,"34.265625,-117.296875"
10000901,Fenner Canyon Conservation Camp #41,,34.39010316279468,-117.77262913360008,34.390625,-117.765625,0.644,True,False,,"34.390625,-117.765625"
10005264,Ishi Conservation Camp #18,,40.31308214420257,-121.89495892375476,40.328125,-121.890625,1.71,True,False,,"40.328125,-121.890625"
10000793,O.H.Close Youth Correctional Facility,,37.89852127379901,-121.19769467027837,37.890625,-121.203125,0.997,True,False,,"37.890625,-121.203125"
10005324,Mountain Home Conservation Camp #10,,36.20791412059433,-118.71392800271092,36.203125,-118.703125,1.104,True,False,,"36.203125,-118.703125"
10005256,Trinity River Conservation Camp #3,,40.78981381613563,-122.80394970874065,40.796875,-122.796875,0.984,True,False,,"40.796875,-122.796875"
10000877,Rainbow Conservation Camp #2,,33.427961075610796,-117.11832774136676,33.421875,-117.109375,1.07,True,False,,"33.421875,-117.109375"
10006497,Seal Beach Detention Center,,33.75270984107934,-118.08776063978296,33.765625,-118.078125,1.687,True,False,,"33.765625,-118.078125"
10006316,Fontana City Jail,,34.10164898633541,-117.43379001368056,34.109375,-117.421875,1.391,True,False,,"34.109375,-117.421875"
10006317,Garden Grove City Jail,,33.77637797128475,-117.93573132365108,33.765625,-117.921875,1.749,True,False,,"33.765625,-117.921875"
10000884,Ventura County East County Jail,,34.24764369046445,-118.83478790538416,34.234375,-118.828125,1.595,True,False,,"34.234375,-118.828125"
10000815,Santa Cruz County Juvenile Hall,,37.04370218416292,-122.04884959847284,37.046875,-122.046875,0.393,True,False,,"37.046875,-122.046875"
10001535,Riverside County Blythe Jail,,33.613244388995795,-114.59791339322456,33.609375,-114.609375,1.143,True,False,,"33.609375,-114.609375"
10005370,Lapd Hollywood Area Jail,,34.09577047236163,-118.33065860825457,34.109375,-118.328125,1.528,True,False,,"34.109375,-118.328125"
10005368,Lapd Metropolitan Detention Center,,34.052080277150985,-118.240951738798,34.046875,-118.234375,0.836,True,False,,"34.046875,-118.234375"
10006228,Camp Scott,,34.457183406305845,-118.48669688989436,34.453125,-118.484375,0.498,True,False,,"34.453125,-118.484375"
