facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,n_models,n_members,mask_override,loca2_days_over_80_historic,loca2_days_over_90_historic,loca2_days_over_100_historic,loca2_days_over_110_historic,loca2_nights_over_60_historic,loca2_nights_over_70_historic,loca2_nights_over_80_historic,loca2_nights_over_90_historic,loca2_days_over_avg_historic,loca2_days_over_avg_plus10_historic,loca2_nights_over_p95_historic,loca2_nights_over_p98_historic,loca2_days_over_80_midcentury,loca2_days_over_90_midcentury,loca2_days_over_100_midcentury,loca2_days_over_110_midcentury,loca2_nights_over_60_midcentury,loca2_nights_over_70_midcentury,loca2_nights_over_80_midcentury,loca2_nights_over_90_midcentury,loca2_days_over_avg_midcentury,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_midcentury,loca2_nights_over_p98_midcentury,loca2_days_over_80_endcentury,loca2_days_over_90_endcentury,loca2_days_over_100_endcentury,loca2_days_over_110_endcentury,loca2_nights_over_60_endcentury,loca2_nights_over_70_endcentury,loca2_nights_over_80_endcentury,loca2_nights_over_90_endcentury,loca2_days_over_avg_endcentury,loca2_days_over_avg_plus10_endcentury,loca2_nights_over_p95_endcentury,loca2_nights_over_p98_endcentury,loca2_avg_summer_tmax_f,loca2_avg_summer_tmin_f,loca2_p95_tmin_f,loca2_p98_tmin_f
10002355,Central Juvenile Hall,,34.062845125055134,-118.2075310308609,34.078125,-118.203125,1.744,14,62,False,143.609,36.489,2.354,0.013,106.803,12.086,0.27,0.0,85.407,11.486,13.944,5.971,189.357,72.502,9.793,0.335,162.608,39.755,2.538,0.026,130.64,32.106,45.583,25.431,216.268,99.606,20.197,1.299,192.907,71.507,7.926,0.172,159.211,52.928,76.279,51.414,84.846,62.438,69.462,72.193
10002354,Mira Loma Detention Center,,34.701951456144066,-118.23257916788252,34.703125,-118.234375,0.209,14,62,False,155.112,91.275,21.358,0.219,82.919,16.12,0.237,0.001,68.262,7.021,15.148,6.734,189.851,127.294,51.287,3.469,121.338,51.815,4.398,0.031,103.61,27.765,50.155,33.532,207.85,145.207,70.797,8.007,141.683,75.312,12.868,0.17,122.634,43.754,73.318,55.139,93.332,63.583,70.297,72.816
10006242,James G Bowles Juvenile Hall,,35.38551690633812,-118.97007208464194,35.390625,-118.984375,1.413,14,62,False,184.915,129.539,65.41,5.598,131.278,53.878,3.11,0.005,63.466,4.958,14.154,6.159,206.142,153.375,96.075,21.728,157.57,91.216,17.47,0.184,94.343,20.467,43.972,27.348,216.682,165.901,113.244,39.029,171.561,111.585,38.877,1.318,111.691,37.154,69.085,51.032,100.256,69.631,76.034,78.388
10000893,Long Beach City Jail,,33.76887574058282,-118.19740279229644,33.765625,-118.203125,0.64,14,62,False,59.53,8.887,0.642,0.008,92.805,10.754,0.59,0.005,87.539,15.978,12.936,5.152,88.988,18.945,2.007,0.099,141.777,32.149,2.771,0.116,121.443,30.894,39.707,19.503,111.997,28.664,3.8,0.217,164.616,55.637,6.608,0.384,144.58,44.143,63.913,38.452,77.314,61.764,69.218,72.478
10006509,Imperial Regional Detention Facility,,32.69157796738742,-115.39785934490034,32.703125,-115.390625,1.449,14,62,False,242.793,177.443,111.443,24.412,139.493,69.404,15.53,0.233,63.043,2.659,14.245,6.284,273.085,205.635,143.871,61.879,169.268,106.135,37.825,2.766,102.268,16.257,36.404,22.86,290.398,221.924,160.42,85.635,187.466,124.907,61.597,8.526,122.998,32.008,59.324,42.292,105.628,71.864,80.377,82.916
10006224,Camp Mendenhall,,34.65294490631566,-118.47692576783348,34.640625,-118.484375,1.527,14,62,False,105.188,37.555,1.413,0.0,58.627,4.58,0.006,0.0,67.942,8.802,14.738,6.566,139.85,68.801,9.358,0.096,96.409,22.846,0.593,0.001,101.702,28.852,43.996,28.403,158.087,88.053,20.037,0.553,119.442,40.856,2.317,0.006,120.23,46.055,65.123,47.378,85.626,58.369,66.706,69.107
10006223,Camp Munz,,34.65269994694997,-118.4790990449336,34.640625,-118.484375,1.424,14,62,False,105.188,37.555,1.413,0.0,58.627,4.58,0.006,0.0,67.942,8.802,14.738,6.566,139.85,68.801,9.358,0.096,96.409,22.846,0.593,0.001,101.702,28.852,43.996,28.403,158.087,88.053,20.037,0.553,119.442,40.856,2.317,0.006,120.23,46.055,65.123,47.378,85.626,58.369,66.706,69.107
10005249,Del Norte Juvenile Hall,,41.76415323607952,-124.19060254740864,41.765625,-124.203125,1.05,14,62,False,3.607,0.264,0.005,0.0,3.326,0.056,0.001,0.0,77.871,8.817,11.681,4.727,8.197,0.521,0.011,0.001,9.924,0.251,0.004,0.0,112.065,17.843,27.936,12.979,11.812,0.845,0.012,0.0,18.507,0.736,0.012,0.0,147.316,26.524,44.482,22.997,66.264,50.14,56.425,58.945
10005329,Central Valley Juvenile Detention And Assessment Center,,34.13232970328932,-117.26894018143396,34.140625,-117.265625,0.97,14,62,False,185.679,109.961,33.201,0.874,91.452,12.49,0.275,0.006,72.565,8.95,15.048,6.699,225.544,148.075,71.561,8.726,141.93,46.366,3.34,0.085,112.835,33.078,51.896,32.087,246.73,170.929,95.365,19.814,169.952,77.607,10.94,0.351,135.616,54.452,82.667,60.029,94.87,62.404,69.405,71.974
10000907,Monterey Park City Jail,,34.059105896911724,-118.1260141111758,34.046875,-118.140625,1.91,14,62,False,161.05,49.856,3.971,0.037,101.002,11.37,0.263,0.0,83.763,11.227,13.956,5.881,205.024,88.789,14.535,0.635,156.922,37.615,2.363,0.026,127.8,30.909,45.549,24.99,230.602,116.42,27.836,2.096,185.801,67.803,7.215,0.165,155.792,51.467,75.522,50.11,86.575,62.279,69.247,72.034
10005366,Pacific Area Community Jail,,33.99163063383789,-118.41985259215922,33.984375,-118.421875,0.827,14,62,False,36.484,2.942,0.048,0.0,87.127,6.982,0.129,0.0,109.277,14.213,12.293,5.068,56.401,6.011,0.268,0.0,129.611,17.65,0.664,0.004,148.501,24.898,29.763,14.799,78.599,9.473,0.561,0.005,155.788,34.003,1.924,0.028,176.906,37.353,52.038,30.367,74.019,60.831,68.017,70.781
10005364,77th Street Regional Jail,,33.970346036657936,-118.27739864086942,33.984375,-118.265625,1.897,14,62,False,112.973,17.893,1.005,0.003,108.762,11.246,0.351,0.0,91.472,12.267,13.537,5.548,160.756,40.04,3.848,0.114,162.473,34.875,2.2,0.028,138.881,29.802,42.396,22.092,190.203,62.905,8.215,0.374,191.967,63.704,5.927,0.157,169.151,48.962,71.107,45.474,81.532,62.423,69.31,72.161
10006325,Santa Ana City Jail,,33.75017454253526,-117.88059472025569,33.765625,-117.890625,1.949,14,62,False,123.759,24.629,1.769,0.021,96.654,11.849,0.467,0.003,89.933,14.122,13.192,5.332,167.503,47.923,5.366,0.179,147.533,32.69,2.577,0.043,133.029,30.379,37.434,18.813,192.879,69.833,10.855,0.632,176.022,58.843,6.294,0.232,159.59,47.37,63.981,37.807,82.532,61.94,69.495,72.673
10006307,Cai - Ocean View,,32.70025287997728,-117.11802856467416,32.703125,-117.109375,0.869,14,62,False,71.814,9.856,0.484,0.0,102.381,11.896,0.499,0.003,96.667,15.707,12.41,5.059,107.872,20.662,1.606,0.03,144.139,28.313,1.809,0.024,136.747,31.363,31.187,14.797,135.816,30.599,2.957,0.081,169.431,49.56,4.195,0.112,165.454,45.392,53.017,28.879,77.946,62.655,69.775,72.879
10000898,Glendora City Jail,,34.134683472370746,-117.86472195529764,34.140625,-117.859375,0.822,14,62,False,171.221,81.014,11.336,0.138,97.503,13.981,0.336,0.003,75.352,9.155,14.322,6.138,212.696,120.244,34.838,2.009,152.186,42.662,3.471,0.085,114.352,30.506,43.476,25.314,234.044,143.63,55.897,5.866,181.902,70.553,9.306,0.285,137.8,50.589,70.412,46.602,90.659,61.958,69.909,72.688
10005322,San Benito County Jail,,36.88402085050856,-121.41134831394592,36.890625,-121.421875,1.188,14,62,False,94.353,23.494,2.355,0.022,7.51,0.192,0.003,0.0,82.99,19.151,13.664,5.502,134.412,41.649,5.687,0.133,32.914,1.326,0.031,0.0,121.551,35.014,52.801,26.847,159.868,58.298,10.137,0.442,70.45,5.62,0.127,0.002,147.473,50.009,92.007,59.896,81.121,52.685,58.173,60.908
10005309,Maguire Correctional Facility,,37.48776481473485,-122.23165188434776,37.484375,-122.234375,0.446,14,62,False,86.169,16.92,1.428,0.017,15.169,0.635,0.009,0.0,71.123,12.598,13.42,5.469,127.78,34.348,3.984,0.146,49.237,2.887,0.091,0.001,112.428,26.09,46.438,23.393,154.045,55.768,7.947,0.379,86.732,8.895,0.312,0.006,139.569,44.512,80.903,49.407,81.472,54.473,60.411,63.357
10000909,Pomona City Jail,,34.054407799325865,-117.7537923831384,34.046875,-117.765625,1.372,14,62,False,166.872,75.085,9.795,0.102,71.375,6.883,0.091,0.003,77.917,10.763,14.596,6.248,209.811,115.852,32.42,1.997,126.223,29.719,1.558,0.016,118.795,34.476,48.83,29.133,232.928,140.193,52.868,5.757,155.685,56.236,5.671,0.122,143.272,55.452,79.057,54.794,89.677,60.491,67.538,70.251
10006306,Cai - Boston Avenue,,32.69354083598739,-117.13502194396476,32.703125,-117.140625,1.186,14,62,False,54.361,6.202,0.246,0.0,106.361,12.534,0.562,0.003,98.218,14.968,12.185,4.973,85.829,12.768,0.758,0.013,146.573,27.446,1.784,0.025,136.776,28.417,28.194,13.249,110.59,19.176,1.49,0.04,171.196,47.441,3.909,0.108,164.729,40.69,48.393,25.531,76.317,62.879,70.042,73.143
10006221,Camp Kilpatrick,,34.09201895807897,-118.837876371687,34.078125,-118.828125,1.784,14,62,False,84.889,18.365,0.748,0.0,70.297,12.563,0.336,0.0,77.012,14.514,13.767,5.934,128.498,45.367,4.909,0.081,119.681,38.748,3.628,0.059,119.201,38.816,41.051,24.798,156.712,67.366,10.179,0.406,150.175,60.272,8.424,0.221,147.265,59.555,62.455,41.841,80.982,59.535,69.646,72.635
10005266,Tehama County Jail,,40.175627755533974,-122.23695248454342,40.171875,-122.234375,0.47,14,62,False,160.694,104.49,37.512,2.631,73.289,7.291,0.106,0.0,65.49,10.488,15.384,6.666,181.293,132.87,70.997,11.573,112.567,28.916,1.158,0.012,99.469,30.441,46.763,27.985,192.452,146.216,93.302,24.17,134.044,56.567,5.163,0.103,117.758,50.871,78.461,54.835,95.876,61.942,67.548,70.279
10005316,Sunnyvale Department Of Public Safety,,37.37040656709717,-122.04014117760228,37.359375,-122.046875,1.361,14,62,False,78.568,14.235,0.604,0.0,30.163,1.063,0.007,0.0,73.104,12.518,12.782,5.237,121.668,26.315,2.036,0.02,72.475,3.776,0.076,0.001,114.977,23.592,36.295,16.687,152.138,43.333,4.297,0.053,114.939,11.329,0.279,0.002,145.481,39.367,70.646,39.578,80.551,57.015,62.819,65.596
10000804,Madera County Juvenile Hall,,36.95303527822695,-120.0337697819451,36.953125,-120.046875,1.163,14,62,False,163.758,103.62,29.797,0.452,62.269,3.471,0.028,0.002,63.913,5.503,14.819,6.246,187.72,133.14,64.207,6.358,105.35,19.748,0.425,0.002,99.067,24.379,48.685,29.433,198.589,147.535,85.353,15.523,128.719,46.728,3.078,0.012,117.009,43.068,80.353,59.223,95.446,60.418,66.071,68.551
10007007,Kern County - Lerdo Justice Facility,,35.50642904042633,-119.1109999113409,35.515625,-119.109375,1.031,14,62,False,162.805,95.849,18.964,0.105,79.258,9.114,0.052,0.0,66.662,4.853,13.896,5.933,188.553,127.143,49.149,2.108,117.386,34.124,1.016,0.004,101.851,21.654,43.626,26.786,202.344,143.826,72.389,6.789,140.017,57.481,4.497,0.02,121.035,40.589,68.061,48.492,93.686,61.608,68.771,71.149
10007001,Northern Branch Jail,,34.91837859256055,-120.49241570493896,34.921875,-120.484375,0.828,14,62,False,26.291,3.118,0.097,0.0,9.761,0.492,0.005,0.0,130.868,22.985,12.113,5.02,45.363,5.84,0.357,0.004,23.416,1.645,0.05,0.0,187.147,40.303,29.89,13.391,66.96,9.874,0.863,0.01,47.279,4.17,0.17,0.0,228.089,59.925,58.196,29.717,70.67,51.611,58.839,62.158
10000826,Avenal State Prison,ASP,35.97394943680589,-120.123101823151,35.984375,-120.109375,1.691,14,62,False,157.334,97.28,26.917,0.461,103.61,22.256,0.317,0.001,63.039,6.304,13.98,5.772,183.141,126.556,53.661,3.405,136.134,54.362,2.759,0.008,95.025,20.167,40.767,23.577,196.509,141.862,73.594,9.004,155.161,76.421,8.431,0.043,112.246,35.587,61.883,41.79,94.832,64.652,71.626,74.042
10002345,California Men's Colony (CMC),CMC,35.324574100099134,-120.69890041992886,35.328125,-120.703125,0.549,14,62,False,29.113,3.928,0.191,0.001,12.744,0.747,0.006,0.0,120.409,24.081,12.123,5.174,52.456,8.8,0.766,0.008,30.838,2.586,0.076,0.001,172.317,44.344,29.522,13.986,74.337,14.078,1.604,0.043,59.568,6.154,0.251,0.002,209.374,63.283,56.826,29.073,71.066,51.566,59.898,63.338
10000852,California City Correctional Center (CAC),CAC,35.15325120165892,-117.85888005110138,35.140625,-117.859375,1.402,14,62,False,171.496,115.884,42.95,0.912,43.246,3.021,0.027,0.001,62.733,3.363,14.206,6.096,200.864,144.557,78.46,8.824,83.348,12.554,0.326,0.006,97.168,19.467,38.89,21.73,214.557,160.248,99.506,20.891,113.93,30.955,2.003,0.018,116.419,37.217,68.293,45.718,97.583,57.954,65.075,67.931
10000824,"California State Prison, Corcoran (COR)",COR,36.060818292814254,-119.54912102574772,36.046875,-119.546875,1.561,14,62,False,176.675,117.128,42.56,1.281,85.646,9.241,0.055,0.0,63.883,4.576,14.505,6.233,198.13,144.131,76.538,8.665,123.143,40.801,1.212,0.006,97.313,19.448,51.848,33.335,210.016,158.175,97.217,19.876,144.632,71.183,7.07,0.037,115.69,36.777,81.571,62.637,97.375,63.055,68.74,71.02
10000825,Ca Substance Abuse Treatment Facility (SATF),SATF,36.05395908338128,-119.54782062864966,36.046875,-119.546875,0.791,14,62,False,176.675,117.128,42.56,1.281,85.646,9.241,0.055,0.0,63.883,4.576,14.505,6.233,198.13,144.131,76.538,8.665,123.143,40.801,1.212,0.006,97.313,19.448,51.848,33.335,210.016,158.175,97.217,19.876,144.632,71.183,7.07,0.037,115.69,36.777,81.571,62.637,97.375,63.055,68.74,71.02
10000801,Central California Women's Facility (CCWF),CCWF,37.0936807963828,-120.15270979438849,37.078125,-120.140625,2.031,14,62,False,164.373,102.367,26.751,0.345,25.508,0.618,0.011,0.0,65.579,5.679,14.372,6.079,188.213,132.338,59.879,4.672,69.279,4.885,0.052,0.002,100.849,23.697,50.051,29.049,199.373,147.123,81.965,12.229,104.278,18.837,0.372,0.002,118.966,42.341,85.326,61.561,94.89,56.226,61.908,64.42
10002346,Chuckawalla Valley State Prison (CVSP),CVSP,33.562579498036335,-114.90950576295587,33.578125,-114.921875,2.07,14,62,False,232.555,172.941,114.038,30.014,163.518,102.843,35.138,1.205,61.233,2.102,14.443,6.397,261.818,199.681,144.316,69.988,191.048,131.022,67.177,9.918,100.899,15.897,41.678,27.255,279.092,214.756,160.251,93.821,208.504,148.765,90.064,23.746,121.448,32.952,64.068,47.756,106.524,76.858,83.875,86.264
10000869,R J Donovan Correctional Facility (RJD),RJD,32.58456492210108,-116.9335763874008,32.578125,-116.921875,1.307,14,62,False,109.473,19.185,0.892,0.0,63.717,6.483,0.169,0.001,90.89,13.601,13.251,5.406,161.719,41.537,3.857,0.06,112.054,18.352,1.053,0.009,141.654,31.518,33.669,17.234,191.262,62.774,7.802,0.202,146.478,34.082,2.62,0.04,171.753,49.354,56.734,32.315,81.449,58.995,67.216,70.437
10002309,Pelican Bay State Prison (PBSP),PBSP,41.85480855418667,-124.1490751163596,41.859375,-124.140625,0.863,14,62,False,11.856,1.358,0.025,0.0,2.73,0.053,0.0,0.0,72.205,13.351,12.271,5.116,20.226,1.694,0.022,0.001,10.967,0.288,0.002,0.0,108.218,23.191,38.142,19.262,33.082,3.526,0.089,0.0,25.262,1.414,0.03,0.0,140.035,37.303,69.164,40.663,69.369,49.128,55.664,58.185
10000822,Gabilan Conservation Camp #38,,36.46407283647074,-121.38305815511475,36.453125,-121.390625,1.39,14,62,False,119.586,29.588,3.397,0.029,2.766,0.055,0.001,0.0,92.886,20.358,12.757,5.287,166.823,48.865,7.457,0.243,10.834,0.317,0.004,0.0,136.705,35.178,41.534,20.327,194.612,68.189,12.553,0.745,28.567,1.213,0.015,0.0,166.999,50.35,80.136,47.96,82.12,49.591,55.203,57.872
10000810,Pleasant Valley State Prison (PVSP),PVSP,36.131473239777144,-120.24889960644474,36.140625,-120.234375,1.652,14,62,False,167.247,107.325,34.016,0.7,81.695,8.14,0.09,0.002,63.767,5.491,14.198,5.876,192.267,136.008,66.985,6.478,123.033,31.803,0.816,0.001,97.447,22.3,45.639,26.595,204.523,150.181,85.73,14.99,144.18,53.825,3.027,0.009,114.584,37.481,69.674,47.068,96.05,61.98,68.366,70.855
10000802,Valley State Prison (VSP),VSP,37.105477428630245,-120.15547185750694,37.109375,-120.140625,1.384,14,62,False,165.049,103.01,27.442,0.358,25.168,0.581,0.005,0.0,65.564,5.693,14.415,6.047,188.503,132.857,60.746,4.764,67.827,4.787,0.055,0.002,100.97,23.6,49.51,28.844,199.682,147.618,82.817,12.605,103.11,18.611,0.364,0.002,119.117,42.574,84.833,61.152,94.972,56.069,61.85,64.368
10005251,Devils Garden Conservation Camp #40,,41.52359923931703,-120.67020461410344,41.515625,-120.671875,0.896,14,62,False,77.52,17.911,0.234,0.0,0.604,0.003,0.0,0.0,65.944,11.134,15.938,6.965,109.02,51.127,5.108,0.038,5.988,0.053,0.0,0.0,99.544,39.449,54.141,34.699,125.421,72.118,14.883,0.628,20.743,0.525,0.001,0.0,117.0,60.231,82.116,61.899,81.845,45.456,51.534,54.052
10000858,Bautista Conservation Camp #36,,33.64204515942113,-116.80923524430564,33.640625,-116.796875,1.153,14,62,False,126.258,46.563,1.673,0.0,64.532,5.018,0.031,0.001,73.501,7.154,14.147,5.936,167.428,87.997,11.516,0.078,106.936,23.48,0.545,0.004,115.099,28.203,44.996,27.48,191.456,113.433,24.549,0.506,133.204,45.832,2.033,0.017,139.445,48.617,71.302,50.105,86.853,59.414,67.183,69.548
10006530,Folsom Women's Facility (FWF),FWF,38.69320816978507,-121.14879148409725,38.703125,-121.140625,1.309,14,62,False,131.032,61.856,6.829,0.011,52.456,2.384,0.007,0.0,64.534,7.714,14.737,6.297,156.65,93.602,22.929,0.555,97.56,13.127,0.153,0.0,96.298,24.935,42.76,25.318,169.486,111.967,38.77,2.126,123.97,30.193,0.862,0.001,114.418,41.324,69.579,48.495,89.631,58.485,65.374,67.727
10005248,Deadwood Conservation Camp #23,,41.67774197144028,-122.82407824218762,41.671875,-122.828125,0.733,14,62,False,88.18,27.163,0.901,0.0,2.281,0.03,0.0,0.0,66.829,11.848,14.945,6.446,116.77,62.649,8.662,0.096,16.932,0.325,0.0,0.0,98.885,40.497,50.245,32.607,130.744,80.511,18.722,0.619,36.002,1.685,0.007,0.0,114.451,58.15,73.421,55.06,83.578,47.783,54.869,57.355
10000904,Julius Klein Conservation Camp #19,,34.2378303823899,-117.82290059711198,34.234375,-117.828125,0.614,14,62,False,120.603,40.982,1.745,0.0,62.487,6.427,0.068,0.0,69.99,7.83,14.224,6.206,161.226,77.635,11.154,0.197,106.653,27.653,1.485,0.012,108.333,28.464,44.02,27.123,184.084,100.127,23.396,0.837,135.32,47.721,4.741,0.076,130.754,47.79,66.423,46.436,86.332,58.887,67.459,70.122
10005252,Eel River Conservation Camp #31,,40.13825346356871,-123.8224067420024,40.140625,-123.828125,0.552,14,62,False,81.328,23.132,1.805,0.021,1.367,0.035,0.002,0.0,68.685,16.636,14.027,5.769,112.263,50.181,11.3,0.563,11.391,0.401,0.008,0.0,100.483,41.549,53.712,32.552,129.364,67.776,20.994,1.349,30.787,1.652,0.046,0.001,117.989,57.504,86.388,62.705,81.835,48.36,53.487,56.05
10005290,Growlersburg Conservation Camp #33,,38.90313303813308,-120.87004293218703,38.890625,-120.859375,1.666,14,62,False,122.5,57.785,5.937,0.016,71.366,8.751,0.025,0.0,67.162,9.279,14.858,6.629,151.237,92.236,24.352,0.774,110.215,35.839,1.282,0.006,100.715,31.862,47.573,31.158,166.668,112.635,43.118,2.664,132.447,60.531,5.699,0.036,120.445,52.681,72.896,54.907,88.687,60.37,68.393,70.743
10000905,Malibu Conservation Camp #13,,34.08392941062969,-118.86552872385522,34.078125,-118.859375,0.857,14,62,False,78.858,15.353,0.614,0.0,69.67,11.252,0.288,0.0,77.351,14.695,13.799,5.923,120.986,39.592,3.886,0.057,119.367,37.43,3.271,0.05,119.243,38.499,42.223,25.552,149.279,60.777,8.642,0.295,149.8,59.456,8.201,0.206,147.524,59.365,64.671,43.912,80.181,59.354,69.263,72.233
10005305,Mount Bullion Conservation Camp #39,,37.5359784933773,-120.048738197483,37.546875,-120.046875,1.221,14,62,False,110.947,45.003,2.017,0.0,66.377,5.345,0.006,0.0,67.137,7.764,14.966,6.608,141.894,81.861,15.02,0.159,103.303,28.694,0.558,0.002,102.104,31.711,48.793,32.325,157.639,103.143,31.847,0.936,124.107,55.426,3.98,0.014,121.465,53.829,76.173,59.362,86.924,59.591,67.289,69.513
10002310,High Desert State Prison (HDSP),HDSP,40.40786908373915,-120.51339082085426,40.421875,-120.515625,1.566,14,62,False,112.066,55.439,5.273,0.01,18.149,0.265,0.002,0.0,62.329,7.878,16.288,7.523,136.428,87.932,27.908,1.078,52.863,4.236,0.021,0.0,93.991,34.276,49.815,33.263,149.493,104.883,47.362,5.196,77.442,15.515,0.313,0.0,110.354,53.836,74.477,57.642,88.903,54.036,60.426,62.853
10000878,McCain Valley Conservation Camp #21,,32.68422671566009,-116.2667738482972,32.671875,-116.265625,1.375,14,62,False,122.123,44.294,1.532,0.0,55.805,2.797,0.017,0.0,65.956,5.154,14.602,6.317,159.628,82.068,8.472,0.052,92.727,14.752,0.202,0.002,104.564,19.468,40.628,25.048,180.533,101.764,16.811,0.271,117.97,28.817,0.852,0.008,123.998,33.454,62.257,42.878,87.42,58.452,65.971,68.222
10000855,Cuesta Conservation Camp #24,,35.329429003849334,-120.73344205123828,35.328125,-120.734375,0.168,14,62,False,26.229,3.574,0.182,0.001,8.296,0.373,0.005,0.0,121.015,23.021,12.065,4.971,45.856,7.528,0.658,0.009,20.71,1.457,0.031,0.0,169.076,40.713,29.318,13.402,64.141,11.757,1.322,0.037,41.666,3.564,0.109,0.0,206.904,57.369,57.448,28.281,70.728,50.689,58.132,61.55
10006204,Holton Conservation Camp #16,,34.300036648410114,-118.36033132151492,34.296875,-118.359375,0.362,14,62,False,125.35,35.7,1.492,0.0,75.982,9.81,0.141,0.0,81.131,11.256,13.969,6.026,174.527,74.554,10.086,0.158,129.727,34.745,2.377,0.015,127.212,36.513,42.471,25.83,205.166,102.657,21.4,0.849,163.713,56.195,6.825,0.12,157.996,59.19,64.321,44.04,84.589,59.577,68.787,71.536
10000789,Baseline Conservation Camp #30,,37.92402926410429,-120.52961603771271,37.921875,-120.515625,1.248,14,62,False,146.481,82.768,13.779,0.057,37.215,1.262,0.006,0.0,68.006,7.23,14.234,6.082,173.749,115.975,41.453,2.053,75.518,11.34,0.107,0.0,103.54,28.545,43.963,27.369,186.791,134.392,65.153,7.529,101.388,25.931,0.894,0.0,123.33,49.973,67.824,48.593,91.905,55.848,64.024,66.549
10000774,Intermountain Conservation Camp #22,,41.1231067161181,-121.22419725359636,41.109375,-121.234375,1.746,14,62,False,77.824,16.497,0.239,0.0,1.087,0.005,0.0,0.0,64.685,9.428,15.22,6.945,107.78,46.094,4.13,0.041,10.522,0.157,0.0,0.0,96.728,33.196,49.924,32.739,124.983,68.943,12.011,0.329,29.101,1.079,0.001,0.0,115.08,55.141,78.758,60.098,82.013,46.72,53.347,55.711
10005328,Pilot Rock Conservation Fire Camp #15,,34.271656892428354,-117.2814657468556,34.265625,-117.296875,1.564,14,62,False,85.018,12.662,0.051,0.0,57.071,4.449,0.021,0.0,70.341,6.255,14.912,6.505,123.91,40.778,1.777,0.002,97.252,24.111,0.767,0.001,110.094,27.741,48.344,30.795,144.392,62.913,5.336,0.04,120.794,47.805,3.253,0.033,131.328,47.381,74.951,55.667,81.842,59.185,66.548,69.01
10000901,Fenner Canyon Conservation Camp #41,,34.39010316279468,-117.77262913360008,34.390625,-117.765625,0.644,14,62,False,37.145,0.635,0.0,0.0,12.676,0.105,0.0,0.0,63.784,3.047,13.839,6.048,68.872,4.848,0.023,0.0,38.167,1.555,0.01,0.0,96.144,13.891,40.698,23.983,87.813,10.042,0.103,0.0,59.976,4.077,0.03,0.0,113.658,24.618,62.429,42.215,77.025,53.169,59.735,62.034
10005264,Ishi Conservation Camp #18,,40.31308214420257,-121.89495892375476,40.328125,-121.890625,1.71,14,62,False,126.312,64.314,8.001,0.083,50.079,4.126,0.03,0.0,68.18,9.527,14.633,6.463,153.373,99.638,30.108,1.359,96.315,20.278,0.58,0.003,103.003,33.582,47.995,28.503,166.402,118.324,51.523,5.184,117.32,40.446,2.597,0.024,121.262,55.697,72.902,51.351,89.45,57.754,66.022,68.71
10000793,O.H.Close Youth Correctional Facility,,37.89852127379901,-121.19769467027837,37.890625,-121.203125,0.997,14,62,False,154.159,81.508,15.462,0.108,36.43,1.071,0.008,0.0,65.61,8.81,14.806,6.361,181.49,116.528,37.247,2.249,86.636,7.946,0.139,0.0,101.932,25.529,51.188,29.98,194.684,134.563,56.431,6.288,119.384,21.947,0.61,0.002,120.708,41.883,84.187,58.563,91.984,57.708,63.196,65.632
10005324,Mountain Home Conservation Camp #10,,36.20791412059433,-118.71392800271092,36.203125,-118.703125,1.104,14,62,False,74.149,7.916,0.002,0.0,38.391,0.58,0.0,0.0,65.426,4.735,15.212,6.81,113.566,36.756,0.707,0.0,85.24,10.434,0.027,0.0,106.222,27.894,55.692,38.242,133.847,64.946,4.272,0.01,110.913,31.792,0.571,0.0,127.193,54.527,85.699,68.838,81.182,56.696,63.506,65.563
10005256,Trinity River Conservation Camp #3,,40.78981381613563,-122.80394970874065,40.796875,-122.796875,0.984,14,62,False,116.154,55.066,5.559,0.037,3.048,0.038,0.0,0.0,67.259,10.121,14.52,6.586,140.033,86.481,21.134,0.726,17.533,0.54,0.003,0.0,97.654,31.142,45.701,28.366,151.348,104.122,40.171,3.43,30.727,1.838,0.012,0.0,113.711,52.111,67.903,46.099,88.208,48.249,55.176,57.863
10000877,Rainbow Conservation Camp #2,,33.427961075610796,-117.11832774136676,33.421875,-117.109375,1.07,14,62,False,138.625,45.059,3.372,0.009,47.025,4.611,0.096,0.001,81.741,12.733,13.909,5.972,185.631,84.351,15.016,0.457,96.07,18.385,0.97,0.02,126.022,36.559,42.632,23.887,211.498,110.649,27.765,1.623,127.004,37.131,3.098,0.079,152.712,57.446,69.488,45.094,85.797,57.525,65.899,69.035
10006497,Seal Beach Detention Center,,33.75270984107934,-118.08776063978296,33.765625,-118.078125,1.687,14,62,False,37.862,4.83,0.303,0.001,87.314,9.314,0.386,0.001,104.138,18.707,12.374,4.967,56.147,8.331,0.683,0.024,129.433,23.695,1.624,0.03,140.471,29.679,32.138,15.391,75.192,12.842,1.321,0.053,152.984,43.667,4.228,0.17,162.697,41.716,54.805,31.638,73.701,61.333,68.827,71.994
10006316,Fontana City Jail,,34.10164898633541,-117.43379001368056,34.109375,-117.421875,1.391,14,62,False,178.438,101.259,25.677,0.519,101.018,15.418,0.348,0.003,73.542,9.3,14.66,6.436,217.237,139.662,60.767,6.208,154.676,51.32,4.155,0.142,112.922,33.338,49.486,29.857,239.024,162.461,84.703,15.1,183.551,83.654,12.57,0.478,135.808,54.714,79.928,56.055,93.61,62.632,70.172,72.828
