facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,n_models,n_members,mask_override,loca2_days_over_80_historic,loca2_days_over_90_historic,loca2_days_over_100_historic,loca2_days_over_110_historic,loca2_nights_over_60_historic,loca2_nights_over_70_historic,loca2_nights_over_80_historic,loca2_nights_over_90_historic,loca2_days_over_avg_historic,loca2_days_over_avg_plus10_historic,loca2_nights_over_p95_historic,loca2_nights_over_p98_historic,loca2_days_over_80_midcentury,loca2_days_over_90_midcentury,loca2_days_over_100_midcentury,loca2_days_over_110_midcentury,loca2_nights_over_60_midcentury,loca2_nights_over_70_midcentury,loca2_nights_over_80_midcentury,loca2_nights_over_90_midcentury,loca2_days_over_avg_midcentury,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_midcentury,loca2_nights_over_p98_midcentury,loca2_days_over_80_endcentury,loca2_days_over_90_endcentury,loca2_days_over_100_endcentury,loca2_days_over_110_endcentury,loca2_nights_over_60_endcentury,loca2_nights_over_70_endcentury,loca2_nights_over_80_endcentury,loca2_nights_over_90_endcentury,loca2_days_over_avg_endcentury,loca2_days_over_avg_plus10_endcentury,loca2_nights_over_p95_endcentury,loca2_nights_over_p98_endcentury,loca2_avg_summer_tmax_f,loca2_avg_summer_tmin_f,loca2_p95_tmin_f,loca2_p98_tmin_f
10002351,Bell City Jail,,33.97910744065924,-118.18841160133736,33.984375,-118.203125,1.475,14,62,False,140.747,30.724,2.05,0.018,110.877,12.317,0.387,0.0,86.654,11.6,13.715,5.613,186.359,62.297,7.53,0.262,165.187,38.458,2.564,0.035,132.645,29.731,43.681,23.0,213.346,89.303,15.594,0.995,194.954,69.097,7.084,0.206,161.824,49.407,73.387,47.401,84.108,62.76,69.595,72.453
10000771,Alder Conservation Camp #20,,41.50102605418069,-124.0614026616772,41.515625,-124.046875,2.021,14,62,False,5.283,0.17,0.004,0.0,1.403,0.012,0.0,0.0,78.634,11.264,12.359,5.019,10.242,0.586,0.006,0.0,6.365,0.111,0.001,0.0,117.948,20.088,35.375,18.369,15.781,1.104,0.011,0.0,14.458,0.475,0.003,0.0,158.201,30.744,62.986,36.87,66.839,48.174,54.234,56.68
10005258,Sugar Pine Conservation Camp #9,,40.74594991511181,-122.0926140282548,40.734375,-122.078125,1.771,14,62,False,143.118,87.786,24.766,1.209,41.669,2.209,0.014,0.0,65.12,10.661,15.3,6.828,163.394,116.395,55.428,6.395,81.33,11.106,0.214,0.0,97.427,31.897,44.279,26.306,174.957,130.683,77.442,17.37,109.061,28.363,1.191,0.005,113.954,53.453,74.444,52.619,93.548,57.877,64.303,66.861
10000871,MCC San Diego,,32.713963558611916,-117.1660704622264,32.703125,-117.171875,1.32,14,62,False,40.976,4.096,0.125,0.0,110.722,13.246,0.631,0.007,98.903,14.205,12.091,4.911,65.433,8.013,0.38,0.006,148.922,26.818,1.789,0.033,136.597,25.497,25.913,12.047,87.084,12.474,0.769,0.015,172.516,46.034,3.789,0.108,163.303,36.512,44.667,23.07,74.905,63.121,70.282,73.402
10005267,Salt Creek Conservation Camp #7,,39.81202088855824,-122.62925447861537,39.796875,-122.640625,1.941,14,62,False,107.903,43.092,2.544,0.008,56.879,4.92,0.032,0.0,63.107,7.935,14.772,6.595,135.678,74.592,14.122,0.396,101.12,23.019,0.643,0.005,94.914,28.648,46.326,28.465,148.662,95.093,26.213,1.36,120.751,39.285,2.154,0.022,113.309,44.708,65.581,45.832,87.024,59.542,66.825,69.231
10005319,Owens Valley Conservation Camp #26,,37.38924437916502,-118.55153489518936,37.390625,-118.546875,0.439,14,62,False,135.931,72.753,6.567,0.0,45.447,2.523,0.007,0.0,60.609,2.954,14.845,6.557,166.191,107.574,32.146,0.409,81.355,13.245,0.146,0.0,96.701,21.254,43.134,26.321,182.382,125.592,53.182,2.032,102.991,29.014,0.942,0.004,115.412,40.149,65.913,46.482,91.601,58.513,64.996,67.536
10005362,Ventura Conservation Camp #46,,34.246176183785806,-119.10677775352286,34.234375,-119.109375,1.331,14,62,False,72.799,8.375,0.245,0.0,37.929,2.362,0.023,0.0,102.169,14.332,12.632,5.218,108.307,15.479,0.743,0.002,74.815,7.014,0.187,0.0,143.763,25.671,31.435,15.737,138.483,25.346,1.843,0.019,108.331,15.922,0.622,0.003,172.828,40.231,55.381,32.866,77.849,56.553,64.317,67.229
10000840,Prado Conservation Camp #28,,33.99116711079797,-117.68683207528083,33.984375,-117.671875,1.569,14,62,False,165.584,69.626,8.669,0.071,39.342,2.691,0.048,0.0,81.87,12.821,14.406,6.214,210.102,112.261,28.808,1.762,90.003,13.956,0.581,0.006,125.073,36.912,46.871,26.92,234.934,138.18,48.23,5.216,127.267,31.76,2.347,0.064,151.391,58.759,78.712,52.404,88.659,56.914,64.35,67.288
10005275,Valley View Conservation Camp #34,,39.65246297492119,-122.72173226828056,39.640625,-122.734375,1.701,14,62,False,72.097,10.409,0.098,0.0,23.693,0.429,0.0,0.0,65.437,7.313,15.388,6.727,103.872,33.208,1.348,0.019,60.987,4.911,0.079,0.0,97.322,27.258,49.278,32.118,121.951,50.182,4.113,0.071,84.748,13.987,0.431,0.004,116.144,42.632,72.64,53.58,80.99,54.658,61.503,63.84
10000874,Western Region Detention Facility,,32.7173817496747,-117.16523774875972,32.703125,-117.171875,1.7,14,62,False,40.976,4.096,0.125,0.0,110.722,13.246,0.631,0.007,98.903,14.205,12.091,4.911,65.433,8.013,0.38,0.006,148.922,26.818,1.789,0.033,136.597,25.497,25.913,12.047,87.084,12.474,0.769,0.015,172.516,46.034,3.789,0.108,163.303,36.512,44.667,23.07,74.905,63.121,70.282,73.402
10000849,Mesa Verde Ice Processing Center,,35.37971816195629,-119.00641253053884,35.390625,-119.015625,1.47,14,62,False,184.249,127.735,62.128,4.914,131.333,54.038,3.082,0.011,63.572,5.259,14.046,6.2,204.604,151.637,93.356,19.204,156.687,91.598,17.561,0.192,94.693,20.336,44.62,27.692,214.918,164.05,110.794,35.459,170.493,111.427,39.243,1.272,111.973,36.875,69.973,51.715,99.807,69.726,76.017,78.374
10000897,Glendale City Jail,,34.14735399725111,-118.2493590354608,34.140625,-118.234375,1.566,14,62,False,152.492,47.585,3.564,0.024,107.158,13.251,0.282,0.0,83.363,11.549,14.148,5.985,197.476,87.156,14.921,0.598,163.803,43.81,2.982,0.033,127.486,33.892,46.527,26.448,224.2,114.0,28.435,2.051,195.0,76.177,9.51,0.201,155.441,54.899,77.346,52.304,86.21,62.51,69.774,72.528
10000911,Torrance City Jail,,33.83986898172371,-118.34228828447392,33.828125,-118.328125,1.845,14,62,False,57.754,6.206,0.26,0.0,81.536,7.618,0.282,0.0,99.512,12.866,12.718,5.252,92.965,12.836,0.917,0.018,130.229,20.612,1.294,0.025,146.07,25.594,33.348,16.515,125.673,22.27,2.051,0.067,158.304,38.152,2.882,0.092,178.225,41.561,55.737,32.632,76.932,60.701,68.063,71.064
10000777,Sutter County Jail,,39.14285926968739,-121.63782617479472,39.140625,-121.640625,0.346,14,62,False,162.596,100.241,29.381,0.803,59.986,3.506,0.014,0.0,64.471,7.751,14.386,6.268,183.035,128.888,59.083,6.511,107.411,16.959,0.315,0.001,97.997,26.48,44.453,26.147,194.131,143.229,80.466,14.422,134.793,38.517,1.603,0.006,116.38,43.107,75.672,52.458,94.884,59.968,66.037,68.496
10000823,Tulare County Men's Correctional Facility,,36.44508173488965,-119.32043337950851,36.453125,-119.328125,1.126,14,62,False,168.39,106.156,26.379,0.246,21.804,0.526,0.009,0.0,66.496,4.43,14.275,5.96,192.366,136.616,63.972,4.287,63.407,4.248,0.036,0.0,103.629,22.889,49.534,28.956,203.712,151.815,87.773,13.155,100.859,17.954,0.444,0.002,122.387,44.284,86.154,62.508,95.123,55.494,61.477,64.029
10005263,Antelope Conservation Camp #25,,40.40164182151751,-120.51004710820791,40.390625,-120.515625,1.311,14,62,False,110.098,51.943,3.972,0.005,3.961,0.03,0.0,0.0,62.182,7.436,15.626,7.124,133.756,84.414,24.985,0.857,22.143,0.566,0.001,0.0,93.192,33.717,48.925,31.655,146.492,101.862,43.838,4.203,46.932,3.623,0.024,0.0,109.885,53.259,76.151,58.159,88.419,49.544,55.959,58.441
10000772,Herlong FCI,,40.151192472135286,-120.16619206516069,40.140625,-120.171875,1.268,14,62,False,110.544,47.537,2.461,0.001,4.421,0.048,0.0,0.0,63.02,7.047,14.983,6.736,137.369,82.49,19.087,0.388,23.174,0.576,0.0,0.0,97.104,31.688,48.037,30.235,151.004,101.292,36.566,2.354,49.075,3.908,0.021,0.0,114.386,51.608,76.407,57.401,87.675,50.534,56.484,58.935
10000814,Ben Lomond Conservation Camp #45,,37.130265033493735,-122.1690670677042,37.140625,-122.171875,1.176,14,62,False,79.785,19.493,1.599,0.009,20.616,1.363,0.021,0.0,78.631,18.896,14.818,6.273,125.165,49.992,8.042,0.385,59.813,10.935,0.581,0.006,124.068,49.085,48.218,28.355,148.741,71.971,18.159,1.439,92.722,22.25,1.919,0.03,147.669,70.979,77.123,49.87,80.147,52.897,61.564,65.05
10002347,Calipatria State Prison (CAL),CAL,33.16569335411168,-115.4843440200192,33.171875,-115.484375,0.686,14,62,False,243.978,180.912,118.286,33.57,153.957,86.44,18.081,0.504,63.594,2.552,13.871,6.037,277.304,208.379,149.32,74.017,182.538,116.546,43.829,2.797,103.165,15.587,36.46,20.536,294.404,224.431,164.794,97.896,198.558,133.99,70.514,11.724,123.224,33.581,62.007,42.984,106.801,73.868,81.164,83.912
10002348,Centinela State Prison (CEN),CEN,32.82339731050856,-115.7890554901459,32.828125,-115.796875,0.899,14,62,False,240.672,176.832,118.531,39.076,172.718,106.651,31.91,0.81,61.791,2.633,14.019,6.041,267.072,203.363,145.909,74.333,199.983,135.551,64.668,6.265,95.716,14.013,39.962,24.525,285.382,216.969,159.712,94.481,219.332,152.55,87.175,14.888,114.212,27.957,61.439,42.527,107.454,76.026,83.303,85.689
10006310,Adelanto Ice Processing Center,,34.55969543666143,-117.44071494857548,34.546875,-117.453125,1.82,14,62,False,153.943,91.361,14.821,0.057,71.953,7.465,0.05,0.001,64.752,3.602,14.139,6.114,184.109,123.122,42.187,1.426,110.552,30.117,0.938,0.006,98.423,18.715,44.612,27.527,200.221,140.271,62.766,4.429,130.734,51.451,3.73,0.031,118.053,33.838,67.394,47.9,93.359,61.289,68.078,70.508
10005361,El Centro Service Processing Center,,32.80301930673736,-115.56681652692428,32.796875,-115.578125,1.256,14,62,False,238.127,175.995,114.391,29.079,166.912,101.936,28.296,0.723,62.307,2.426,13.983,6.142,267.358,202.948,143.603,65.706,193.401,130.144,59.844,5.392,98.337,13.732,38.956,23.354,283.629,216.924,158.371,87.69,210.87,146.986,82.876,13.767,117.46,27.963,60.281,41.838,106.408,75.811,82.93,85.406
10006491,Covina Jail,,34.08995454335269,-117.8886708557222,34.078125,-117.890625,1.325,14,62,False,185.059,88.895,14.561,0.291,100.303,13.151,0.277,0.003,76.58,9.741,14.314,6.055,226.478,128.953,40.086,2.865,155.112,42.662,2.919,0.038,116.388,30.991,46.024,26.444,247.739,152.98,62.258,7.782,184.135,73.887,9.377,0.247,140.259,51.176,76.289,51.579,91.346,62.635,69.714,72.449
10000781,Sacramento County Work Release,,38.600280065057795,-121.49413045068547,38.609375,-121.484375,1.317,14,62,False,153.431,87.728,21.493,0.467,64.292,4.496,0.026,0.0,64.426,9.58,14.587,6.288,175.39,117.788,45.099,4.093,113.969,18.682,0.381,0.0,96.056,26.308,43.927,25.155,187.651,134.18,64.052,10.14,138.56,40.614,1.818,0.004,114.536,41.63,73.374,49.74,93.192,60.41,66.517,69.054
10000859,Larry D Smith Correctional Facility,,33.91003189843904,-116.87021077101804,33.921875,-116.859375,1.651,14,62,False,166.22,97.577,21.713,0.119,65.832,5.115,0.054,0.001,69.681,5.743,14.873,6.552,203.363,135.687,55.378,2.998,110.592,23.584,0.845,0.014,109.049,26.017,46.288,28.688,228.238,157.878,77.864,8.205,139.176,41.686,2.475,0.024,131.506,43.988,69.034,47.481,93.732,59.511,66.892,69.335
10000835,Glen Helen Rehabilitation Center,,34.17753047412101,-117.38931449983622,34.171875,-117.390625,0.639,14,62,False,175.78,101.808,26.072,0.472,103.393,18.356,0.398,0.003,72.075,8.464,14.757,6.558,214.536,140.128,62.194,6.013,154.391,54.784,4.629,0.113,112.015,32.253,47.7,29.136,235.877,162.187,85.694,15.109,183.345,87.305,14.357,0.508,134.374,53.509,78.265,56.036,93.876,63.126,70.79,73.322
10001539,Oxnard City Jail,,34.200843775017155,-119.18149015571184,34.203125,-119.171875,0.918,14,62,False,36.279,2.791,0.029,0.0,44.81,2.68,0.027,0.0,114.139,15.413,12.224,5.075,54.341,4.907,0.107,0.0,78.256,6.835,0.153,0.0,152.612,24.753,27.188,13.134,73.413,7.854,0.347,0.002,108.267,14.254,0.512,0.003,181.679,35.869,47.399,26.847,73.712,57.622,64.968,67.8
10000891,Pitchess Detention Center-South,,34.46605502608862,-118.5996116034917,34.453125,-118.609375,1.691,14,62,False,172.857,97.013,26.973,0.913,77.867,9.266,0.086,0.003,74.228,12.681,14.714,6.47,215.426,137.06,57.726,6.353,130.09,36.291,1.89,0.008,113.104,35.532,48.225,30.514,238.855,160.146,81.3,15.038,160.195,65.371,7.071,0.07,135.997,56.86,78.08,56.874,93.082,60.809,68.523,71.054
10002330,FCI Dublin Camp,,37.717950171696266,-121.8948186675473,37.703125,-121.890625,1.686,14,62,False,120.121,46.947,7.599,0.174,26.787,1.084,0.013,0.0,72.84,17.514,13.864,5.699,155.235,74.754,18.694,1.296,78.171,5.774,0.166,0.003,105.527,35.493,50.159,26.646,175.22,97.517,31.308,3.464,119.219,19.801,0.837,0.009,128.682,52.85,89.36,60.041,86.165,56.409,62.396,65.141
10000863,FCI Lompoc,,34.676755382981256,-120.4994620676944,34.671875,-120.484375,1.48,14,62,False,22.712,2.409,0.034,0.0,12.315,0.8,0.013,0.0,121.553,18.259,11.814,4.881,41.88,5.296,0.305,0.001,28.857,2.285,0.097,0.0,178.454,34.361,29.081,13.175,62.149,8.79,0.744,0.004,56.136,5.442,0.329,0.007,221.485,51.745,56.763,28.514,71.039,52.906,59.817,63.051
10000833,FCI Victorville Medium I Camp,,34.56900668681523,-117.36974423441475,34.578125,-117.359375,1.387,14,62,False,162.615,102.546,24.854,0.203,61.81,5.738,0.047,0.003,64.798,4.004,14.233,6.12,193.045,134.181,58.078,3.532,102.2,25.17,0.854,0.01,99.814,20.676,44.579,27.517,209.198,150.432,79.318,9.551,123.456,45.061,3.457,0.044,119.037,36.623,67.616,47.688,94.971,60.42,67.174,69.747
10000831,FCI Victorville Medium II,,34.568484117135945,-117.35831452366868,34.578125,-117.359375,1.075,14,62,False,162.615,102.546,24.854,0.203,61.81,5.738,0.047,0.003,64.798,4.004,14.233,6.12,193.045,134.181,58.078,3.532,102.2,25.17,0.854,0.01,99.814,20.676,44.579,27.517,209.198,150.432,79.318,9.551,123.456,45.061,3.457,0.044,119.037,36.623,67.616,47.688,94.971,60.42,67.174,69.747
10006487,Chula Vista Jail,,32.63993272300781,-117.08303758871024,32.640625,-117.078125,0.466,14,62,False,27.84,2.264,0.034,0.0,96.678,11.925,0.494,0.003,103.799,14.328,11.908,4.824,44.535,4.255,0.111,0.0,130.373,24.961,1.439,0.015,142.657,24.221,26.455,12.144,57.618,6.488,0.264,0.001,150.813,42.218,3.113,0.07,164.623,32.361,43.795,22.996,72.931,62.618,69.958,73.065
10006180,FCI Mendota Camp,,36.728576475901214,-120.39236686830785,36.734375,-120.390625,0.662,14,62,False,175.305,114.473,40.374,1.316,65.304,3.16,0.023,0.0,64.814,6.027,14.442,5.986,197.777,142.38,72.869,8.531,111.143,20.051,0.379,0.002,98.274,21.683,51.411,31.019,209.0,155.79,92.446,18.538,135.486,45.919,2.141,0.006,115.362,38.245,82.21,59.917,96.812,60.577,66.091,68.487
10000887,FCI Terminal Island,,33.72649105995905,-118.26706314344848,33.734375,-118.265625,0.885,14,62,False,12.001,0.696,0.006,0.0,104.025,11.005,0.571,0.005,99.436,11.941,12.262,4.996,21.506,1.818,0.065,0.0,146.461,24.547,1.859,0.051,135.633,21.521,27.929,13.262,32.635,3.129,0.113,0.0,169.304,41.361,3.716,0.165,160.606,32.615,46.287,24.357,70.009,61.953,69.481,72.684
10000867,USP Lompoc Camp,,34.67502678354751,-120.5042452703141,34.671875,-120.515625,1.096,14,62,False,13.098,1.252,0.005,0.0,8.942,0.558,0.008,0.0,124.543,18.327,11.688,4.779,24.702,2.914,0.091,0.0,21.497,1.617,0.062,0.0,184.212,33.961,29.725,12.997,37.713,5.043,0.295,0.001,43.776,3.975,0.219,0.004,228.321,51.061,57.789,28.73,68.392,51.721,58.624,61.932
10000806,USP Atwater,,37.385902009533794,-120.55881096422864,37.390625,-120.546875,1.176,14,62,False,163.451,101.747,27.425,0.327,15.609,0.305,0.006,0.0,63.671,5.89,14.324,6.048,187.812,130.755,57.445,4.423,55.141,2.771,0.033,0.002,97.832,21.85,52.624,31.861,198.72,145.649,78.637,11.343,90.14,12.049,0.131,0.0,115.653,38.771,86.628,63.956,95.0,54.523,60.3,62.701
10000892,Mdc Los Angeles,,34.05365172738237,-118.23852864799257,34.046875,-118.234375,0.844,14,62,False,115.421,19.709,0.943,0.002,128.928,15.798,0.456,0.0,88.932,11.727,13.691,5.707,162.629,45.589,4.312,0.088,179.885,47.6,3.363,0.038,135.487,31.008,44.433,24.106,191.049,70.142,9.812,0.427,210.24,81.063,9.419,0.242,165.055,51.453,74.832,49.46,82.04,63.513,70.472,73.241
10006299,USP Lompoc North Camp,,34.684348596310315,-120.50342145068144,34.671875,-120.515625,1.777,14,62,False,13.098,1.252,0.005,0.0,8.942,0.558,0.008,0.0,124.543,18.327,11.688,4.779,24.702,2.914,0.091,0.0,21.497,1.617,0.062,0.0,184.212,33.961,29.725,12.997,37.713,5.043,0.295,0.001,43.776,3.975,0.219,0.004,228.321,51.061,57.789,28.73,68.392,51.721,58.624,61.932
10005303,FCI Dublin,,37.7185793067588,-121.896970997066,37.703125,-121.890625,1.804,14,62,False,120.121,46.947,7.599,0.174,26.787,1.084,0.013,0.0,72.84,17.514,13.864,5.699,155.235,74.754,18.694,1.296,78.171,5.774,0.166,0.003,105.527,35.493,50.159,26.646,175.22,97.517,31.308,3.464,119.219,19.801,0.837,0.009,128.682,52.85,89.36,60.041,86.165,56.409,62.396,65.141
10005261,Herlong FCI Camp,,40.15300842320584,-120.153899940364,40.140625,-120.140625,1.777,14,62,False,112.412,49.135,2.749,0.001,3.659,0.042,0.0,0.0,63.517,7.12,15.147,6.751,138.292,84.021,20.007,0.381,20.295,0.435,0.0,0.0,97.418,31.829,48.65,30.339,151.318,102.531,37.663,2.529,45.523,3.194,0.017,0.0,114.264,51.595,77.324,57.683,87.866,50.085,55.946,58.434
10006194,USP Atwater Camp,,37.38324683391697,-120.56351089902054,37.390625,-120.578125,1.527,14,62,False,162.489,97.648,21.583,0.159,19.788,0.396,0.005,0.0,64.583,5.606,14.38,6.078,187.34,127.681,50.231,2.97,63.558,3.607,0.039,0.002,99.411,21.542,53.247,32.102,198.397,142.963,72.11,8.449,98.248,14.276,0.171,0.001,117.379,38.931,87.216,63.759,94.111,55.213,61.021,63.426
10000830,USP Victorville,,34.56511772035156,-117.3705686834497,34.578125,-117.359375,1.77,14,62,False,162.615,102.546,24.854,0.203,61.81,5.738,0.047,0.003,64.798,4.004,14.233,6.12,193.045,134.181,58.078,3.532,102.2,25.17,0.854,0.01,99.814,20.676,44.579,27.517,209.198,150.432,79.318,9.551,123.456,45.061,3.457,0.044,119.037,36.623,67.616,47.688,94.971,60.42,67.174,69.747
10000832,FCI Victorville Medium I,,34.565479182329916,-117.3645614551476,34.578125,-117.359375,1.482,14,62,False,162.615,102.546,24.854,0.203,61.81,5.738,0.047,0.003,64.798,4.004,14.233,6.12,193.045,134.181,58.078,3.532,102.2,25.17,0.854,0.01,99.814,20.676,44.579,27.517,209.198,150.432,79.318,9.551,123.456,45.061,3.457,0.044,119.037,36.623,67.616,47.688,94.971,60.42,67.174,69.747
10002323,"California State Prison, Solano (SOL)",SOL,38.320776607604,-121.97523692020748,38.328125,-121.984375,1.14,14,62,False,136.581,56.557,9.305,0.064,24.538,1.124,0.005,0.0,70.148,14.456,14.39,6.002,168.38,91.712,23.602,1.438,60.967,5.126,0.088,0.0,106.495,31.62,41.335,21.735,182.335,113.421,37.423,4.205,94.393,12.091,0.299,0.002,127.435,48.466,69.932,42.355,88.299,54.62,62.14,65.082
10002316,Yolo County Juvenile Detention Facility,,38.66101321635629,-121.73033404289303,38.671875,-121.734375,1.256,14,62,False,157.342,89.959,20.892,0.357,30.496,1.187,0.007,0.0,65.901,9.104,14.731,6.286,180.087,122.958,46.65,4.241,73.469,5.737,0.076,0.0,100.745,27.658,45.001,24.703,191.913,139.438,67.075,10.094,109.674,15.103,0.331,0.001,120.497,43.598,77.118,49.854,93.114,56.647,62.744,65.41
10002350,North County Correctional Facility,,34.46449801148207,-118.58669462597126,34.453125,-118.578125,1.486,14,62,False,178.367,104.427,34.343,1.463,82.676,10.69,0.119,0.002,72.945,11.927,14.878,6.521,219.665,143.357,66.286,8.748,134.079,39.352,2.192,0.009,110.509,34.04,48.362,30.575,242.294,166.36,89.242,19.4,163.393,69.455,8.125,0.087,132.727,54.62,78.416,57.369,94.404,61.391,68.938,71.452
