facility,year,month,gridmet_days_over_90f,gridmet_days_over_95f,gridmet_days_over_avg_plus10_base1991_2020,dental_mh_overtime,modified_programs_days,deaths_unexpected,uof_incidents,violent_incidents,inmate_on_inmate,staff_involved,ed_hospital_rate,ed_hospital_cost,total_labor_cost,specialty_care_referrals,prescriptions_per_patient,actual_expenditure_monthly,institution_budget,vacancy_all,vacancy_medical,vacancy_dental,vacancy_mh,crowding_pct,ac_type,security_level,post_ac
ASP,2020,3,0,0,0,,,,,,,,3.5,26.0,690.0,29.0,1.4,,,13.0,12.0,5.0,25.0,147.1,evaporative,MEDIUM,0
ASP,2020,4,1,0,0,,,,,,,,2.5,25.0,684.0,13.0,1.4,,,12.0,11.0,5.0,28.0,143.7,evaporative,MEDIUM,0
ASP,2020,5,8,5,0,,,,,,,,3.1,23.0,682.0,11.0,1.4,,,11.0,9.0,3.0,28.0,142.4,evaporative,MEDIUM,0
ASP,2020,6,17,12,1,,,,,,,,4.2,24.0,686.0,11.0,1.5,,,10.0,8.0,0.0,28.0,138.5,evaporative,MEDIUM,0
ASP,2020,7,31,25,0,,,,,,,,3.9,26.0,683.0,19.0,1.6,,,10.0,8.0,0.0,26.0,131.0,evaporative,MEDIUM,0
ASP,2020,8,30,27,2,,,,,,,,2.6,26.0,686.0,13.0,1.6,,,10.0,8.0,0.0,29.0,127.6,evaporative,MEDIUM,0
ASP,2020,9,16,7,1,,,,,,,,4.3,32.0,684.0,20.0,1.6,,,11.0,10.0,0.0,29.0,121.8,evaporative,MEDIUM,0
ASP,2020,10,7,0,0,,,,,,,,6.4,38.0,689.0,43.0,1.7,,,10.0,10.0,0.0,18.0,118.9,evaporative,MEDIUM,0
ASP,2020,11,0,0,0,,,,,,,,3.4,114.0,739.0,45.0,1.7,,,11.0,12.0,3.0,18.0,116.8,evaporative,MEDIUM,0
ASP,2020,12,0,0,0,,,,,,,,6.7,85.0,847.0,47.0,1.7,,,12.0,13.0,3.0,18.0,114.1,evaporative,MEDIUM,0
ASP,2021,1,0,0,0,,,,,3.0,1.0,2.0,6.1,70.0,871.0,36.0,1.7,,,11.0,11.0,3.0,16.0,112.5,evaporative,MEDIUM,0
ASP,2021,2,0,0,0,,,,,4.0,3.0,1.0,11.4,85.0,885.0,43.0,1.9,,,10.0,10.0,3.0,16.0,110.7,evaporative,MEDIUM,0
ASP,2021,3,0,0,0,,,,,1.0,1.0,0.0,3.8,75.0,891.0,43.0,1.9,,,11.0,12.0,3.0,16.0,107.3,evaporative,MEDIUM,0
ASP,2021,4,1,0,0,,,,,1.0,0.0,1.0,4.8,67.0,891.0,43.0,1.9,,,10.0,10.0,3.0,16.0,106.8,evaporative,MEDIUM,0
ASP,2021,5,7,3,0,,,,,6.0,5.0,1.0,4.5,70.0,892.0,43.0,1.9,,,8.0,9.0,3.0,13.0,108.5,evaporative,MEDIUM,0
ASP,2021,6,22,16,4,,,,,13.0,12.0,1.0,6.2,95.0,889.0,43.0,1.9,,,9.0,10.0,3.0,13.0,115.6,evaporative,MEDIUM,0
ASP,2021,7,31,31,8,50.0,0.37,,13.0,14.0,13.0,1.0,3.8,87.0,894.0,43.0,1.9,14614190.17,176657974.0,8.0,8.0,3.0,11.0,116.7,evaporative,MEDIUM,0
ASP,2021,8,29,24,5,36.0,9.2,,5.0,7.0,7.0,0.0,4.1,84.0,890.0,43.0,1.9,16844236.939999998,176866486.0,8.0,8.0,3.0,15.0,122.0,evaporative,MEDIUM,0
ASP,2021,9,22,12,2,65.0,2.96,,10.0,10.0,9.0,1.0,4.4,79.0,889.0,43.0,1.9,16474750.43,176866486.0,8.0,8.0,5.0,15.0,124.1,evaporative,MEDIUM,0
ASP,2021,10,2,0,0,98.0,0.0,,5.0,11.0,10.0,1.0,5.9,75.0,881.0,43.0,1.9,16164570.46,177422996.0,8.0,8.0,5.0,15.0,126.0,evaporative,MEDIUM,0
ASP,2021,11,0,0,0,57.5,0.0,,14.0,15.0,13.0,2.0,6.1,54.0,927.0,43.0,1.9,17297766.400000006,188187662.0,10.0,10.0,8.0,16.0,129.2,evaporative,MEDIUM,0
ASP,2021,12,0,0,0,34.0,0.0,,12.0,13.0,12.0,1.0,5.9,44.0,909.0,43.0,1.9,19046354.03999999,188196110.0,10.0,10.0,8.0,13.0,132.0,evaporative,MEDIUM,0
ASP,2022,1,0,0,0,44.0,23.4,,4.0,5.0,5.0,0.0,2.8,37.0,877.0,43.0,1.9,16318397.14,190153172.0,13.0,11.0,5.0,31.0,128.3,evaporative,MEDIUM,0
ASP,2022,2,0,0,0,28.5,25.1,,7.0,10.0,10.0,0.0,4.3,37.0,862.0,43.0,1.9,17849238.33999999,191491532.0,13.0,11.0,5.0,32.0,128.6,evaporative,MEDIUM,0
ASP,2022,3,0,0,0,26.5,6.6,2.0,14.0,18.0,16.0,2.0,1.9,32.0,842.0,43.0,1.9,16537657.219999999,191368616.0,13.0,10.0,5.0,32.0,131.7,evaporative,MEDIUM,0
ASP,2022,4,2,0,0,52.5,0.13,,14.0,23.0,22.0,1.0,3.9,28.0,827.0,43.0,1.9,16615310.650000006,202662438.0,15.0,12.0,5.0,34.0,134.3,evaporative,MEDIUM,0
ASP,2022,5,7,2,0,37.0,0.0,,20.0,24.0,23.0,1.0,4.5,27.0,830.0,43.0,1.9,17188192.860000014,204196978.0,14.0,13.0,-3.0,32.0,138.5,evaporative,MEDIUM,0
ASP,2022,6,21,13,0,41.5,0.49,,17.0,25.0,20.0,5.0,4.8,30.0,825.0,43.0,1.9,17483050.829999983,204372676.0,13.0,12.0,-3.0,32.0,140.0,evaporative,MEDIUM,0
ASP,2022,7,28,25,2,31.5,6.77,,7.0,8.0,8.0,0.0,10.6,35.0,825.0,43.0,1.9,17712692.58,195110010.0,17.0,13.0,6.0,40.0,139.6,evaporative,MEDIUM,0
ASP,2022,8,31,28,6,59.0,6.48,,20.0,30.0,26.0,4.0,6.6,38.0,818.0,43.0,1.9,20148907.980000004,195428939.0,21.0,19.0,6.0,40.0,140.3,evaporative,MEDIUM,0
ASP,2022,9,19,15,8,44.5,17.37,,18.0,22.0,20.0,2.0,8.1,41.0,812.0,43.0,1.9,18110000.689999998,195443731.0,20.0,17.0,6.0,42.0,142.3,evaporative,MEDIUM,0
ASP,2022,10,10,0,0,53.0,1.24,,5.0,8.0,8.0,0.0,6.1,41.0,805.0,43.0,1.9,19669241.459999993,195724093.0,20.0,18.0,6.0,42.0,140.3,evaporative,MEDIUM,0
ASP,2022,11,0,0,0,19.0,2.16,,8.0,10.0,10.0,0.0,6.4,71.0,836.0,43.0,1.9,17356994.870000005,220758464.0,20.0,18.0,6.0,40.0,149.7,evaporative,MEDIUM,0
ASP,2022,12,0,0,0,65.0,3.51,,15.0,17.0,15.0,2.0,6.1,68.0,811.0,43.0,1.9,23110304.519999996,220814674.0,20.0,17.0,9.0,40.0,138.4,evaporative,MEDIUM,0
ASP,2023,1,0,0,0,41.0,0.0,,10.0,13.0,13.0,0.0,4.1,57.0,798.0,43.0,1.9,18588267.53999999,224782179.0,22.0,18.0,9.0,44.0,139.6,evaporative,MEDIUM,0
ASP,2023,2,0,0,0,15.5,0.0,,9.0,12.0,10.0,2.0,5.6,49.0,803.0,43.0,1.9,18629246.99000001,226502853.0,20.0,17.0,6.0,42.0,144.2,evaporative,MEDIUM,0
ASP,2023,3,0,0,0,44.56,0.0,,21.0,27.0,24.0,3.0,6.1,47.0,723.0,43.0,1.9,21147725.5,226436186.0,19.0,16.0,6.0,40.0,150.0,evaporative,MEDIUM,0
ASP,2023,4,3,0,0,47.3,0.28,,21.0,27.0,24.0,3.0,3.7,47.0,785.0,43.0,1.9,19317341.159999996,230776232.0,17.0,14.0,6.0,40.0,154.5,evaporative,MEDIUM,0
ASP,2023,5,10,4,0,52.5,0.5,,21.0,25.0,24.0,1.0,6.1,46.0,721.0,43.0,1.9,18140436.640000015,230929792.0,16.0,12.0,6.0,35.0,158.5,evaporative,MEDIUM,0
ASP,2023,6,9,2,0,65.5,2.19,,21.0,31.0,29.0,2.0,7.8,41.0,719.0,43.0,1.9,17984441.180000007,230942754.0,16.0,14.0,9.0,31.0,160.2,evaporative,MEDIUM,0
ASP,2023,7,29,26,7,99.5,0.58,,14.0,19.0,17.0,2.0,8.0,51.0,719.0,43.0,1.9,17989963.28,218824187.0,21.0,18.0,6.0,43.0,159.4,evaporative,MEDIUM,0
ASP,2023,8,27,22,3,64.0,2.46,,30.0,38.0,36.0,2.0,8.4,50.0,715.0,43.0,1.9,18404543.259999998,218826798.0,21.0,17.0,6.0,43.0,160.5,evaporative,MEDIUM,0
ASP,2023,9,13,2,0,80.5,0.0,,10.0,11.0,11.0,0.0,5.2,50.0,709.0,43.0,1.9,18862182.25,219329148.0,20.0,17.0,3.0,41.0,158.4,evaporative,MEDIUM,0
ASP,2023,10,5,1,0,608.0,0.0,,21.0,24.0,20.0,4.0,8.1,51.0,704.0,43.0,1.9,20681425.809999995,219491135.0,22.0,19.0,6.0,43.0,157.9,evaporative,MEDIUM,0
