facilityid,name,cdcr_code,tract_geoid,loca2_days_over_avg_plus10_historic,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_historic,loca2_nights_over_p95_midcentury,loca2_days_over_90_historic,loca2_days_over_90_midcentury,loca2_avg_summer_tmax_f,loca2_p95_tmin_f,AQI_norm,heat_hazard_historic_idx,heat_hazard_midcentury_idx
10000891,Pitchess Detention Center-South,,6037920200,12.681,35.532,14.714,48.225,97.013,137.06,93.082,68.523,44.530683409181314,28.43750440516468,85.93049111655468
10002330,FCI Dublin Camp,,6001450102,17.514,35.493,13.864,50.159,46.947,74.754,86.165,62.396,25.602870104574666,31.8293908410606,83.2222337233542
10000863,FCI Lompoc,,6083980400,18.259,34.361,11.814,29.081,2.409,5.296,71.039,59.817,5.7835066823244246,29.23513205166479,60.506220795736176
10000833,FCI Victorville Medium I Camp,,6071980200,4.004,20.676,14.233,44.579,102.546,134.181,94.971,67.174,44.412366422434175,17.536281638828704,64.73461123991774
10000831,FCI Victorville Medium II,,6071980200,4.004,20.676,14.233,44.579,102.546,134.181,94.971,67.174,44.412366422434175,17.536281638828704,64.73461123991774
10006487,Chula Vista Jail,,6073012302,14.328,24.221,11.908,26.455,2.264,4.255,72.931,69.958,49.577480292093554,28.29080265667125,53.54919648208665
10006180,FCI Mendota Camp,,6019008304,6.027,21.683,14.442,51.411,114.473,142.38,96.812,66.091,29.69080612271456,19.37648678847831,69.24104390881348
10000887,FCI Terminal Island,,6037980031,11.941,21.521,12.262,27.929,0.696,1.818,70.009,69.481,71.60012516636843,27.17129962317545,54.54980258088493
10000867,USP Lompoc Camp,,6083980400,18.327,33.961,11.688,29.725,1.252,2.914,68.392,58.624,5.7835066823244246,29.207745535974937,60.58942491363315
10000806,USP Atwater,,6047000503,5.89,21.85,14.324,52.624,101.747,130.755,95.0,60.3,47.90599704410934,20.07566897272372,74.01160000118449
10000892,Mdc Los Angeles,,6037207400,11.727,31.008,13.691,44.433,19.709,45.589,82.04,70.472,88.6658137893167,29.453528224074336,86.09073102556818
10006299,USP Lompoc North Camp,,6083980400,18.327,33.961,11.688,29.725,1.252,2.914,68.392,58.624,5.7835066823244246,29.207745535974937,60.58942491363315
