cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,pct_units_refrigeration,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,gender_female_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period,index_version
KVSP,Kern Valley State Prison,35.76647451591408,-119.32536275967016,3092.0,0.33,0.35,54.240175514320654,0.407,66,0.1504,0.2857,66.4,14.8,10.9,12.2,0.9123814144027595,0.0,6.425,1.48,False,,2005.0,0.2,33.63,Lowest,current,v0.2
KVSP,Kern Valley State Prison,35.76647451591408,-119.32536275967016,3092.0,0.33,0.35,54.240175514320654,0.407,66,0.1504,0.2857,66.4,14.8,10.9,12.2,0.9123814144027595,0.0,6.425,1.48,False,,2005.0,0.71,62.19,Moderate,midcentury,v0.2
LAC,California State Prison-Los Angeles County,34.693596500791955,-118.2276135961975,2949.0,0.3,0.47,34.084143030236156,0.241,39,0.0,0.0597,76.6,25.0,20.5,21.5,0.9018028710297276,0.0,7.075,1.51,True,,1993.0,0.22,46.44,Moderate,current,v0.2
LAC,California State Prison-Los Angeles County,34.693596500791955,-118.2276135961975,2949.0,0.3,0.47,34.084143030236156,0.241,39,0.0,0.0597,76.6,25.0,20.5,21.5,0.9018028710297276,0.0,7.075,1.51,True,,1993.0,0.79,78.35,High,midcentury,v0.2
MCSP,Mule Creek State Prison,38.37074337471898,-120.95344581511613,3761.0,0.29,0.42,23.079087058140587,0.08,11,0.2625,0.1857,82.9,38.2,21.1,26.8,0.7051094567047772,0.0,2.725,0.17,False,,1987.0,0.24,40.88,Lowest,current,v0.2
MCSP,Mule Creek State Prison,38.37074337471898,-120.95344581511613,3761.0,0.29,0.42,23.079087058140587,0.08,11,0.2625,0.1857,82.9,38.2,21.1,26.8,0.7051094567047772,0.0,2.725,0.17,False,,1987.0,0.75,69.55,Moderate,midcentury,v0.2
NKSP,North Kern State Prison,35.78188517301339,-119.30987566982682,2570.0,0.62,0.2,58.88274154861368,0.827,134,0.6276,0.037,52.8,13.2,3.1,3.8,0.813780804150454,0.0,3.3667,0.21,False,,1993.0,0.2,32.84,Lowest,current,v0.2
NKSP,North Kern State Prison,35.78188517301339,-119.30987566982682,2570.0,0.62,0.2,58.88274154861368,0.827,134,0.6276,0.037,52.8,13.2,3.1,3.8,0.813780804150454,0.0,3.3667,0.21,False,,1993.0,0.72,62.11,Moderate,midcentury,v0.2
PBSP,Pelican Bay State Prison,41.85480855418667,-124.1490751163596,2096.0,0.65,0.28,21.345065727058465,15.75,63,0.3096,0.0952,64.8,25.9,4.5,10.2,0.8045881043256998,0.0,4.7583,0.21,False,,1989.0,0.26,47.48,Moderate,current,v0.2
PBSP,Pelican Bay State Prison,41.85480855418667,-124.1490751163596,2096.0,0.65,0.28,21.345065727058465,15.75,63,0.3096,0.0952,64.8,25.9,4.5,10.2,0.8045881043256998,0.0,4.7583,0.21,False,,1989.0,0.6,66.91,Moderate,midcentury,v0.2
